collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,230,62,168,17.7%,29.5%,15.5%,0,0,0,0%,0%,0%,9.1%,11.3%,8.3%,37.8%,35.5%,38.7%,93.5%,80.6%,98.2%
portfolio recovery associates llc,185,8,177,14.3%,3.8%,16.3%,0,0,0,0%,0%,0%,8.1%,12.5%,7.9%,26.5%,37.5%,26.0%,97.3%,75.0%,98.3%
midland credit management inc,154,31,123,11.9%,14.8%,11.3%,0,0,0,0%,0%,0%,10.4%,6.5%,11.4%,33.1%,35.5%,32.5%,93.5%,83.9%,95.9%
cavalry spv i llc,74,8,66,5.7%,3.8%,6.1%,0,0,0,0%,0%,0%,8.1%,12.5%,7.6%,35.1%,37.5%,34.8%,98.6%,100.0%,98.5%
midland funding llc,62,4,58,4.8%,1.9%,5.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,37.1%,25.0%,37.9%,100.0%,100.0%,100.0%
discover bank,51,12,39,3.9%,5.7%,3.6%,0,0,0,0%,0%,0%,3.9%,0.0%,5.1%,27.5%,25.0%,28.2%,90.2%,66.7%,97.4%
bank of america na,50,8,42,3.9%,3.8%,3.9%,0,0,0,0%,0%,0%,20.0%,12.5%,21.4%,28.0%,50.0%,23.8%,90.0%,87.5%,90.5%
capital one bank (usa) na,50,13,37,3.9%,6.2%,3.4%,0,0,0,0%,0%,0%,14.0%,0.0%,18.9%,24.0%,15.4%,27.0%,96.0%,84.6%,100.0%
midland credit management inc a corp,41,6,35,3.2%,2.9%,3.2%,0,0,0,0%,0%,0%,2.4%,0.0%,2.9%,36.6%,16.7%,40.0%,97.6%,83.3%,100.0%
citibank na,39,6,33,3.0%,2.9%,3.0%,0,0,0,0%,0%,0%,15.4%,0.0%,18.2%,30.8%,33.3%,30.3%,97.4%,83.3%,100.0%
moberly hospital company llc d/b/a moberly regional medical,34,1,33,2.6%,0.5%,3.0%,0,0,0,0%,0%,0%,2.9%,100.0%,0.0%,23.5%,0.0%,24.2%,100.0%,100.0%,100.0%
cash link usa llc d/b/a cash link usa,28,4,24,2.2%,1.9%,2.2%,0,0,0,0%,0%,0%,10.7%,0.0%,12.5%,46.4%,25.0%,50.0%,96.4%,75.0%,100.0%
jefferson capital systems llc,21,1,20,1.6%,0.5%,1.8%,0,0,0,0%,0%,0%,9.5%,0.0%,10.0%,28.6%,100.0%,25.0%,100.0%,100.0%,100.0%
