collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
capital region medical center,214,8,206,27.5%,12.3%,28.9%,0,0,0,0%,0%,0%,2.3%,0.0%,2.4%,35.0%,50.0%,34.5%,100.0%,100.0%,100.0%
lvnv funding llc,92,14,78,11.8%,21.5%,10.9%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,51.1%,50.0%,51.3%,94.6%,92.9%,94.9%
portfolio recovery associates llc,78,4,74,10.0%,6.2%,10.4%,0,0,0,0%,0%,0%,6.4%,0.0%,6.8%,37.2%,25.0%,37.8%,96.2%,100.0%,95.9%
midland credit management inc,48,1,47,6.2%,1.5%,6.6%,0,0,0,0%,0%,0%,6.3%,0.0%,6.4%,33.3%,0.0%,34.0%,95.8%,100.0%,95.7%
crmc d/b/a crp and crmc,41,0,41,5.3%,0.0%,5.8%,0,0,0,0%,0%,0%,2.4%,0%,2.4%,34.1%,0%,34.1%,100.0%,0%,100.0%
capital region medical center dba capital region physicians-,27,0,27,3.5%,0.0%,3.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,29.6%,0%,29.6%,100.0%,0%,100.0%
midland credit management inc a corporation,21,9,12,2.7%,13.8%,1.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,42.9%,33.3%,50.0%,95.2%,88.9%,100.0%
cavalry spv i llc,19,3,16,2.4%,4.6%,2.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,36.8%,33.3%,37.5%,94.7%,100.0%,93.8%
jefferson capital systems llc,15,0,15,1.9%,0.0%,2.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,53.3%,0%,53.3%,93.3%,0%,93.3%
midland funding llc,11,0,11,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,9.1%,0%,9.1%,18.2%,0%,18.2%,81.8%,0%,81.8%
citibank na,11,1,10,1.4%,1.5%,1.4%,0,0,0,0%,0%,0%,18.2%,0.0%,20.0%,18.2%,0.0%,20.0%,100.0%,100.0%,100.0%
metropolitan st louis sewer district,10,0,10,1.3%,0.0%,1.4%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,10.0%,0%,10.0%,90.0%,0%,90.0%
capital one bank (usa) na,9,0,9,1.2%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,22.2%,0%,22.2%,100.0%,0%,100.0%
td bank usa na,8,4,4,1.0%,6.2%,0.6%,0,0,0,0%,0%,0%,12.5%,25.0%,0.0%,62.5%,75.0%,50.0%,100.0%,100.0%,100.0%
bank of america na,7,1,6,0.9%,1.5%,0.8%,0,0,0,0%,0%,0%,28.6%,0.0%,33.3%,42.9%,100.0%,33.3%,100.0%,100.0%,100.0%
jpmorgan chase bank na,7,0,7,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,14.3%,0%,14.3%,42.9%,0%,42.9%,100.0%,0%,100.0%
absolute resolutions investments llc,7,0,7,0.9%,0.0%,1.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,42.9%,0%,42.9%,100.0%,0%,100.0%
four seasons lakesites poa inc,7,1,6,0.9%,1.5%,0.8%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,57.1%,0.0%,66.7%,100.0%,100.0%,100.0%
velocity investments llc,6,0,6,0.8%,0.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
consumer collection management inc,5,1,4,0.6%,1.5%,0.6%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%,100.0%,100.0%,100.0%
ncb management services inc,5,0,5,0.6%,0.0%,0.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,80.0%,0%,80.0%,100.0%,0%,100.0%
central trust bank,4,0,4,0.5%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
onemain financial group llc,4,0,4,0.5%,0.0%,0.6%,0,0,0,0%,0%,0%,25.0%,0%,25.0%,25.0%,0%,25.0%,75.0%,0%,75.0%
laubert's auto sales llc,4,1,3,0.5%,1.5%,0.4%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,75.0%,100.0%,66.7%,100.0%,100.0%,100.0%
credit corp solutions inc,4,0,4,0.5%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,75.0%,0%,75.0%
maries osage ambulance district,4,0,4,0.5%,0.0%,0.6%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,25.0%,0%,25.0%,100.0%,0%,100.0%
consumer adjustment company inc,3,1,2,0.4%,1.5%,0.3%,0,0,0,0%,0%,0%,33.3%,0.0%,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
wakefield & associates inc,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
barclays bank delaware,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
cvi sgp acquisition trust,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
consumer collection management as assignee of crmc,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
account resolution corporation as assignee of capital region,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
the central trust bank,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
lohman producers exchange inc,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
little hills healthcare inc,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
