collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,5010,2429,2581,0.29,0.44,0.22,718420,0,718420,0.23,0.0,0.23,0.0092,0.012,0.0066,0.40,0.31,0.49,0.77,0.55,0.97
PORTFOLIO RECOVERY ASSOCIATES LLC,3388,412,2976,0.20,0.075,0.25,875607,0,875607,0.28,0.0,0.28,0.010,0.0073,0.011,0.60,0.37,0.63,0.94,0.57,0.99
MIDLAND FUNDING LLC,2062,43,2019,0.12,0.0079,0.17,356253,0,356253,0.11,0.0,0.12,0.0097,0.0,0.0099,0.64,0.23,0.65,0.98,0.53,0.99
MIDLAND CREDIT MANAGEMENT INC,1449,983,466,0.084,0.18,0.040,248380,0,248380,0.080,0.0,0.080,0.0076,0.010,0.0021,0.42,0.40,0.46,0.76,0.66,0.99
CAVALRY SPV I LLC,1291,279,1012,0.075,0.051,0.086,254175,0,254175,0.082,0.0,0.082,0.010,0.014,0.0089,0.50,0.38,0.53,0.92,0.65,1.0
JEFFERSON CAPITAL SYSTEMS LLC,1099,286,813,0.064,0.052,0.069,185212,0,185212,0.060,0.0,0.060,0.0082,0.0070,0.0086,0.50,0.33,0.56,0.90,0.63,1.0
CREDIT MANAGEMENT CORPORATION,332,108,224,0.019,0.020,0.019,18121,0,18121,0.0058,0.0,0.0059,0.0090,0.0093,0.0089,0.72,0.71,0.73,0.96,0.87,1.0
CROWN ASSET MANAGEMENT LLC,259,231,28,0.015,0.042,0.0024,0,0,0,0.0,0.0,0.0,0.035,0.035,0.036,0.36,0.33,0.64,0.60,0.55,1.0
UNIFUND CORPORATION,205,14,191,0.012,0.0026,0.016,113757,0,113757,0.037,0.0,0.037,0.020,0.0,0.021,0.69,0.64,0.69,0.99,0.93,0.99
DNF ASSOCIATES LLC,189,176,13,0.011,0.032,0.0011,1041,0,1041,0.00034,0.0,0.00034,0.0,0.0,0.0,0.54,0.58,0.077,0.77,0.76,1.0
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY BANK,160,2,158,0.0093,0.00037,0.013,25364,0,25364,0.0082,0.0,0.0082,0.013,0.0,0.013,0.54,0.0,0.55,0.96,0.0,0.97
CREDIT CORP SOLUTIONS INC ASSIGNEE OF SYNCHRONY BANK,141,8,133,0.0082,0.0015,0.011,24357,0,24357,0.0078,0.0,0.0079,0.0,0.0,0.0,0.23,0.38,0.23,0.96,0.75,0.97
CREDIT CORP SOLUTIONS INC,120,107,13,0.0070,0.020,0.0011,4682,0,4682,0.0015,0.0,0.0015,0.0,0.0,0.0,0.39,0.37,0.54,0.52,0.47,0.92
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF COMENITY BANK,114,4,110,0.0066,0.00073,0.0093,20792,0,20792,0.0067,0.0,0.0067,0.0088,0.0,0.0091,0.49,0.25,0.50,0.93,0.25,0.95
SECOND ROUND SUB LLC,92,64,28,0.0053,0.012,0.0024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.30,0.82,0.63,0.47,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,89,25,64,0.0052,0.0046,0.0054,31947,0,31947,0.010,0.0,0.010,0.034,0.0,0.047,0.55,0.48,0.58,0.99,0.96,1.0
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY CAPITAL BANK,89,0,89,0.0052,0.0,0.0076,25199,0,25199,0.0081,0.0,0.0081,0.0,0.0,0.0,0.53,0.0,0.53,0.94,0.0,0.94
UNIFUND CORP.,83,22,61,0.0048,0.0040,0.0052,24357,0,24357,0.0078,0.0,0.0079,0.0,0.0,0.0,0.77,0.73,0.79,0.99,0.95,1.0
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF SYNCHRONY BANK,65,4,61,0.0038,0.00073,0.0052,4324,0,4324,0.0014,0.0,0.0014,0.031,0.0,0.033,0.54,0.0,0.57,0.92,0.50,0.95
JH MET SUBSIDIARY B LIQUIDATING TRUST ASSIGNEE OF JH PORTFOLIO DEBT EQUITIES LLC,58,54,4,0.0034,0.0099,0.00034,0,0,0,0.0,0.0,0.0,0.052,0.056,0.0,0.17,0.15,0.50,0.45,0.41,1.0
SECOND ROUND SUB LLC ASSIGNEE OF SYNCHRONY BANK,57,0,57,0.0033,0.0,0.0048,9243,0,9243,0.0030,0.0,0.0030,0.018,0.0,0.018,0.51,0.0,0.51,0.96,0.0,0.96
LAUREL WREATH ACQUISITIONS LLC,55,3,52,0.0032,0.00055,0.0044,24396,0,24396,0.0079,0.0,0.0079,0.018,0.0,0.019,0.73,1.0,0.71,0.95,1.0,0.94
DISCOVER BANK,44,12,32,0.0026,0.0022,0.0027,0,0,0,0.0,0.0,0.0,0.045,0.083,0.031,0.39,0.17,0.47,0.84,0.50,0.97
SECOND ROUND LP ASSIGNEE OF SYNCHRONY BANK,40,2,38,0.0023,0.00037,0.0032,6873,0,6873,0.0022,0.0,0.0022,0.0,0.0,0.0,0.60,0.50,0.61,0.97,0.50,1.0
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF COMENITY CAPITAL BANK,35,1,34,0.0020,0.00018,0.0029,6860,0,6860,0.0022,0.0,0.0022,0.029,0.0,0.029,0.57,0.0,0.59,0.94,0.0,0.97
CVI SGP-CO ACQUISITION TRUST ASSIGNEE OF STERLING JEWELERS INC,34,2,32,0.0020,0.00037,0.0027,22592,0,22592,0.0073,0.0,0.0073,0.0,0.0,0.0,0.35,0.0,0.38,0.91,0.0,0.97
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF CITIBANK NA,33,0,33,0.0019,0.0,0.0028,7608,0,7608,0.0024,0.0,0.0025,0.030,0.0,0.030,0.67,0.0,0.67,0.94,0.0,0.94
FRANKLIN TRUST FCU,33,0,33,0.0019,0.0,0.0028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,1.0,0.0,1.0
CACH LLC,31,14,17,0.0018,0.0026,0.0014,750,0,750,0.00024,0.0,0.00024,0.0,0.0,0.0,0.52,0.21,0.76,0.81,0.57,1.0
SECOND ROUND LP ASSIGNEE OF COMENITY BANK,30,0,30,0.0017,0.0,0.0025,5021,0,5021,0.0016,0.0,0.0016,0.0,0.0,0.0,0.50,0.0,0.50,0.97,0.0,0.97
CVI SGP-CO ACQUISITION TRUST,30,0,30,0.0017,0.0,0.0025,12079,0,12079,0.0039,0.0,0.0039,0.0,0.0,0.0,0.27,0.0,0.27,1.0,0.0,1.0
