collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,1389,667,722,0.30,0.44,0.23,117544,0,117544,0.21,0.0,0.21,0.0036,0.0015,0.0055,0.69,0.68,0.70,0.93,0.86,0.99
PORTFOLIO RECOVERY ASSOCIATES LLC,815,99,716,0.17,0.065,0.23,183247,0,183247,0.33,0.0,0.33,0.0049,0.010,0.0042,0.67,0.59,0.68,0.95,0.78,0.97
MIDLAND FUNDING LLC,557,11,546,0.12,0.0072,0.17,35813,0,35813,0.064,0.0,0.064,0.0036,0.0,0.0037,0.73,0.82,0.72,0.99,1.0,0.99
MIDLAND CREDIT MANAGEMENT INC,449,287,162,0.096,0.19,0.051,70315,0,70315,0.13,0.0,0.13,0.0,0.0,0.0,0.69,0.75,0.59,0.95,0.94,0.98
CAVALRY SPV I LLC,348,85,263,0.074,0.056,0.083,37425,0,37425,0.067,0.0,0.067,0.0,0.0,0.0,0.70,0.79,0.67,0.98,0.92,1.0
JEFFERSON CAPITAL SYSTEMS LLC,312,87,225,0.067,0.057,0.071,38693,0,38693,0.069,0.0,0.069,0.0,0.0,0.0,0.68,0.69,0.68,0.96,0.87,1.0
CREDIT MANAGEMENT CORPORATION,89,30,59,0.019,0.020,0.019,1824,0,1824,0.0033,0.0,0.0033,0.0,0.0,0.0,0.66,0.57,0.71,0.93,0.80,1.0
UNIFUND CORPORATION,59,2,57,0.013,0.0013,0.018,15240,0,15240,0.027,0.0,0.027,0.0,0.0,0.0,0.66,0.0,0.68,0.98,0.50,1.0
DNF ASSOCIATES LLC,58,55,3,0.012,0.036,0.00095,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.49,0.67,0.78,0.76,1.0
CROWN ASSET MANAGEMENT LLC,55,51,4,0.012,0.034,0.0013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.75,0.89,0.88,1.0
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY BANK,35,0,35,0.0075,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.94,0.0,0.94
CREDIT CORP SOLUTIONS INC,32,31,1,0.0068,0.020,0.00032,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,1.0,0.97,0.97,1.0
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF COMENITY BANK,30,2,28,0.0064,0.0013,0.0089,6253,0,6253,0.011,0.0,0.011,0.0,0.0,0.0,0.57,1.0,0.54,0.93,1.0,0.93
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY CAPITAL BANK,29,0,29,0.0062,0.0,0.0092,888,0,888,0.0016,0.0,0.0016,0.0,0.0,0.0,0.66,0.0,0.66,0.90,0.0,0.90
UNIFUND CORP.,28,6,22,0.0060,0.0040,0.0070,14143,0,14143,0.025,0.0,0.025,0.0,0.0,0.0,0.68,0.83,0.64,0.96,0.83,1.0
CREDIT CORP SOLUTIONS INC ASSIGNEE OF SYNCHRONY BANK,28,1,27,0.0060,0.00066,0.0085,1622,0,1622,0.0029,0.0,0.0029,0.0,0.0,0.0,0.75,1.0,0.74,1.0,1.0,1.0
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF SYNCHRONY BANK,25,0,25,0.0053,0.0,0.0079,0,0,0,0.0,0.0,0.0,0.040,0.0,0.040,0.48,0.0,0.48,0.96,0.0,0.96
SECOND ROUND SUB LLC,24,22,2,0.0051,0.014,0.00063,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.64,0.0,0.88,0.86,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,19,4,15,0.0041,0.0026,0.0047,13950,0,13950,0.025,0.0,0.025,0.0,0.0,0.0,0.47,0.50,0.47,0.95,0.75,1.0
DISCOVER BANK,18,3,15,0.0038,0.0020,0.0047,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.0,0.73,1.0,1.0,1.0
JH MET SUBSIDIARY B LIQUIDATING TRUST ASSIGNEE OF JH PORTFOLIO DEBT EQUITIES LLC,15,15,0,0.0032,0.0099,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.73,0.73,0.0
SECOND ROUND SUB LLC ASSIGNEE OF SYNCHRONY BANK,13,0,13,0.0028,0.0,0.0041,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,1.0,0.0,1.0
LAUREL WREATH ACQUISITIONS LLC,11,1,10,0.0024,0.00066,0.0032,6214,0,6214,0.011,0.0,0.011,0.0,0.0,0.0,0.64,1.0,0.60,1.0,1.0,1.0
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF CITIBANK NA,11,0,11,0.0024,0.0,0.0035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,1.0,0.0,1.0
