collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,22954,13073,9881,0.32,0.45,0.23,2708216,1467,2706749,0.23,0.056,0.23,0.0066,0.0072,0.0059,0.50,0.41,0.62,0.78,0.65,0.96
PORTFOLIO RECOVERY ASSOCIATES LLC,12502,1848,10654,0.17,0.064,0.24,3450244,0,3450244,0.29,0.0,0.29,0.0074,0.0087,0.0072,0.66,0.35,0.71,0.93,0.65,0.98
MIDLAND FUNDING LLC,7361,177,7184,0.10,0.0061,0.17,1183713,0,1183713,0.10,0.0,0.10,0.0054,0.011,0.0053,0.73,0.41,0.74,0.98,0.67,0.99
MIDLAND CREDIT MANAGEMENT INC,7173,5301,1872,0.099,0.18,0.043,936074,0,936074,0.079,0.0,0.079,0.0057,0.0060,0.0048,0.53,0.50,0.61,0.78,0.71,0.98
CAVALRY SPV I LLC,5559,1762,3797,0.077,0.061,0.087,1166920,0,1166920,0.098,0.0,0.098,0.012,0.026,0.0058,0.60,0.45,0.67,0.89,0.66,0.99
JEFFERSON CAPITAL SYSTEMS LLC,4354,1277,3077,0.060,0.044,0.071,621358,0,621358,0.052,0.0,0.052,0.0041,0.0039,0.0042,0.63,0.49,0.68,0.90,0.72,0.97
CREDIT MANAGEMENT CORPORATION,1366,643,723,0.019,0.022,0.017,57537,0,57537,0.0048,0.0,0.0048,0.0044,0.0062,0.0028,0.65,0.52,0.76,0.84,0.66,1.0
CROWN ASSET MANAGEMENT LLC,1197,1097,100,0.017,0.038,0.0023,4254,0,4254,0.00036,0.0,0.00036,0.048,0.048,0.050,0.45,0.43,0.65,0.70,0.67,0.98
UNIFUND CORPORATION,923,156,767,0.013,0.0054,0.018,380166,0,380166,0.032,0.0,0.032,0.0076,0.0,0.0091,0.68,0.47,0.72,0.91,0.57,0.98
DNF ASSOCIATES LLC,819,788,31,0.011,0.027,0.00071,10331,0,10331,0.00087,0.0,0.00087,0.0049,0.0051,0.0,0.58,0.58,0.39,0.74,0.74,0.94
