collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,45,7,38,21.0%,23.3%,20.7%,0,0,0,0.0%,0.0%,0.0%,8.9%,28.6%,5.3%,26.7%,28.6%,26.3%,93.3%,71.4%,97.4%
MIDLAND CREDIT MANAGEMENT INC,34,2,32,15.9%,6.7%,17.4%,0,0,0,0.0%,0.0%,0.0%,5.9%,0.0%,6.3%,41.2%,100.0%,37.5%,97.1%,100.0%,96.9%
PORTFOLIO RECOVERY ASSOCIATES LLC,24,1,23,11.2%,3.3%,12.5%,0,0,0,0.0%,0.0%,0.0%,4.2%,0.0%,4.3%,37.5%,0.0%,39.1%,100.0%,100.0%,100.0%
WAKEFIELD & ASSOCIATES INC,18,5,13,8.4%,16.7%,7.1%,0,0,0,0.0%,0.0%,0.0%,16.7%,0.0%,23.1%,33.3%,80.0%,15.4%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,13,1,12,6.1%,3.3%,6.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,53.8%,0.0%,58.3%,92.3%,0.0%,100.0%
CAVALRY SPV I LLC,11,3,8,5.1%,10.0%,4.3%,0,0,0,0.0%,0.0%,0.0%,27.3%,0.0%,37.5%,27.3%,33.3%,25.0%,90.9%,66.7%,100.0%
BANK OF AMERICA NA,7,3,4,3.3%,10.0%,2.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,25.0%,71.4%,100.0%,50.0%
CITIBANK NA,5,2,3,2.3%,6.7%,1.6%,0,0,0,0.0%,0.0%,0.0%,40.0%,50.0%,33.3%,20.0%,50.0%,0.0%,100.0%,100.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,5,0,5,2.3%,0.0%,2.7%,0,0,0,0.0%,0.0%,0.0%,20.0%,0.0%,20.0%,20.0%,0.0%,20.0%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,4,1,3,1.9%,3.3%,1.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%,75.0%,0.0%,100.0%
CAPITAL ONE BANK (USA) NA,3,0,3,1.4%,0.0%,1.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SECOND ROUND SUB LLC,3,0,3,1.4%,0.0%,1.6%,0,0,0,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY,2,0,2,0.9%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
MIDWEST ENT CENTRE P.C.,2,0,2,0.9%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
KENAGY REED BROOKSIII,2,0,2,0.9%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
VELOCITY INVESTMENTS LLC,2,1,1,0.9%,3.3%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
CONSUMER ADJUSTMENT COMPANY INC,2,2,0,0.9%,6.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
MARLER SCHRUM LLC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
HAINES CITY HMA LLC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
TD BANK USA NA,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MM FINANCE LLC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
BARCLAYS BANK DELAWARE,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SECOND ROUND LP,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
TD BANK USA N.A,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CACH LLC A LIMITED LIABILITY COMPANY,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
GATEWAY METRO FCU A BANKING CORPRATION,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
POPLAR BLUFF REG MED CTR LLC D/B/A POPLAR BLUFF REG MED CTR,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MFA INCORPORATED,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ST LOUIS UNIVERSITY,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOC.,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
A&E FUTURES LLC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
FIRST PORTFOLIO VENTURES I LLC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CAPITAL REGION MEDICAL CENTER,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CROWN ASSET MANAGEMENT LLC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
OZARK CENTRAL AMBULANCE DISTRICT,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
PEOPLES BANK,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
BANK OF SULLIVAN,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
JP MORGAN CHASE BANK NA,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
PROVIDER PLUS INC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT CORP SOLUTIONS INC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
PCA ACQUISITIONS V LLC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CVI SGP ACQUISITION TRUST,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MHC LLC D/B/A MRMC,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
E.W. HOLDINGS LLC D/B/A CLAIM RECOVERY EXPERTS,1,0,1,0.5%,0.0%,0.5%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
