collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,49,6,43,37.1%,23.1%,40.6%,0,0,0,0.0%,0.0%,0.0%,2.0%,0.0%,2.3%,53.1%,50.0%,53.5%,98.0%,100.0%,97.7%
LVNV FUNDING LLC,18,8,10,13.6%,30.8%,9.4%,0,0,0,0.0%,0.0%,0.0%,5.6%,12.5%,0.0%,44.4%,50.0%,40.0%,94.4%,87.5%,100.0%
MIDLAND CREDIT MANAGEMENT INC,12,1,11,9.1%,3.8%,10.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,100.0%,27.3%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,10,1,9,7.6%,3.8%,8.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,0.0%,11.1%,100.0%,100.0%,100.0%
MM FINANCE LLC,6,2,4,4.5%,7.7%,3.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,100.0%,75.0%
WAKEFIELD & ASSOCIATES INC,3,0,3,2.3%,0.0%,2.8%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CITIBANK NA,3,0,3,2.3%,0.0%,2.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%
JP MORGAN CHASE BANK NA,3,0,3,2.3%,0.0%,2.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
KEARNEY TRUST COMPANY,2,0,2,1.5%,0.0%,1.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC,2,0,2,1.5%,0.0%,1.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CLEAR RECOVERY INC,2,0,2,1.5%,0.0%,1.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
MIDLAND FUNDING LLC,2,0,2,1.5%,0.0%,1.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
WAKEFIELD &ASSOCIATE INC,2,0,2,1.5%,0.0%,1.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
HARRISON COUNTY COMMUNITY HOSPITAL,2,1,1,1.5%,3.8%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
GENESIS HEALTH CLUBS LLC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
UNIVERSITY OF KANSAS HEALTH SYSTEM,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CAPITAL ONE BANK (USA) NA,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOC LLC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT BUREAU OF COLUMBIA INC ASSIGNEE OF PERSHING MEM HSPTL,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NCB MANAGEMENT SERVICE,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CROWN ASSET MANAGEMENT LLC,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CVI SGP ACQUISITION TRUST,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
BANK OF AMERICA NA,1,0,1,0.8%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MIDLAND CREDIT MANAGEMANT INC,1,1,0,0.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
GRACELAND UNIVERSITY,1,1,0,0.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
CVI SGP- CO ACQUISITION TRUST ZALES JEWELERS,1,1,0,0.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%
CREDIT BUREAU OF COLUMBIA INC,1,1,0,0.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
UNIVERSITY OF KANSAS HOSPITAL,1,1,0,0.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%
JPMORGAN CHASE BANK NA,1,1,0,0.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
JH CX LIQUIDATING TRUST,1,1,0,0.8%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%2,0,18222,0.9%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,50.0%
SNOW & SAUERTEIG LLP,5,2,3,0.5%,0.4%,0.6%,41559,0,41559,2.1%,0.0%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,100.0%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,5,2,3,0.5%,0.4%,0.6%,20194,0,20194,1.0%,0.0%,1.4%,20.0%,0.0%,33.3%,0.0%,0.0%,0.0%,60.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,5,3,2,0.5%,0.7%,0.4%,3395,2094,1301,0.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,33.3%,100.0%
HERITAGE ACCEPTANCE CORPORATION,5,1,4,0.5%,0.2%,0.8%,44934,5500,39434,2.3%,1.1%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
MIDLAND CREDIT MANAGEMENTINC,5,0,5,0.5%,0.0%,1.1%,7752,0,7752,0.4%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,60.0%
VELOCITY INVESTMENTS LLC,5,4,1,0.5%,0.9%,0.2%,4615,4615,0,0.2%,0.9%,0.0%,20.0%,25.0%,0.0%,0.0%,0.0%,0.0%,20.0%,25.0%,0.0%
HEIGHTS FINANCE CORPORATION,4,1,3,0.4%,0.2%,0.6%,10121,3160,6961,0.5%,0.6%,0.5%,25.0%,0.0%,33.3%,0.0%,0.0%,0.0%,75.0%,100.0%,66.7%
CREDIT ADJUSTMENTS INC,4,0,4,0.4%,0.0%,0.8%,6490,0,6490,0.3%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%
CREDIT ACCEPTANCE CORPORATION,4,3,1,0.4%,0.7%,0.2%,15588,15588,0,0.8%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,33.3%,0.0%
FORD MOTOR CREDIT COMPANY LLC,4,1,3,0.4%,0.2%,0.6%,4210,0,4210,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,66.7%
CAVALRY SPV ILLC,4,0,4,0.4%,0.0%,0.8%,5178,0,5178,0.3%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%
AUTOVEST LLC OF INDIANA,4,4,0,0.4%,0.9%,0.0%,7154,7154,0,0.4%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,0.0%
TD BANK USA NA,4,4,0,0.4%,0.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CREDIT ACCEPTANCE CORP,3,1,2,0.3%,0.2%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
PARTNERS 1ST FEDERAL CREDIT UNION,3,0,3,0.3%,0.0%,0.6%,26546,0,26546,1.3%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC AS ASSIGNEE OF SYNCHRONY BANK,3,0,3,0.3%,0.0%,0.6%,16426,0,16426,0.8%,0.0%,1.1%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS,3,2,1,0.3%,0.4%,0.2%,1526,1526,0,0.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%
UNITED AUTO CREDIT CORPORATION,3,2,1,0.3%,0.4%,0.2%,5988,5988,0,0.3%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
INTERRA CREDIT UNION,3,2,1,0.3%,0.4%,0.2%,0,0,0,0.0%,0.0%,0.0%,66.7%,100.0%,0.0%,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%
VELOCITY INVESTMENTS LLC ASSIGNEE OF PROSPER FUNDING LLC ASSIGNEE OF WEBBANK,3,2,1,0.3%,0.4%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
PRESTIGE FINANCIAL SERVICES,3,2,1,0.3%,0.4%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
TEACHERS CREDIT UNION,3,2,1,0.3%,0.4%,0.2%,23711,23711,0,1.2%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
GATEWAY FINANCIAL SOLUTIONS,3,1,2,0.3%,0.2%,0.4%,24116,4086,20030,1.2%,0.8%,1.3%,33.3%,0.0%,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
FARMERS & MERCHANTS STATE BANK,3,3,0,0.3%,0.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KITCH ACCEPTANCE CORP.,2,0,2,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ALLY BANK,2,0,2,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%
TROY CAPITAL LLC,2,0,2,0.2%,0.0%,0.4%,29308,0,29308,1.5%,0.0%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
DISCOVER PRODUCTS INC,2,0,2,0.2%,0.0%,0.4%,2733,0,2733,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%
PORTFOLIO RECOVERY ASSOCIATESLLC,2,0,2,0.2%,0.0%,0.4%,959,0,959,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%
C & F FINANCE COMPANY,2,0,2,0.2%,0.0%,0.4%,27250,0,27250,1.4%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ENERBANK USA,2,0,2,0.2%,0.0%,0.4%,31609,0,31609,1.6%,0.0%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SECOND ROUND LP,2,1,1,0.2%,0.2%,0.2%,1039,0,1039,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
FIRST PORTFOLIO VENTURES I LLC,2,0,2,0.2%,0.0%,0.4%,8331,0,8331,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ULTIMATE AUTO DEALS INC,2,0,2,0.2%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
NATIONWIDE CASSEL LLC,2,1,1,0.2%,0.2%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CAVALRY SPV I LLC AS ASSIGNEE OF COMENITY BANK,2,1,1,0.2%,0.2%,0.2%,2005,0,2005,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
CREDITMAX INC,2,1,1,0.2%,0.2%,0.2%,9389,0,9389,0.5%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
U.S. BANK NATIONAL ASSOCIATION,2,2,0,0.2%,0.4%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
JHPDE FINANCE I LLC,2,2,0,0.2%,0.4%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
UHG I LLC,2,2,0,0.2%,0.4%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FIRST NATIONAL BANK OF OMAHA,2,2,0,0.2%,0.4%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AMERICAN EXPRESS NATIONAL BANK FKA AECB,2,2,0,0.2%,0.4%,0.0%,10084,10084,0,0.5%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
CKS PRIME INVESTMENTS LLC,2,2,0,0.2%,0.4%,0.0%,1253,1253,0,0.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
HARLEY-DAVIDSON CREDIT CORP. AS ASSIGNEE OF EAGLEMARK SAVINGS BANK,1,0,1,0.1%,0.0%,0.2%,736,0,736,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
KITCH ACCEPTANCE CORP,1,0,1,0.1%,0.0%,0.2%,6864,0,6864,0.3%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
AUBURN PLACE APARTMENTS DBA GRISWOLD ESTATES APARTMENTS,1,0,1,0.1%,0.0%,0.2%,1535,0,1535,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
DELONG RONALD,1,0,1,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BARCLAYS BANK DELAWARE,1,0,1,0.1%,0.0%,0.2%,2750,0,2750,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT ADJUSTMENTS INC ASSIGNEE OF COMMUNITY MEMORIAL HOSPITAL,1,0,1,0.1%,0.0%,0.2%,4059,0,4059,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
GLENBROOK CREDIT ACCEPTANCE,1,0,1,0.1%,0.0%,0.2%,20960,0,20960,1.1%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
AUTOVEST LLC,1,0,1,0.1%,0.0%,0.2%,11055,0,11055,0.6%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
C & F FINANCE COMPLAIN,1,0,1,0.1%,0.0%,0.2%,21152,0,21152,1.1%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
KING PHILIP L,1,0,1,0.1%,0.0%,0.2%,8245,0,8245,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT ADJUSTMENTS INC AS ASSIGNEE OF COMMUNITY MEMORIAL HOSPITAL & COMMUNITY,1,0,1,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SECOND ROUNDLP,1,0,1,0.1%,0.0%,0.2%,1905,0,1905,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NO PLAINTIFF FOUND,1,0,1,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CVI SGP ACQUISITION TRUST,1,0,1,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
IOM HEALTH SYSTEM L.P.,1,0,1,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
