collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,364,227,137,17.2%,20.9%,13.3%,199178,103543,95635,4.7%,6.5%,3.6%,1.4%,1.8%,0.7%,0.0%,0.0%,0.0%,35.7%,31.7%,42.3%
midland credit management inc,267,150,117,12.6%,13.8%,11.4%,274059,77570,196489,6.4%,4.9%,7.3%,1.5%,0.7%,2.6%,0.0%,0.0%,0.0%,47.6%,26.7%,74.4%
portfolio recovery associates llc,177,77,100,8.4%,7.1%,9.7%,206695,92201,114494,4.8%,5.8%,4.3%,1.1%,0.0%,2.0%,0.0%,0.0%,0.0%,54.2%,40.3%,65.0%
jefferson capital systems llc,117,31,86,5.5%,2.9%,8.4%,107904,8214,99690,2.5%,0.5%,3.7%,0.9%,0.0%,1.2%,0.0%,0.0%,0.0%,45.3%,9.7%,58.1%
discover bank,103,67,36,4.9%,6.2%,3.5%,321217,149313,171904,7.5%,9.4%,6.4%,8.7%,6.0%,13.9%,0.0%,0.0%,0.0%,53.4%,43.3%,72.2%
capital one bank (usa) na,73,54,19,3.5%,5.0%,1.9%,169924,118879,51045,4.0%,7.5%,1.9%,2.7%,3.7%,0.0%,0.0%,0.0%,0.0%,53.4%,44.4%,78.9%
sac finance inc,59,45,14,2.8%,4.1%,1.4%,220589,133774,86815,5.2%,8.4%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,39.0%,26.7%,78.6%
heights finance corporation,47,13,34,2.2%,1.2%,3.3%,115199,23746,91453,2.7%,1.5%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,89.4%,76.9%,94.1%
mariner finance llc,45,18,27,2.1%,1.7%,2.6%,139279,53447,85831,3.3%,3.4%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,50.0%,96.3%
unifund ccr llc,45,3,42,2.1%,0.3%,4.1%,79920,0,79920,1.9%,0.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,73.3%,0.0%,78.6%
onemain financial group llc,44,18,26,2.1%,1.7%,2.5%,235517,90472,145044,5.5%,5.7%,5.4%,2.3%,0.0%,3.8%,0.0%,0.0%,0.0%,77.3%,55.6%,92.3%
cavalry spv i llc,42,20,22,2.0%,1.8%,2.1%,98590,18330,80260,2.3%,1.2%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.9%,35.0%,86.4%
td bank usa na,41,34,7,1.9%,3.1%,0.7%,38075,30268,7807,0.9%,1.9%,0.3%,2.4%,2.9%,0.0%,0.0%,0.0%,0.0%,51.2%,47.1%,71.4%
midland funding llc,30,3,27,1.4%,0.3%,2.6%,30793,1081,29712,0.7%,0.1%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,73.3%,33.3%,77.8%
synchrony bank,22,19,3,1.0%,1.7%,0.3%,11976,11976,0,0.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,31.8%,21.1%,100.0%
crown asset management llc,22,7,15,1.0%,0.6%,1.5%,26133,5322,20811,0.6%,0.3%,0.8%,9.1%,0.0%,13.3%,0.0%,0.0%,0.0%,50.0%,42.9%,53.3%
bank of america na,20,12,8,0.9%,1.1%,0.8%,125273,77362,47911,2.9%,4.9%,1.8%,15.0%,16.7%,12.5%,0.0%,0.0%,0.0%,80.0%,66.7%,100.0%
mariner finance llc successor in interest to personal finance company llc,20,13,7,0.9%,1.2%,0.7%,60560,29114,31446,1.4%,1.8%,1.2%,10.0%,7.7%,14.3%,0.0%,0.0%,0.0%,65.0%,46.2%,100.0%
creditmax inc,20,12,8,0.9%,1.1%,0.8%,92666,30385,62281,2.2%,1.9%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,65.0%,41.7%,100.0%
citibank na,19,9,10,0.9%,0.8%,1.0%,66707,19071,47635,1.6%,1.2%,1.8%,5.3%,0.0%,10.0%,0.0%,0.0%,0.0%,52.6%,44.4%,60.0%
credit corp solutions inc,18,10,8,0.9%,0.9%,0.8%,13952,8654,5298,0.3%,0.5%,0.2%,5.6%,0.0%,12.5%,0.0%,0.0%,0.0%,50.0%,60.0%,37.5%
credit acceptance corp.,15,9,6,0.7%,0.8%,0.6%,46457,12061,34396,1.1%,0.8%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,11.1%,83.3%
second round sub llc,15,3,12,0.7%,0.3%,1.2%,14337,1354,12982,0.3%,0.1%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,66.7%,83.3%
no plaintiff found,14,7,7,0.7%,0.6%,0.7%,0,0,0,0.0%,0.0%,0.0%,28.6%,0.0%,57.1%,0.0%,0.0%,0.0%,28.6%,0.0%,57.1%
american express national bank,14,9,5,0.7%,0.8%,0.5%,2731,2731,0,0.1%,0.2%,0.0%,21.4%,22.2%,20.0%,0.0%,0.0%,0.0%,14.3%,11.1%,20.0%
dnf associates llc,11,6,5,0.5%,0.6%,0.5%,8192,2059,6133,0.2%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.5%,33.3%,80.0%
