collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
moberly hospital company llc d/b/a moberly regional med,19,2,17,21.6%,15.4%,22.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,31.6%,0.0%,35.3%,100.0%,100.0%,100.0%
portfolio recovery associates llc,11,1,10,12.5%,7.7%,13.3%,0,0,0,0%,0%,0%,18.2%,0.0%,20.0%,27.3%,0.0%,30.0%,100.0%,100.0%,100.0%
lvnv funding llc,11,1,10,12.5%,7.7%,13.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,45.5%,100.0%,40.0%,100.0%,100.0%,100.0%
midland credit management inc,8,3,5,9.1%,23.1%,6.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,25.0%,0.0%,40.0%,75.0%,33.3%,100.0%
howard county ambulance district,5,1,4,5.7%,7.7%,5.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,60.0%,100.0%,50.0%,100.0%,100.0%,100.0%
midland funding llc,4,1,3,4.5%,7.7%,4.0%,0,0,0,0%,0%,0%,25.0%,0.0%,33.3%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
bank of america,3,0,3,3.4%,0.0%,4.0%,0,0,0,0%,0%,0%,33.3%,0%,33.3%,0.0%,0%,0.0%,100.0%,0%,100.0%
home oil company,2,0,2,2.3%,0.0%,2.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
credit bureau of columbia inc,2,0,2,2.3%,0.0%,2.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
chariton co ambulance district,2,1,1,2.3%,7.7%,1.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,100.0%,100.0%
hannibal regional hospital,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
td bank usa na,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
john fitzgibbon memorial hospital inc,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
citibank n a,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cash link usa llc,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
wakefield & associates inc petitioner,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
midland credit management inc a corporation,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
absolute resolutions investments llc,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
citibank,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jp morgan chase bank na,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
flaspohler frank robert,1,0,1,1.1%,0.0%,1.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
