collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,201,141,60,0.19,0.24,0.13,79828,58061,21767,0.049,0.083,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.24,0.27
PORTFOLIO RECOVERY ASSOCIATES LLC,106,71,35,0.10,0.12,0.078,42460,20759,21701,0.026,0.030,0.023,0.0094,0.014,0.0,0.0,0.0,0.0,0.30,0.099,0.71
MIDLAND CREDIT MANAGEMENT INC,75,36,39,0.072,0.060,0.087,37210,10802,26408,0.023,0.015,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.22,0.54
DISCOVER BANK,68,43,25,0.065,0.072,0.056,115389,93653,21736,0.070,0.13,0.023,0.074,0.070,0.080,0.0,0.0,0.0,0.35,0.33,0.40
CAPITAL ONE BANK (USA) NA,41,35,6,0.039,0.059,0.013,67107,51578,15529,0.041,0.074,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.29,0.67
JEFFERSON CAPITAL SYSTEMS LLC,27,4,23,0.026,0.0067,0.052,23533,12852,10682,0.014,0.018,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.50,0.78
CREDITMAX INC,22,13,9,0.021,0.022,0.020,41590,11958,29631,0.025,0.017,0.031,0.045,0.077,0.0,0.0,0.0,0.0,0.36,0.15,0.67
ONEMAIN FINANCIAL GROUP LLC,20,12,8,0.019,0.020,0.018,34949,13653,21296,0.021,0.020,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.17,0.63
TD BANK USA NA,18,17,1,0.017,0.028,0.0022,12171,12171,0,0.0074,0.017,0.0,0.056,0.059,0.0,0.0,0.0,0.0,0.22,0.24,0.0
SAC FINANCE INC,18,11,7,0.017,0.018,0.016,108367,43792,64575,0.066,0.063,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.36,0.86
UNIFUND CCR LLC,17,0,17,0.016,0.0,0.038,3921,0,3921,0.0024,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35
MIDLAND FUNDING LLC,17,2,15,0.016,0.0033,0.034,6900,976,5924,0.0042,0.0014,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.50,0.53
BANK OF AMERICA NA,15,3,12,0.014,0.0050,0.027,20132,0,20132,0.012,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.33
CREDIT ACCEPTANCE CORPORATION,14,12,2,0.013,0.020,0.0045,42120,42120,0,0.026,0.060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.33,1.0
FIRST FINANCIAL BANK NA,14,9,5,0.013,0.015,0.011,52690,26935,25755,0.032,0.039,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.11,0.40
AMERICAN EXPRESS NATIONAL BANK,14,13,1,0.013,0.022,0.0022,64515,61446,3069,0.039,0.088,0.0032,0.071,0.077,0.0,0.0,0.0,0.0,0.50,0.46,1.0
CAVALRY SPV I LLC,13,4,9,0.012,0.0067,0.020,27355,8934,18422,0.017,0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.75,0.56
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,13,4,9,0.012,0.0067,0.020,81869,9350,72519,0.050,0.013,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.25,0.78
MARINER FINANCE LLC,12,4,8,0.011,0.0067,0.018,39707,3522,36185,0.024,0.0050,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50
SYNCHRONY BANK,12,9,3,0.011,0.015,0.0067,13239,13239,0,0.0080,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.11,1.0
MIDLAND CREDIT MANAGEMENTINC,11,5,6,0.011,0.0084,0.013,10472,0,10472,0.0064,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.20,0.50
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL,11,6,5,0.011,0.010,0.011,18655,1605,17050,0.011,0.0023,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.17,0.80
CREDIT ACCEPTANCE CORP.,9,7,2,0.0086,0.012,0.0045,25537,16731,8807,0.016,0.024,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.29,0.50
CITIBANK NA,9,3,6,0.0086,0.0050,0.013,38681,12118,26563,0.024,0.017,0.028,0.11,0.0,0.17,0.0,0.0,0.0,0.44,0.33,0.50
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,8,4,4,0.0077,0.0067,0.0090,2216,2216,0,0.0013,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.50
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,8,4,4,0.0077,0.0067,0.0090,34772,23504,11268,0.021,0.034,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.75,0.50
BARTHOLOMEW COUNTY TREASURER,7,0,7,0.0067,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,7,4,3,0.0067,0.0067,0.0067,3478,0,3478,0.0021,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.67
CROWN ASSET MANAGEMENT LLC,6,2,4,0.0057,0.0033,0.0090,10971,1367,9604,0.0067,0.0020,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.50,1.0
CREDIT ACCEPTANCE CORPORATION.,6,6,0,0.0057,0.010,0.0,17994,17994,0,0.011,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0
EAGLE FINANCE COMPANY,5,1,4,0.0048,0.0017,0.0090,2504,0,2504,0.0015,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,1.0
CRANE CREDIT UNION,5,1,4,0.0048,0.0017,0.0090,22252,0,22252,0.014,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.50
ABSOLUTE RESOLUTIONS,5,1,4,0.0048,0.0017,0.0090,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SECOND ROUND LP,5,0,5,0.0048,0.0,0.011,1965,0,1965,0.0012,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.0,0.60
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,5,1,4,0.0048,0.0017,0.0090,6718,0,6718,0.0041,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.50
TEACHERS CREDIT UNION,5,3,2,0.0048,0.0050,0.0045,41089,12876,28213,0.025,0.018,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.33,0.50
GMG MOTORS INC,5,4,1,0.0048,0.0067,0.0022,7411,0,7411,0.0045,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,1.0
FORUM CREDIT UNION,5,5,0,0.0048,0.0084,0.0,23582,23582,0,0.014,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.0
NO PLAINTIFF FOUND,4,1,3,0.0038,0.0017,0.0067,235755,0,235755,0.14,0.0,0.25,0.50,1.0,0.33,0.0,0.0,0.0,0.50,0.0,0.67
CVI SGP-CO ACQUISITION TRUST,4,0,4,0.0038,0.0,0.0090,911,0,911,0.00055,0.0,0.00096,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
SECOND ROUND SUB LLC,4,1,3,0.0038,0.0017,0.0067,2100,0,2100,0.0013,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.67
CREDIT CORP SOLUTIONS INC,4,3,1,0.0038,0.0050,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRST PORTFOLIO VENTURES I LLC,4,2,2,0.0038,0.0033,0.0045,2180,2180,0,0.0013,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.50
FIRST FINANCIAL BANK,4,0,4,0.0038,0.0,0.0090,6147,0,6147,0.0037,0.0,0.0065,0.25,0.0,0.25,0.0,0.0,0.0,0.50,0.0,0.50
PREMIER ACCEPTANCE,3,0,3,0.0029,0.0,0.0067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOURSIGHT CAPITAL LLC,3,2,1,0.0029,0.0033,0.0022,0,0,0,0.0,0.0,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THREE RIVERS FEDERAL CREDIT UNION,3,1,2,0.0029,0.0017,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50
JOE'S AUTO SALES INC,3,1,2,0.0029,0.0017,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
VELOCITY INVESTMENTS LLC,3,2,1,0.0029,0.0033,0.0022,5874,5874,0,0.0036,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0
CKS PRIME INVESTMENTS LLC,3,3,0,0.0029,0.0050,0.0,16169,16169,0,0.0098,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
TOYOTA MOTOR CREDIT CORPORATION,3,3,0,0.0029,0.0050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHEASTERN INDIANA ANESTHESIA ASSOC PC,3,3,0,0.0029,0.0050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,3,3,0,0.0029,0.0050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRANSCEND ANESTHESIA P.C.,3,3,0,0.0029,0.0050,0.0,2531,2531,0,0.0015,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,2,0,2,0.0019,0.0,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
FINANCIAL CENTER FIRST CREDIT UNION,2,0,2,0.0019,0.0,0.0045,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.0,0.0,0.0,0.0,0.0,0.0
PRESTIGE FINANCIAL SERVICES,2,0,2,0.0019,0.0,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
HORIZON BANK,2,0,2,0.0019,0.0,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTLAKE SERVICES LLC DBA WESTLAKE FINANCIAL SERVICES,2,1,1,0.0019,0.0017,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
EDWARD ROSE DEVELOPMENT CO LLC AKA LATITUDES APARTMENTS,2,0,2,0.0019,0.0,0.0045,4205,0,4205,0.0026,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
AUTOVEST LLC,2,0,2,0.0019,0.0,0.0045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
GENESIS RECOVERY SERVICES INC,2,0,2,0.0019,0.0,0.0045,4373,0,4373,0.0027,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC ASSIGNEE OF AVANT INC ASSIGNEE OF WEBBANK,2,1,1,0.0019,0.0017,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVALRY SPV ILLC,2,0,2,0.0019,0.0,0.0045,12127,0,12127,0.0074,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY MEMORIAL,2,1,1,0.0019,0.0017,0.0022,1571,0,1571,0.00095,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
ARBORS AT PRINCETON PARK LP ARBORS AT WATERS EDGE,2,1,1,0.0019,0.0017,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAY SKILLMAN PERFORMANCE FORD,2,1,1,0.0019,0.0017,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNAP-ON CREDIT LLC,2,1,1,0.0019,0.0017,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAXTER CREDIT UNION,2,2,0,0.0019,0.0033,0.0,9129,9129,0,0.0055,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
AUTOVEST LLC OF INDIANA,2,2,0,0.0019,0.0033,0.0,6018,6018,0,0.0037,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
ALLY BANK,2,2,0,0.0019,0.0033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORLD FINANCE COMPANY OF INDIANA LLC,2,2,0,0.0019,0.0033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOVEST L.L.C OF INDIANA,2,2,0,0.0019,0.0033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCELERATED INVENTORY MANAGEMENT LLC,2,2,0,0.0019,0.0033,0.0,16979,16979,0,0.010,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
DNF ASSOCIATES LLC,2,2,0,0.0019,0.0033,0.0,212,212,0,0.00013,0.00030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERCHANTS ACCEPTANCE CORP.,2,2,0,0.0019,0.0033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARCLAYS BANK DELAWARE,1,0,1,0.00096,0.0,0.0022,12536,0,12536,0.0076,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ONEMAIN FINANCIAL GROUP LLC SBM TO ONEMAIN FINANCIAL OF INDIANA INC,1,0,1,0.00096,0.0,0.0022,8523,0,8523,0.0052,0.0,0.0090,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK N.A,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ATLAS COLLECTIONS INC,1,0,1,0.00096,0.0,0.0022,10208,0,10208,0.0062,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,1,0,1,0.00096,0.0,0.0022,2363,0,2363,0.0014,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECURITY CREDIT SERVICES LLC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAJESTIC CARE OF NORTH VERNON,1,0,1,0.00096,0.0,0.0022,12743,0,12743,0.0077,0.0,0.013,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BAR-CONS FEDERAL CREDIT UNION,1,0,1,0.00096,0.0,0.0022,9264,0,9264,0.0056,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAY SKILLMAN HOOSIER FORD,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRST FINANCIAL BANK N/A,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SHAW LAW GROUP PLC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS BANK,1,0,1,0.00096,0.0,0.0022,10351,0,10351,0.0063,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
COMMUNITYWIDE FEDERAL CREDIT UNION,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENERBANK USA,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PURDUE UNIVERSITY,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIDGECREST ACCEPTANCE CORPORATION,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FARM BUREAU BANK,1,0,1,0.00096,0.0,0.0022,7417,0,7417,0.0045,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
EAGLE FINANCIAL SERVICES INC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANISTEE ACQUISITIONS LLC,1,0,1,0.00096,0.0,0.0022,2943,0,2943,0.0018,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ORBIT LEASING INC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCKERBIE GLOVE COMPANY TOWN HOME OWNER'S ASSOCIATION INC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
STATE OF INDIANA ON RELATION OF THE INDIANA DEPARTMENT OF WORKFORCE DEVELOPMENT,1,0,1,0.00096,0.0,0.0022,8312,0,8312,0.0051,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
GRINNELL MUTUAL REINSURANCE COMPANY,1,0,1,0.00096,0.0,0.0022,13431,0,13431,0.0082,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
RENAL ASSOCIATES OF CENTRAL INDIANA PC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
COLUMBUS SILGAS INC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARBORS AT PRINCETON PARK,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVI SGP ACQUISITION TRUST,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUDDER ELECTRIC INC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWREZ LLC D/B/A SHELLPOINT MORTGAGE SERVICING,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KING OF FREIGHT LLC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CASCADE CAPITAL LLC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ROOT INSURANCE COMPANY AS SUBROGEE OF JACOB GRIDER,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ARBORS AT PRINCETON PARK LP AKA ARBORS AT WATERS EDGE,1,0,1,0.00096,0.0,0.0022,5189,0,5189,0.0032,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
UHG I LLC,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOFI LENDING CORP. AS ATTORNEY IN FACT FOR REGIONS BANK,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOFI LENDING CORP. AS ATTORNEY IN FACT FOR WILMINGTON TRUST ET AL.,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TREVECCA NAZARENE UNIVERSITY,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
GATEWAY FINANCIAL SOLUTIONS,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROSE-HULMAN INSTITUTE OF TECHNOLOGY,1,0,1,0.00096,0.0,0.0022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NICHOLAS FINANCIAL INC,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOYOTA MOTOR CREDIT CORP,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HENRY GLASS INC DBA SCHEIDLER GLASS,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WASHINGTON COUNTY AMBULANCE SERVICE,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONDA FEDERAL CREDIT UNION,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANKS & BROWER LLC,1,1,0,0.00096,0.0017,0.0,2246,2246,0,0.0014,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
JHPDE FINANCE I LLC,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
JHPDE FINANCE 1 LLC,1,1,0,0.00096,0.0017,0.0,1932,1932,0,0.0012,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WSFS FSB AS TRUSTEE FOR CVI SGP-CO ACQUIS. TRUST,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPGRADE VFN TRUST II,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARTHOLOMEW COUNTY HEALTH DEPARTMENT,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KITCH ACCEPTANCE CORP,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDIANA BELL TELEPHONE CO. D/B/A AT&T INDIANA,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
BUREAUS INVESTMENT GROUP PORTFOLIO NO. 15 LLC,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
RELIABLE AUTO FINANCE,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALAXY INTERNATIONAL PURCHASING LLC,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
BARTHOLOMEW COUNTY DEPARTMENT OF TECHNICAL CODE ENFORCEMENT,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ALLY FINANCIAL INC,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERITAGE ACCEPTANCE CORPORATION,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELOCITY INVESTMENTS LLC ASSIGNEE OF PROSPER FUNDING LLC ASSIGNEE OF WEBBANK,1,1,0,0.00096,0.0017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
