collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDLAND CREDIT MANAGEMENT INC,59,36,23,0.13,0.14,0.12,56747,25868,30880,0.054,0.099,0.039,0.034,0.028,0.043,0.0,0.0,0.0,0.31,0.19,0.48
LVNV FUNDING LLC,54,36,18,0.12,0.14,0.096,30627,24018,6609,0.029,0.092,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.39,0.22
PORTFOLIO RECOVERY ASSOCIATES LLC,35,16,19,0.078,0.062,0.10,69502,25608,43894,0.066,0.098,0.055,0.057,0.0,0.11,0.0,0.0,0.0,0.54,0.19,0.84
CAPITAL ONE BANK (USA) NA,31,22,9,0.070,0.085,0.048,26659,11754,14904,0.025,0.045,0.019,0.032,0.0,0.11,0.0,0.0,0.0,0.32,0.23,0.56
DISCOVER BANK,19,15,4,0.043,0.058,0.021,41421,41421,0,0.039,0.16,0.0,0.11,0.0,0.50,0.0,0.0,0.0,0.26,0.13,0.75
ONEMAIN FINANCIAL GROUP LLC,16,7,9,0.036,0.027,0.048,49478,6262,43217,0.047,0.024,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.14,0.67
SYNCHRONY BANK,15,14,1,0.034,0.054,0.0053,18895,18895,0,0.018,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.29,1.0
JEFFERSON CAPITAL SYSTEMS LLC,13,5,8,0.029,0.019,0.043,9909,2957,6952,0.0094,0.011,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.40,0.63
CAVALRY SPV I LLC,11,8,3,0.025,0.031,0.016,21003,9382,11621,0.020,0.036,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.38,1.0
CITIBANK NA,11,8,3,0.025,0.031,0.016,14625,11877,2748,0.014,0.045,0.0035,0.091,0.0,0.33,0.0,0.0,0.0,0.55,0.50,0.67
MIDLAND FUNDING LLC,10,0,10,0.022,0.0,0.053,2133,0,2133,0.0020,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.0,0.60
CROWN ASSET MANAGEMENT LLC,8,6,2,0.018,0.023,0.011,1645,1645,0,0.0016,0.0063,0.0,0.13,0.0,0.50,0.0,0.0,0.0,0.38,0.50,0.0
CREDIT ACCEPTANCE CORP.,7,4,3,0.016,0.015,0.016,25349,0,25349,0.024,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,7,5,2,0.016,0.019,0.011,15661,7205,8456,0.015,0.028,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.40,1.0
PURDUE FEDERAL CREDIT UNION,7,2,5,0.016,0.0077,0.027,28351,2364,25987,0.027,0.0090,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.50,0.80
BANK OF AMERICA NA,6,2,4,0.013,0.0077,0.021,9256,6075,3180,0.0088,0.023,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.50,1.0
HEIGHTS FINANCE CORPORATION,6,2,4,0.013,0.0077,0.021,8201,0,8201,0.0078,0.0,0.010,0.33,0.50,0.25,0.0,0.0,0.0,0.67,0.0,1.0
MONTICELLO FIRE DEPT,5,2,3,0.011,0.0077,0.016,1032,0,1032,0.00098,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.33
UNIFUND CCR LLC,5,0,5,0.011,0.0,0.027,8667,0,8667,0.0082,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.0,0.60
SAC FINANCE INC,5,4,1,0.011,0.015,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARCLAYS BANK DELAWARE,4,0,4,0.0090,0.0,0.021,10752,0,10752,0.010,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75
CAVALRY SPV ILLC,4,0,4,0.0090,0.0,0.021,15527,0,15527,0.015,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75
AMERICAN EXPRESS NATIONAL BANK,4,4,0,0.0090,0.015,0.0,12134,12134,0,0.012,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
CREDIT ACCEPTANCE CORPORATION,3,2,1,0.0067,0.0077,0.0053,7759,7759,0,0.0074,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0
MONTICELLO EMERGENCY CARE LLC,3,0,3,0.0067,0.0,0.016,19660,0,19660,0.019,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,0,3,0.0067,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
CVI SGP-CO ACQUISITION TRUST,3,0,3,0.0067,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,3,2,1,0.0067,0.0077,0.0053,3456,0,3456,0.0033,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
TEACHERS CREDIT UNION,3,2,1,0.0067,0.0077,0.0053,5627,0,5627,0.0053,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
INDUSTRIAL FEDERAL CREDIT UNION,3,3,0,0.0067,0.012,0.0,14,14,0,0.000013,0.000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
TD BANK USA NA,3,3,0,0.0067,0.012,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELOCITY INVESTMENTS LLC,3,3,0,0.0067,0.012,0.0,4895,4895,0,0.0046,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0
CREDITMAX INC,2,0,2,0.0045,0.0,0.011,15869,0,15869,0.015,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FRANCISCAN HEALTH LAFAYETTE,2,0,2,0.0045,0.0,0.011,6116,0,6116,0.0058,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
NO PLAINTIFF FOUND,2,1,1,0.0045,0.0039,0.0053,0,0,0,0.0,0.0,0.0,0.50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,2,0,2,0.0045,0.0,0.011,18120,0,18120,0.017,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
SOLIDARITY COMMUNITY FEDERAL CREDIT UNION,2,0,2,0.0045,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
SECOND ROUND SUB LLC,2,1,1,0.0045,0.0039,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
DRIVE NOW AUTO CREDIT COMPANY INC,2,1,1,0.0045,0.0039,0.0053,12033,0,12033,0.011,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
VELOCITY INVESTMENTS LLC ASSIGNEE OF PROSPER FUNDING LLC ASSIGNEE OF WEBBANK,2,1,1,0.0045,0.0039,0.0053,12960,0,12960,0.012,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
CREDIT CORP SOLUTIONS INC,2,1,1,0.0045,0.0039,0.0053,5630,3546,2085,0.0053,0.014,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FIRST NATIONAL BANK OF OMAHA,2,2,0,0.0045,0.0077,0.0,0,0,0,0.0,0.0,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOVEST L.L.C OF INDIANA,2,2,0,0.0045,0.0077,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAFAYETTE EMERGENCY CARE PC,2,2,0,0.0045,0.0077,0.0,2124,2124,0,0.0020,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
WELLS FARGO BANK NA,1,0,1,0.0022,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PROMEDICA COLDWATER REGIONAL HOSPITAL,1,0,1,0.0022,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SOLIDARITY COMMUNITY FCU,1,0,1,0.0022,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
IRVING MATERIALS INC,1,0,1,0.0022,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
