collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,57,38,19,0.14,0.17,0.10,9444,3843,5601,0.012,0.014,0.011,0.018,0.026,0.0,0.0,0.0,0.0,0.19,0.16,0.26
MIDLAND CREDIT MANAGEMENT INC,41,26,15,0.098,0.11,0.079,19405,9697,9709,0.025,0.036,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.27,0.13
SAC FINANCE INC,31,15,16,0.074,0.066,0.084,113395,29306,84089,0.15,0.11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.13,0.75
CAPITAL ONE BANK (USA) NA,25,20,5,0.060,0.088,0.026,27830,27830,0,0.036,0.10,0.0,0.040,0.050,0.0,0.0,0.0,0.0,0.44,0.45,0.40
PROFESSIONAL & BUSINESS COLLECTIONS LLC,22,12,10,0.053,0.053,0.053,78861,58922,19938,0.10,0.22,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.33,0.40
JEFFERSON CAPITAL SYSTEMS LLC,22,7,15,0.053,0.031,0.079,17056,0,17056,0.022,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.53
PORTFOLIO RECOVERY ASSOCIATES LLC,21,9,12,0.050,0.039,0.063,12907,7026,5882,0.017,0.026,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.67
DISCOVER BANK,20,15,5,0.048,0.066,0.026,36025,36025,0,0.047,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.33,0.20
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,14,5,9,0.033,0.022,0.047,38797,6915,31882,0.050,0.026,0.063,0.071,0.20,0.0,0.0,0.0,0.0,0.57,0.20,0.78
ONEMAIN FINANCIAL GROUP LLC,13,10,3,0.031,0.044,0.016,45134,26750,18384,0.058,0.099,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.40,1.0
CRANE CREDIT UNION,11,1,10,0.026,0.0044,0.053,18492,0,18492,0.024,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.90
CROWN ASSET MANAGEMENT LLC,11,4,7,0.026,0.018,0.037,4811,3715,1096,0.0062,0.014,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.25,0.71
MEDICAL & PROFESSIONAL COLLECTION SERVICES INC,9,5,4,0.022,0.022,0.021,15484,15484,0,0.020,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.20,0.25
CAVALRY SPV I LLC,7,4,3,0.017,0.018,0.016,0,0,0,0.0,0.0,0.0,0.14,0.0,0.33,0.0,0.0,0.0,0.29,0.25,0.33
UNIFUND CCR LLC,6,0,6,0.014,0.0,0.032,6033,0,6033,0.0078,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
CITIBANK NA,6,4,2,0.014,0.018,0.011,13061,13061,0,0.017,0.048,0.0,0.17,0.0,0.50,0.0,0.0,0.0,0.33,0.25,0.50
AUTOVEST L.L.C OF INDIANA,6,6,0,0.014,0.026,0.0,12440,12440,0,0.016,0.046,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.33,0.0
FIRST FINANCIAL BANK NA,5,1,4,0.012,0.0044,0.021,39246,0,39246,0.051,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,1.0
BANK OF AMERICA NA,5,1,4,0.012,0.0044,0.021,26162,0,26162,0.034,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.0,0.75
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,4,2,2,0.0096,0.0088,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,4,1,3,0.0096,0.0044,0.016,21322,0,21322,0.028,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.67
SECOND ROUND SUB LLC,4,1,3,0.0096,0.0044,0.016,2472,0,2472,0.0032,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,3,2,1,0.0072,0.0088,0.0053,6530,0,6530,0.0084,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
MIDLAND FUNDING LLC,3,0,3,0.0072,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33
TD BANK USA NA,3,2,1,0.0072,0.0088,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
AMERICAN EXPRESS NATIONAL BANK,3,2,1,0.0072,0.0088,0.0053,0,0,0,0.0,0.0,0.0,0.33,0.50,0.0,0.0,0.0,0.0,0.33,0.0,1.0
SYNCHRONY BANK,3,2,1,0.0072,0.0088,0.0053,4253,0,4253,0.0055,0.0,0.0084,0.33,0.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0
HOOSIER ACCOUNTS SERVICE,2,0,2,0.0048,0.0,0.011,38389,0,38389,0.050,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
CAVALRY SPV ILLC,2,0,2,0.0048,0.0,0.011,3554,0,3554,0.0046,0.0,0.0070,0.50,0.0,0.50,0.0,0.0,0.0,0.50,0.0,0.50
FIRST PORTFOLIO VENTURES I LLC,2,0,2,0.0048,0.0,0.011,4578,0,4578,0.0059,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,2,0,2,0.0048,0.0,0.011,3570,0,3570,0.0046,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENTINC,2,1,1,0.0048,0.0044,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRST NATIONAL BANK OF OMAHA,2,2,0,0.0048,0.0088,0.0,5309,5309,0,0.0069,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
WSFS FSB AS TRUSTEE FOR CVI SGP ACQUIS. TRUST,2,2,0,0.0048,0.0088,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORLD FINANCE COMPANY OF INDIANA LLC,2,2,0,0.0048,0.0088,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAGLE FINANCE COMPANY,2,2,0,0.0048,0.0088,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOB ZOSS LAW OFFICE LLC,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DAVIESS REVOLVING LOAN CORPORATION,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTON HOSPITALS INC,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ADVANCED TURF SOLUTIONS INC,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLEINERT KUTZ & ASSOC HAND CARE CENTER,1,0,1,0.0024,0.0,0.0053,21607,0,21607,0.028,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMO HARRIS BANK NA,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
DEACONESS HOSPITAL INC,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELOCITY INVESTMENTS LLC,1,0,1,0.0024,0.0,0.0053,10609,0,10609,0.014,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC AS ASSIGNEE OF WASHINGTON CHYSLERS,1,0,1,0.0024,0.0,0.0053,5136,0,5136,0.0066,0.0,0.010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2006-4,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2007-3,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FINANCE SYSTEM INC SUCCESSOR IN INTEREST TO WEST END BANK,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRINNELL MUTUAL REINSURANCE COMPANY,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NAR. INC,1,0,1,0.0024,0.0,0.0053,7751,0,7751,0.010,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECOND ROUND LP,1,0,1,0.0024,0.0,0.0053,1498,0,1498,0.0019,0.0,0.0030,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CVI SGP ACQUISITION TRUST,1,0,1,0.0024,0.0,0.0053,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRVING MATERIALS INC,1,0,1,0.0024,0.0,0.0053,90295,0,90295,0.12,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDITMAX INC,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2005-1,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHITE RIVER COOPERATIVE INC,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JHPDE FINANCE I LLC,1,1,0,0.0024,0.0044,0.0,3206,3206,0,0.0041,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
TERRE HAUTE HUMANE SOCIETY,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBULANCE MANAGEMENT SERVICES,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHELBY GRAVEL INC D/B/A SHELBY MATERIALS,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKS PRIME INVESTMENTS LLC,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLW ACCOUNTS LLC,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRST FEDERAL SAVINGS BANK,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERCHANTS ACCEPTANCE CORP,1,1,0,0.0024,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
