collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,74,49,25,0.16,0.20,0.11,36334,26450,9884,0.037,0.065,0.017,0.014,0.020,0.0,0.0,0.0,0.0,0.41,0.43,0.36
MIDLAND CREDIT MANAGEMENT INC,40,15,25,0.085,0.060,0.11,79509,6851,72659,0.081,0.017,0.13,0.050,0.0,0.080,0.0,0.0,0.0,0.55,0.40,0.64
PORTFOLIO RECOVERY ASSOCIATES LLC,39,13,26,0.082,0.052,0.12,43179,7906,35273,0.044,0.019,0.061,0.026,0.0,0.038,0.0,0.0,0.0,0.67,0.54,0.73
SAC FINANCE INC,25,18,7,0.053,0.073,0.031,89667,51629,38038,0.091,0.13,0.066,0.040,0.056,0.0,0.0,0.0,0.0,0.44,0.33,0.71
CAPITAL ONE BANK (USA) NA,24,19,5,0.051,0.077,0.022,104102,93085,11017,0.11,0.23,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.63,0.40
JEFFERSON CAPITAL SYSTEMS LLC,21,9,12,0.044,0.036,0.053,12187,9346,2842,0.012,0.023,0.0049,0.095,0.0,0.17,0.0,0.0,0.0,0.62,0.44,0.75
DISCOVER BANK,18,14,4,0.038,0.056,0.018,30006,15968,14038,0.030,0.039,0.024,0.056,0.0,0.25,0.0,0.0,0.0,0.28,0.14,0.75
CITIBANK NA,13,4,9,0.027,0.016,0.040,33418,8911,24508,0.034,0.022,0.042,0.46,0.25,0.56,0.0,0.0,0.0,0.54,0.25,0.67
ONEMAIN FINANCIAL GROUP LLC,12,7,5,0.025,0.028,0.022,18753,8774,9979,0.019,0.021,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.43,0.60
CROWN ASSET MANAGEMENT LLC,12,7,5,0.025,0.028,0.022,16861,6962,9899,0.017,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.43,1.0
CAVALRY SPV I LLC,11,4,7,0.023,0.016,0.031,23338,12549,10789,0.024,0.031,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.75,0.86
EAGLE FINANCE COMPANY,8,2,6,0.017,0.0081,0.027,17117,2667,14450,0.017,0.0065,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.0,0.83
MARINER FINANCE LLC,8,4,4,0.017,0.016,0.018,21789,13168,8620,0.022,0.032,0.015,0.25,0.25,0.25,0.0,0.0,0.0,0.63,0.75,0.50
BANK OF AMERICA NA,7,2,5,0.015,0.0081,0.022,18753,12044,6709,0.019,0.029,0.012,0.29,0.0,0.40,0.0,0.0,0.0,0.71,1.0,0.60
MIDLAND FUNDING LLC,7,0,7,0.015,0.0,0.031,14589,0,14589,0.015,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57
CREDIT ACCEPTANCE CORPORATION,6,3,3,0.013,0.012,0.013,30052,18092,11959,0.030,0.044,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.67
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,6,0,6,0.013,0.0,0.027,10734,0,10734,0.011,0.0,0.019,0.33,0.0,0.33,0.0,0.0,0.0,0.50,0.0,0.50
SECOND ROUND SUB LLC,6,0,6,0.013,0.0,0.027,13030,0,13030,0.013,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,6,4,2,0.013,0.016,0.0089,7128,0,7128,0.0072,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
TD BANK USA NA,4,3,1,0.0085,0.012,0.0044,1255,0,1255,0.0013,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,1.0
HONDA FEDERAL CREDIT UNION,4,3,1,0.0085,0.012,0.0044,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,1.0
CREDITMAX INC,4,3,1,0.0085,0.012,0.0044,18276,7020,11256,0.019,0.017,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0
AMERICAN EXPRESS NATIONAL BANK,4,4,0,0.0085,0.016,0.0,15777,15777,0,0.016,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
SYNCHRONY BANK,4,4,0,0.0085,0.016,0.0,4102,4102,0,0.0042,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
HERITAGE ACCEPTANCE CORPORATION,3,0,3,0.0063,0.0,0.013,31716,0,31716,0.032,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV ILLC,3,0,3,0.0063,0.0,0.013,9580,0,9580,0.0097,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
FOURSIGHT CAPITAL LLC,3,0,3,0.0063,0.0,0.013,24289,0,24289,0.025,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
CVI SGP ACQUISITION TRUST,3,0,3,0.0063,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,3,2,1,0.0063,0.0081,0.0044,7866,4442,3424,0.0080,0.011,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0
