collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,609,418,191,0.13,0.17,0.083,297269,221151,76117,0.022,0.053,0.0083,0.033,0.038,0.021,0.0,0.0,0.0,0.38,0.36,0.42
MIDLAND CREDIT MANAGEMENT INC,583,331,252,0.12,0.13,0.11,550098,236791,313307,0.041,0.057,0.034,0.0051,0.0030,0.0079,0.0,0.0,0.0,0.42,0.29,0.60
PORTFOLIO RECOVERY ASSOCIATES LLC,491,207,284,0.10,0.083,0.12,535625,134250,401374,0.040,0.032,0.044,0.010,0.0097,0.011,0.0,0.0,0.0,0.53,0.33,0.68
CAPITAL ONE BANK (USA) NA,227,180,47,0.047,0.072,0.020,384737,299007,85730,0.029,0.071,0.0093,0.018,0.017,0.021,0.0,0.0,0.0,0.46,0.45,0.51
DISCOVER BANK,207,134,73,0.043,0.054,0.032,616560,301873,314687,0.046,0.072,0.034,0.043,0.037,0.055,0.0,0.0,0.0,0.50,0.40,0.68
JEFFERSON CAPITAL SYSTEMS LLC,172,58,114,0.036,0.023,0.050,185379,26981,158398,0.014,0.0064,0.017,0.012,0.034,0.0,0.0,0.0,0.0,0.48,0.26,0.59
COMMUNITYWIDE FEDERAL CREDIT UNION,133,49,84,0.028,0.020,0.036,696793,94003,602789,0.052,0.022,0.065,0.015,0.0,0.024,0.0,0.0,0.0,0.38,0.10,0.54
ONE ADVANTAGE LLC,119,60,59,0.025,0.024,0.026,1336232,566973,769260,0.10,0.14,0.083,0.0084,0.017,0.0,0.0,0.0,0.0,0.75,0.57,0.93
ONEMAIN FINANCIAL GROUP LLC,112,62,50,0.023,0.025,0.022,646011,265786,380225,0.048,0.064,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.52,0.82
HERITAGE ACCEPTANCE CORPORATION,102,37,65,0.021,0.015,0.028,409089,88737,320352,0.031,0.021,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.30,0.69
GATEWAY FINANCIAL SOLUTIONS,101,58,43,0.021,0.023,0.019,473465,134666,338798,0.035,0.032,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.28,0.79
CROWN ASSET MANAGEMENT LLC,97,40,57,0.020,0.016,0.025,155408,43416,111992,0.012,0.010,0.012,0.041,0.025,0.053,0.0,0.0,0.0,0.72,0.53,0.86
CAVALRY SPV I LLC,91,57,34,0.019,0.023,0.015,131035,78790,52244,0.0098,0.019,0.0057,0.066,0.070,0.059,0.0,0.0,0.0,0.60,0.56,0.68
