collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
PROFESSIONAL & BUSINESS COLLECTIONS LLC,81,45,36,0.11,0.11,0.11,742696,307379,435317,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.42,0.94
MIDLAND CREDIT MANAGEMENT INC,75,51,24,0.10,0.12,0.073,111431,86513,24918,0.041,0.076,0.016,0.013,0.020,0.0,0.0,0.0,0.0,0.61,0.47,0.92
LVNV FUNDING LLC,63,42,21,0.085,0.10,0.064,40922,18472,22450,0.015,0.016,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.38,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,49,20,29,0.066,0.049,0.088,45997,5829,40168,0.017,0.0051,0.025,0.020,0.0,0.034,0.0,0.0,0.0,0.59,0.20,0.86
DISCOVER BANK,43,34,9,0.058,0.083,0.027,158771,110918,47853,0.058,0.097,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.41,1.0
CAPITAL ONE BANK (USA) NA,39,33,6,0.053,0.080,0.018,75069,61026,14042,0.027,0.054,0.0087,0.051,0.030,0.17,0.0,0.0,0.0,0.69,0.70,0.67
JEFFERSON CAPITAL SYSTEMS LLC,31,10,21,0.042,0.024,0.064,86760,37788,48972,0.032,0.033,0.030,0.16,0.10,0.19,0.0,0.0,0.0,0.87,0.70,0.95
ONEMAIN FINANCIAL GROUP LLC,24,12,12,0.032,0.029,0.036,150614,65289,85325,0.055,0.057,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.50,1.0
CROWN ASSET MANAGEMENT LLC,19,4,15,0.026,0.0098,0.046,40627,4848,35779,0.015,0.0043,0.022,0.11,0.0,0.13,0.0,0.0,0.0,0.89,0.50,1.0
CITIBANK NA,16,7,9,0.022,0.017,0.027,80913,35405,45508,0.029,0.031,0.028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,16,6,10,0.022,0.015,0.030,52713,13217,39496,0.019,0.012,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.67,0.90
CAVALRY SPV I LLC,14,7,7,0.019,0.017,0.021,24124,4549,19574,0.0088,0.0040,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.29,1.0
MARINER FINANCE LLC,12,5,7,0.016,0.012,0.021,28000,0,28000,0.010,0.0,0.017,0.083,0.0,0.14,0.0,0.0,0.0,0.58,0.0,1.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,11,2,9,0.015,0.0049,0.027,77200,16697,60503,0.028,0.015,0.038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
UNIFUND CCR LLC,9,1,8,0.012,0.0024,0.024,12895,2677,10218,0.0047,0.0024,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,0.88
SECOND ROUND SUB LLC,8,0,8,0.011,0.0,0.024,6910,0,6910,0.0025,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,8,1,7,0.011,0.0024,0.021,54188,11436,42752,0.020,0.010,0.027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,8,4,4,0.011,0.0098,0.012,58116,2971,55145,0.021,0.0026,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.50,1.0
SYNCHRONY BANK,8,8,0,0.011,0.020,0.0,23488,23488,0,0.0086,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0
CREDITMAX INC,7,5,2,0.0095,0.012,0.0061,44998,25868,19130,0.016,0.023,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.80,1.0
MIDLAND FUNDING LLC,6,1,5,0.0081,0.0024,0.015,6639,0,6639,0.0024,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,1.0
PROFESSIONAL & BUSINESS COLLECTIONS,6,1,5,0.0081,0.0024,0.015,30276,0,30276,0.011,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,1.0
AMERICAN EXPRESS NATIONAL BANK,6,6,0,0.0081,0.015,0.0,33727,33727,0,0.012,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.83,0.0
WORLD FINANCE COMPANY OF INDIANA LLC,6,6,0,0.0081,0.015,0.0,4569,4569,0,0.0017,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
HOOSIER ACCOUNTS SERVICE,6,6,0,0.0081,0.015,0.0,40993,40993,0,0.015,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0
