collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,296,188,108,0.17,0.20,0.14,231113,123610,107503,0.050,0.060,0.041,0.014,0.016,0.0093,0.0,0.0,0.0,0.65,0.52,0.88
PORTFOLIO RECOVERY ASSOCIATES LLC,183,71,112,0.11,0.075,0.14,220363,78035,142328,0.047,0.038,0.055,0.016,0.014,0.018,0.0,0.0,0.0,0.62,0.41,0.75
MIDLAND CREDIT MANAGEMENT INC,164,97,67,0.095,0.10,0.086,242448,98367,144081,0.052,0.048,0.055,0.012,0.021,0.0,0.0,0.0,0.0,0.65,0.47,0.91
DISCOVER BANK,79,60,19,0.046,0.063,0.024,311049,202175,108874,0.067,0.098,0.042,0.11,0.12,0.11,0.0,0.0,0.0,0.53,0.40,0.95
CAPITAL ONE BANK (USA) NA,73,52,21,0.042,0.055,0.027,220592,151004,69588,0.047,0.073,0.027,0.068,0.038,0.14,0.0,0.0,0.0,0.75,0.71,0.86
JEFFERSON CAPITAL SYSTEMS LLC,67,28,39,0.039,0.030,0.050,104383,12264,92119,0.022,0.0059,0.035,0.015,0.0,0.026,0.0,0.0,0.0,0.64,0.29,0.90
CROWN ASSET MANAGEMENT LLC,60,37,23,0.035,0.039,0.030,117375,68707,48668,0.025,0.033,0.019,0.017,0.027,0.0,0.0,0.0,0.0,0.70,0.59,0.87
SAC FINANCE INC,51,35,16,0.030,0.037,0.021,331173,172561,158612,0.071,0.084,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.49,0.75
CAVALRY SPV I LLC,37,24,13,0.021,0.025,0.017,73839,30381,43457,0.016,0.015,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.38,1.0
ONEMAIN FINANCIAL GROUP LLC,33,19,14,0.019,0.020,0.018,165942,67983,97959,0.036,0.033,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.47,0.93
CITIBANK NA,32,13,19,0.019,0.014,0.024,126301,43344,82958,0.027,0.021,0.032,0.19,0.15,0.21,0.0,0.0,0.0,0.72,0.46,0.89
MIDLAND FUNDING LLC,32,1,31,0.019,0.0011,0.040,36011,0,36011,0.0077,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.84
SYNCHRONY BANK,29,25,4,0.017,0.026,0.0051,39633,37222,2412,0.0085,0.018,0.00093,0.034,0.0,0.25,0.0,0.0,0.0,0.52,0.44,1.0
UNIFUND CCR LLC,24,2,22,0.014,0.0021,0.028,30141,0,30141,0.0065,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.95
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,19,9,10,0.011,0.0095,0.013,85614,31738,53876,0.018,0.015,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.56,0.90
DNF ASSOCIATES LLC,19,19,0,0.011,0.020,0.0,8429,8429,0,0.0018,0.0041,0.0,0.053,0.053,0.0,0.0,0.0,0.0,0.26,0.26,0.0
THE FAIRMOUNT STATE BANK,19,19,0,0.011,0.020,0.0,37471,37471,0,0.0080,0.018,0.0,0.053,0.053,0.0,0.0,0.0,0.0,0.37,0.37,0.0
SECOND ROUND SUB LLC,18,7,11,0.010,0.0074,0.014,20759,8586,12172,0.0044,0.0042,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.86,0.82
DRIVE NOW AUTO CREDIT COMPANY INC,16,11,5,0.0093,0.012,0.0064,145430,99314,46116,0.031,0.048,0.018,0.063,0.091,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,11,6,5,0.0064,0.0063,0.0064,22269,6806,15463,0.0048,0.0033,0.0059,0.091,0.17,0.0,0.0,0.0,0.0,0.55,0.33,0.80
TD BANK USA NA,11,8,3,0.0064,0.0084,0.0039,13263,10854,2409,0.0028,0.0053,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.50,1.0
COMMUNITYWIDE FEDERAL CREDIT UNION,11,7,4,0.0064,0.0074,0.0051,33448,0,33448,0.0072,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.50
CREDIT CORP SOLUTIONS INC,11,6,5,0.0064,0.0063,0.0064,10973,9756,1217,0.0024,0.0047,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.67,0.60
HEIGHTS FINANCE CORPORATION,10,3,7,0.0058,0.0032,0.0090,40658,15821,24837,0.0087,0.0077,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,10,6,4,0.0058,0.0063,0.0051,22955,9058,13897,0.0049,0.0044,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,0.75
GRANT COUNTY STATE BANK,9,3,6,0.0052,0.0032,0.0077,83571,38464,45107,0.018,0.019,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.33,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,9,6,3,0.0052,0.0063,0.0039,21871,15600,6271,0.0047,0.0076,0.0024,0.11,0.17,0.0,0.0,0.0,0.0,0.89,0.83,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF SYNCHRONY BANK,8,2,6,0.0046,0.0021,0.0077,18796,0,18796,0.0040,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.83
CREDITMAX INC,8,4,4,0.0046,0.0042,0.0051,38203,19739,18464,0.0082,0.0096,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.75,1.0
IOM HEALTH SYSTEM L.P.,8,4,4,0.0046,0.0042,0.0051,33524,0,33524,0.0072,0.0,0.013,0.13,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.50
HERITAGE ACCEPTANCE CORPORATION,7,1,6,0.0041,0.0011,0.0077,64397,8036,56361,0.014,0.0039,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.0,0.83
FORTRESS FEDERAL CREDIT UNION,7,1,6,0.0041,0.0011,0.0077,52768,0,52768,0.011,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.0,0.83
VIA CREDIT UNION,7,3,4,0.0041,0.0032,0.0051,24570,13740,10830,0.0053,0.0067,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.0,0.75
CVI SGP ACQUISITION TRUST,7,0,7,0.0041,0.0,0.0090,11893,0,11893,0.0025,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT ACCEPTANCE CORPORATION,7,5,2,0.0041,0.0053,0.0026,59986,43395,16591,0.013,0.021,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.80,1.0
NO PLAINTIFF FOUND,6,2,4,0.0035,0.0021,0.0051,30543,0,30543,0.0065,0.0,0.012,0.33,0.50,0.25,0.0,0.0,0.0,0.50,0.50,0.50
RENT TO OWN RENTALS LLC,6,2,4,0.0035,0.0021,0.0051,6842,0,6842,0.0015,0.0,0.0026,0.17,0.0,0.25,0.0,0.0,0.0,0.67,0.50,0.75
