collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,90,55,35,15.1%,17.6%,12.4%,42523,26047,16476,3.5%,5.8%,2.2%,16.7%,27.3%,0.0%,0.0%,0.0%,0.0%,38.9%,32.7%,48.6%
PORTFOLIO RECOVERY ASSOCIATES LLC,59,24,35,9.9%,7.7%,12.4%,84511,38922,45589,7.0%,8.7%,6.0%,22.0%,45.8%,5.7%,0.0%,0.0%,0.0%,64.4%,54.2%,71.4%
MIDLAND CREDIT MANAGEMENT INC,54,29,25,9.1%,9.3%,8.8%,60625,24957,35668,5.0%,5.6%,4.7%,16.7%,31.0%,0.0%,0.0%,0.0%,0.0%,50.0%,41.4%,60.0%
CAPITAL ONE BANK (USA) NA,35,30,5,5.9%,9.6%,1.8%,44010,29866,14145,3.7%,6.7%,1.9%,45.7%,53.3%,0.0%,0.0%,0.0%,0.0%,40.0%,33.3%,80.0%
DISCOVER BANK,32,25,7,5.4%,8.0%,2.5%,76484,40617,35867,6.4%,9.1%,4.7%,25.0%,32.0%,0.0%,0.0%,0.0%,0.0%,43.8%,36.0%,71.4%
SULLIVAN COUNTY COMMUNITY HOSPITAL,26,22,4,4.4%,7.0%,1.4%,28397,17399,10998,2.4%,3.9%,1.5%,30.8%,36.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
JEFFERSON CAPITAL SYSTEMS LLC,23,8,15,3.9%,2.6%,5.3%,26901,2259,24642,2.2%,0.5%,3.3%,8.7%,25.0%,0.0%,0.0%,0.0%,0.0%,56.5%,37.5%,66.7%
ONEMAIN FINANCIAL GROUP LLC,14,5,9,2.3%,1.6%,3.2%,93066,19685,73380,7.7%,4.4%,9.7%,14.3%,40.0%,0.0%,0.0%,0.0%,0.0%,78.6%,60.0%,88.9%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,13,4,9,2.2%,1.3%,3.2%,37634,20054,17580,3.1%,4.5%,2.3%,15.4%,50.0%,0.0%,0.0%,0.0%,0.0%,53.8%,50.0%,55.6%
CROWN ASSET MANAGEMENT LLC,13,4,9,2.2%,1.3%,3.2%,49779,3455,46325,4.1%,0.8%,6.1%,15.4%,25.0%,11.1%,0.0%,0.0%,0.0%,84.6%,50.0%,100.0%
