collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,616,428,188,0.12,0.14,0.087,17347,7471,9876,0.010,0.022,0.0073,0.039,0.047,0.021,0.0,0.0,0.0,0.63,0.50,0.93
MIDLAND CREDIT MANAGEMENT INC,611,350,261,0.12,0.11,0.12,38678,7070,31608,0.023,0.020,0.023,0.026,0.029,0.023,0.0016,0.0,0.0038,0.67,0.47,0.95
PORTFOLIO RECOVERY ASSOCIATES LLC,482,216,266,0.092,0.070,0.12,6694,3395,3299,0.0039,0.0098,0.0024,0.025,0.042,0.011,0.0,0.0,0.0,0.74,0.49,0.94
CAPITAL ONE BANK USA NA,251,163,88,0.048,0.053,0.041,6272,6272,0,0.0037,0.018,0.0,0.060,0.061,0.057,0.0,0.0,0.0,0.80,0.72,0.94
DISCOVER BANK,248,181,67,0.047,0.059,0.031,19321,11858,7463,0.011,0.034,0.0055,0.16,0.17,0.15,0.0,0.0,0.0,0.60,0.50,0.87
JEFFERSON CAPITAL SYSTEMS LLC,174,76,98,0.033,0.025,0.046,11051,0,11051,0.0065,0.0,0.0081,0.017,0.013,0.020,0.0,0.0,0.0,0.67,0.39,0.88
CAVALRY SPV I LLC,172,97,75,0.033,0.031,0.035,7479,1002,6477,0.0044,0.0029,0.0048,0.058,0.021,0.11,0.0,0.0,0.0,0.73,0.53,0.99
CITIBANK NA,133,71,62,0.025,0.023,0.029,27077,8783,18294,0.016,0.025,0.013,0.17,0.085,0.26,0.0,0.0,0.0,0.74,0.55,0.97
BANK OF AMERICA NA,128,74,54,0.024,0.024,0.025,0,0,0,0.0,0.0,0.0,0.15,0.095,0.22,0.0,0.0,0.0,0.77,0.64,0.94
AMERICAN EXPRESS NATIONAL BANK,124,93,31,0.024,0.030,0.014,21652,21652,0,0.013,0.063,0.0,0.15,0.14,0.16,0.0,0.0,0.0,0.72,0.62,1.0
CROWN ASSET MANAGEMENT LLC,109,56,53,0.021,0.018,0.025,12082,1496,10585,0.0071,0.0043,0.0078,0.092,0.018,0.17,0.0,0.0,0.0,0.74,0.54,0.96
CAPITAL ONE BANK (USA) NA,101,100,1,0.019,0.032,0.00046,2799,2799,0,0.0016,0.0081,0.0,0.059,0.060,0.0,0.0,0.0,0.0,0.50,0.50,1.0
NO PLAINTIFF FOUND,98,60,38,0.019,0.019,0.018,327313,25,327288,0.19,0.000072,0.24,0.13,0.12,0.16,0.0,0.0,0.0,0.54,0.35,0.84
ONEMAIN FINANCIAL GROUP LLC,82,50,32,0.016,0.016,0.015,26917,13473,13444,0.016,0.039,0.0099,0.049,0.060,0.031,0.0,0.0,0.0,0.65,0.44,0.97
SYNCHRONY BANK,82,75,7,0.016,0.024,0.0033,0,0,0,0.0,0.0,0.0,0.12,0.12,0.14,0.0,0.0,0.0,0.55,0.51,1.0
MARINER FINANCE LLC,68,52,16,0.013,0.017,0.0074,23697,17113,6584,0.014,0.049,0.0049,0.015,0.019,0.0,0.0,0.0,0.0,0.41,0.25,0.94
MIDLAND FUNDING LLC,66,5,61,0.013,0.0016,0.028,4364,0,4364,0.0026,0.0,0.0032,0.030,0.0,0.033,0.0,0.0,0.0,0.97,0.60,1.0
TD BANK USA NA,65,63,2,0.012,0.020,0.00093,2943,1549,1394,0.0017,0.0045,0.0010,0.077,0.079,0.0,0.0,0.0,0.0,0.74,0.73,1.0
NEW WORLD COLLECTIONS INC,56,27,29,0.011,0.0087,0.013,1433,1433,0,0.00084,0.0041,0.0,0.018,0.037,0.0,0.0,0.0,0.0,0.68,0.48,0.86
