collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,475,324,151,0.15,0.18,0.10,269027,181807,87220,0.049,0.084,0.026,0.027,0.037,0.0066,0.0,0.0,0.0,0.35,0.32,0.39
MIDLAND CREDIT MANAGEMENT INC,400,210,190,0.12,0.12,0.13,318461,103184,215277,0.058,0.048,0.064,0.013,0.0095,0.016,0.0,0.0,0.0,0.42,0.20,0.65
PORTFOLIO RECOVERY ASSOCIATES LLC,324,123,201,0.10,0.069,0.14,339536,87536,252000,0.061,0.041,0.075,0.025,0.033,0.020,0.0,0.0,0.0,0.53,0.37,0.64
CAPITAL ONE BANK (USA) NA,235,192,43,0.073,0.11,0.030,350943,271675,79269,0.064,0.13,0.024,0.034,0.031,0.047,0.0,0.0,0.0,0.44,0.41,0.58
DISCOVER BANK,172,127,45,0.054,0.072,0.031,448532,252870,195662,0.081,0.12,0.058,0.13,0.14,0.089,0.0,0.0,0.0,0.46,0.38,0.69
JEFFERSON CAPITAL SYSTEMS LLC,106,39,67,0.033,0.022,0.046,120854,22403,98451,0.022,0.010,0.029,0.0094,0.026,0.0,0.0,0.0,0.0,0.42,0.18,0.55
CITIBANK NA,75,36,39,0.023,0.020,0.027,96053,17970,78082,0.017,0.0083,0.023,0.13,0.083,0.18,0.0,0.0,0.0,0.53,0.25,0.79
CROWN ASSET MANAGEMENT LLC,68,30,38,0.021,0.017,0.026,133898,54113,79785,0.024,0.025,0.024,0.059,0.067,0.053,0.0,0.0,0.0,0.75,0.47,0.97
CAVALRY SPV I LLC,66,30,36,0.021,0.017,0.025,171677,59014,112663,0.031,0.027,0.033,0.076,0.067,0.083,0.0,0.0,0.0,0.65,0.47,0.81
ONEMAIN FINANCIAL GROUP LLC,52,32,20,0.016,0.018,0.014,170973,77024,93949,0.031,0.036,0.028,0.019,0.0,0.050,0.0,0.0,0.0,0.48,0.34,0.70
BANK OF AMERICA NA,50,21,29,0.016,0.012,0.020,269420,41578,227843,0.049,0.019,0.068,0.12,0.0,0.21,0.0,0.0,0.0,0.60,0.38,0.76
MARINER FINANCE LLC,48,27,21,0.015,0.015,0.015,77596,40542,37054,0.014,0.019,0.011,0.042,0.0,0.095,0.0,0.0,0.0,0.58,0.33,0.90
SYNCHRONY BANK,48,45,3,0.015,0.025,0.0021,44147,37779,6367,0.0080,0.018,0.0019,0.10,0.11,0.0,0.0,0.0,0.0,0.33,0.31,0.67
MIDLAND FUNDING LLC,44,4,40,0.014,0.0023,0.028,60077,3012,57065,0.011,0.0014,0.017,0.068,0.0,0.075,0.0,0.0,0.0,0.66,0.75,0.65
FORUM CREDIT UNION,40,19,21,0.012,0.011,0.015,250519,74352,176167,0.045,0.035,0.052,0.050,0.053,0.048,0.0,0.0,0.0,0.63,0.37,0.86
AMERICAN EXPRESS NATIONAL BANK,39,32,7,0.012,0.018,0.0049,105211,43224,61988,0.019,0.020,0.018,0.18,0.19,0.14,0.0,0.0,0.0,0.28,0.25,0.43
EAGLE FINANCE COMPANY,37,15,22,0.012,0.0085,0.015,47583,19446,28137,0.0086,0.0090,0.0084,0.027,0.0,0.045,0.0,0.0,0.0,0.62,0.27,0.86
SECOND ROUND SUB LLC,37,9,28,0.012,0.0051,0.019,38958,0,38958,0.0071,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.89
TD BANK USA NA,35,31,4,0.011,0.018,0.0028,26853,23184,3669,0.0049,0.011,0.0011,0.057,0.032,0.25,0.0,0.0,0.0,0.54,0.48,1.0
UNIFUND CCR LLC,35,5,30,0.011,0.0028,0.021,51526,0,51526,0.0093,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.67
NO PLAINTIFF FOUND,25,15,10,0.0078,0.0085,0.0069,4618,456,4162,0.00084,0.00021,0.0012,0.32,0.33,0.30,0.0,0.0,0.0,0.28,0.20,0.40
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,20,9,11,0.0062,0.0051,0.0076,60913,19154,41759,0.011,0.0089,0.012,0.10,0.11,0.091,0.0,0.0,0.0,0.70,0.56,0.82
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,19,3,16,0.0059,0.0017,0.011,132940,31944,100997,0.024,0.015,0.030,0.11,0.0,0.13,0.0,0.0,0.0,0.74,0.67,0.75
CREDIT ACCEPTANCE CORP.,18,9,9,0.0056,0.0051,0.0062,36947,0,36947,0.0067,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.11,0.67
FORD MOTOR CREDIT COMPANY LLC,18,10,8,0.0056,0.0056,0.0055,67235,34768,32467,0.012,0.016,0.0096,0.22,0.20,0.25,0.0,0.0,0.0,0.56,0.40,0.75
CREDITMAX INC,17,8,9,0.0053,0.0045,0.0062,15741,4358,11383,0.0029,0.0020,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.50,0.89
CAVALRY SPV ILLC,17,3,14,0.0053,0.0017,0.0097,55931,24646,31285,0.010,0.011,0.0093,0.059,0.0,0.071,0.0,0.0,0.0,0.76,1.0,0.71
CREDIT CORP SOLUTIONS INC,17,10,7,0.0053,0.0056,0.0049,33211,18904,14307,0.0060,0.0088,0.0042,0.059,0.0,0.14,0.0,0.0,0.0,0.47,0.40,0.57
DNF ASSOCIATES LLC,16,14,2,0.0050,0.0079,0.0014,7817,6786,1031,0.0014,0.0032,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.36,1.0
MIDLAND CREDIT MANAGEMENTINC,16,7,9,0.0050,0.0040,0.0062,40845,17647,23198,0.0074,0.0082,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.71,0.78
NEW WORLD COLLECTIONS INC,14,9,5,0.0044,0.0051,0.0035,12373,5555,6818,0.0022,0.0026,0.0020,0.071,0.0,0.20,0.0,0.0,0.0,0.50,0.22,1.0
JOE'S AUTO SALES INC,11,4,7,0.0034,0.0023,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.25,1.0
HEIGHTS FINANCE CORPORATION,11,6,5,0.0034,0.0034,0.0035,22314,11702,10612,0.0040,0.0054,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.50,0.80
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,11,5,6,0.0034,0.0028,0.0042,25844,6953,18892,0.0047,0.0032,0.0056,0.091,0.20,0.0,0.0,0.0,0.0,0.45,0.40,0.50
HERITAGE ACCEPTANCE CORPORATION,11,5,6,0.0034,0.0028,0.0042,19523,0,19523,0.0035,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.20,1.0
GOLDMAN SACHS BANK USA,11,10,1,0.0034,0.0056,0.00069,0,0,0,0.0,0.0,0.0,0.091,0.0,1.0,0.0,0.0,0.0,0.27,0.20,1.0
CREDIT ACCEPTANCE CORPORATION,10,8,2,0.0031,0.0045,0.0014,34265,34265,0,0.0062,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.63,0.0
CKS PRIME INVESTMENTS LLC,10,10,0,0.0031,0.0056,0.0,6010,6010,0,0.0011,0.0028,0.0,0.20,0.20,0.0,0.0,0.0,0.0,0.50,0.50,0.0
CRANE CREDIT UNION,9,5,4,0.0028,0.0028,0.0028,34051,9697,24354,0.0062,0.0045,0.0072,0.11,0.20,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FOURSIGHT CAPITAL LLC,9,4,5,0.0028,0.0023,0.0035,99286,41835,57451,0.018,0.019,0.017,0.22,0.50,0.0,0.0,0.0,0.0,0.67,0.25,1.0
BARCLAYS BANK DELAWARE,8,0,8,0.0025,0.0,0.0055,38303,0,38303,0.0069,0.0,0.011,0.13,0.0,0.13,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC SUCCESSOR IN INTEREST TO FINGERHUT ADVANTAGE,8,0,8,0.0025,0.0,0.0055,5280,0,5280,0.00096,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.63
VELOCITY INVESTMENTS LLC ASSIGNEE OF PROSPER FUNDING LLC ASSIGNEE OF WEBBANK,8,4,4,0.0025,0.0023,0.0028,54615,5088,49527,0.0099,0.0024,0.015,0.25,0.25,0.25,0.0,0.0,0.0,0.63,0.25,1.0
VELOCITY INVESTMENTS LLC,8,6,2,0.0025,0.0034,0.0014,18965,3637,15328,0.0034,0.0017,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,1.0
FIRST PORTFOLIO VENTURES I LLC,8,1,7,0.0025,0.00056,0.0049,19830,0,19830,0.0036,0.0,0.0059,0.13,0.0,0.14,0.0,0.0,0.0,0.63,1.0,0.57
CAVALRY SPV I LLC AS ASSIGNEE OF SYNCHRONY BANK,7,0,7,0.0022,0.0,0.0049,12773,0,12773,0.0023,0.0,0.0038,0.14,0.0,0.14,0.0,0.0,0.0,0.86,0.0,0.86
CAVALRY SPV I LLC AS ASSIGNEE OF COMENITY BANK,7,3,4,0.0022,0.0017,0.0028,14667,12469,2198,0.0027,0.0058,0.00065,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.67,0.75
FINANCIAL CENTER FIRST CREDIT UNION,7,6,1,0.0022,0.0034,0.00069,3032,0,3032,0.00055,0.0,0.00090,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.17,1.0
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,7,6,1,0.0022,0.0034,0.00069,2706,2706,0,0.00049,0.0013,0.0,0.14,0.17,0.0,0.0,0.0,0.0,0.57,0.67,0.0
C&F FINANCE COMPANY,6,1,5,0.0019,0.00056,0.0035,18920,0,18920,0.0034,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,6,2,4,0.0019,0.0011,0.0028,13161,1675,11487,0.0024,0.00078,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50
INDIANAPOLIS MARTIAL ARTS CLUB LLC,6,2,4,0.0019,0.0011,0.0028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
SECOND ROUND LP,6,0,6,0.0019,0.0,0.0042,3784,0,3784,0.00069,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
TEACHERS CREDIT UNION,6,2,4,0.0019,0.0011,0.0028,37981,14090,23891,0.0069,0.0065,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,0.75
GATEWAY FINANCIAL SOLUTIONS,6,4,2,0.0019,0.0023,0.0014,9960,9960,0,0.0018,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.50
