collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,168,113,55,15.1%,18.5%,11.0%,69384,51001,18383,2.6%,4.7%,1.2%,3.0%,4.4%,0.0%,0.0%,0.0%,0.0%,33.9%,34.5%,32.7%
PORTFOLIO RECOVERY ASSOCIATES LLC,111,38,73,10.0%,6.2%,14.5%,119445,33826,85619,4.5%,3.1%,5.5%,0.9%,2.6%,0.0%,0.0%,0.0%,0.0%,59.5%,42.1%,68.5%
MIDLAND CREDIT MANAGEMENT INC,98,41,57,8.8%,6.7%,11.4%,126995,23232,103763,4.8%,2.1%,6.7%,1.0%,2.4%,0.0%,0.0%,0.0%,0.0%,59.2%,34.1%,77.2%
CAPITAL ONE BANK (USA) NA,56,44,12,5.0%,7.2%,2.4%,121084,98866,22218,4.6%,9.1%,1.4%,1.8%,2.3%,0.0%,0.0%,0.0%,0.0%,55.4%,59.1%,41.7%
DISCOVER BANK,54,32,22,4.8%,5.2%,4.4%,171796,70961,100835,6.5%,6.5%,6.5%,5.6%,6.3%,4.5%,0.0%,0.0%,0.0%,53.7%,37.5%,77.3%
SAC FINANCE INC,49,35,14,4.4%,5.7%,2.8%,229061,132949,96112,8.7%,12.3%,6.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.9%,37.1%,64.3%
JEFFERSON CAPITAL SYSTEMS LLC,46,16,30,4.1%,2.6%,6.0%,60025,18288,41736,2.3%,1.7%,2.7%,2.2%,0.0%,3.3%,0.0%,0.0%,0.0%,43.5%,31.3%,50.0%
MIDLAND FUNDING LLC,42,36,6,3.8%,5.9%,1.2%,4868,1724,3144,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.9%,5.6%,50.0%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,27,15,12,2.4%,2.5%,2.4%,113619,44810,68808,4.3%,4.1%,4.4%,3.7%,0.0%,8.3%,0.0%,0.0%,0.0%,85.2%,73.3%,100.0%
ATLAS COLLECTIONS,26,9,17,2.3%,1.5%,3.4%,172993,40192,132801,6.5%,3.7%,8.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.5%,33.3%,76.5%
CROWN ASSET MANAGEMENT LLC,25,12,13,2.2%,2.0%,2.6%,28271,21152,7119,1.1%,2.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,84.0%,91.7%,76.9%
CAVALRY SPV I LLC,23,17,6,2.1%,2.8%,1.2%,37060,17454,19606,1.4%,1.6%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,39.1%,23.5%,83.3%
CITIBANK NA,22,11,11,2.0%,1.8%,2.2%,47075,29810,17265,1.8%,2.8%,1.1%,18.2%,18.2%,18.2%,0.0%,0.0%,0.0%,72.7%,72.7%,72.7%
ONEMAIN FINANCIAL GROUP LLC,21,14,7,1.9%,2.3%,1.4%,86337,55059,31277,3.3%,5.1%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.9%,57.1%,71.4%
SECOND ROUND SUB LLC,18,5,13,1.6%,0.8%,2.6%,13660,0,13660,0.5%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,92.3%
SYNCHRONY BANK,13,11,2,1.2%,1.8%,0.4%,8955,8955,0,0.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.5%,54.5%,100.0%
ATLAS COLLECTIONS INC,13,10,3,1.2%,1.6%,0.6%,73707,59647,14060,2.8%,5.5%,0.9%,7.7%,0.0%,33.3%,0.0%,0.0%,0.0%,84.6%,90.0%,66.7%
TD BANK USA NA,12,10,2,1.1%,1.6%,0.4%,21368,17572,3796,0.8%,1.6%,0.2%,8.3%,0.0%,50.0%,0.0%,0.0%,0.0%,41.7%,40.0%,50.0%
BANK OF AMERICA NA,9,3,6,0.8%,0.5%,1.2%,18701,3117,15584,0.7%,0.3%,1.0%,11.1%,0.0%,16.7%,0.0%,0.0%,0.0%,55.6%,33.3%,66.7%
UNIFUND CCR LLC,9,0,9,0.8%,0.0%,1.8%,16941,0,16941,0.6%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,0.0%,88.9%
HEIGHTS FINANCE CORPORATION,9,4,5,0.8%,0.7%,1.0%,18674,6327,12347,0.7%,0.6%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,75.0%,100.0%
FORUM CREDIT UNION,8,4,4,0.7%,0.7%,0.8%,21771,9449,12323,0.8%,0.9%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,50.0%,100.0%
CREDIT ACCEPTANCE CORP.,8,6,2,0.7%,1.0%,0.4%,34745,23649,11096,1.3%,2.2%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,33.3%,50.0%
PRESTIGE FINANCIAL SERVICES,8,5,3,0.7%,0.8%,0.6%,61959,44852,17107,2.3%,4.1%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,80.0%,33.3%
DNF ASSOCIATES LLC,7,5,2,0.6%,0.8%,0.4%,5242,2789,2453,0.2%,0.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,40.0%,100.0%
NEW WORLD COLLECTIONS INC,7,1,6,0.6%,0.2%,1.2%,10128,0,10128,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,0.0%,83.3%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,6,2,4,0.5%,0.3%,0.8%,7591,0,7591,0.3%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,25.0%
CREDITMAX INC,6,2,4,0.5%,0.3%,0.8%,19478,0,19478,0.7%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
AMERICAN EXPRESS NATIONAL BANK,6,5,1,0.5%,0.8%,0.2%,43051,43051,0,1.6%,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,40.0%,0.0%
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,5,1,4,0.4%,0.2%,0.8%,12953,0,12953,0.5%,0.0%,0.8%,20.0%,0.0%,25.0%,0.0%,0.0%,0.0%,80.0%,0.0%,100.0%
CREDIT ACCEPTANCE CORPORATION,4,3,1,0.4%,0.5%,0.2%,21460,6153,15307,0.8%,0.6%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,33.3%,100.0%
PERFECT CIRCLE CREDIT UNION,4,0,4,0.4%,0.0%,0.8%,24756,0,24756,0.9%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SAC FINANCE,4,0,4,0.4%,0.0%,0.8%,32704,0,32704,1.2%,0.0%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%
NO PLAINTIFF FOUND,4,3,1,0.4%,0.5%,0.2%,47584,31607,15977,1.8%,2.9%,1.0%,25.0%,33.3%,0.0%,0.0%,0.0%,0.0%,50.0%,33.3%,100.0%
HERITAGE ACCEPTANCE CORPORATION,4,1,3,0.4%,0.2%,0.6%,31602,4290,27312,1.2%,0.4%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,66.7%
CREDITONE LLC,4,4,0,0.4%,0.7%,0.0%,6706,6706,0,0.3%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
AUTOVEST L.L.C OF INDIANA,4,4,0,0.4%,0.7%,0.0%,6927,6927,0,0.3%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,0.0%
VELOCITY INVESTMENTS LLC,4,4,0,0.4%,0.7%,0.0%,20834,20834,0,0.8%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
GOLDMAN SACHS BANK USA,4,4,0,0.4%,0.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KITCH ACCEPTANCE CORP.,3,0,3,0.3%,0.0%,0.6%,17113,0,17113,0.6%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC AS ASSIGNEE OF SYNCHRONY BANK,3,0,3,0.3%,0.0%,0.6%,2716,0,2716,0.1%,0.0%,0.2%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MARINER FINANCE LLC,3,1,2,0.3%,0.2%,0.4%,5508,0,5508,0.2%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
COMMUNITYWIDE FEDERAL CREDIT UNION,3,2,1,0.3%,0.3%,0.2%,10930,212,10718,0.4%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
CAVALRY SPV ILLC,3,0,3,0.3%,0.0%,0.6%,20077,0,20077,0.8%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SECOND ROUND LP,3,0,3,0.3%,0.0%,0.6%,2267,0,2267,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ROCKY TOP AT JAMESTOWN VILLAGE LLC,3,2,1,0.3%,0.3%,0.2%,2184,965,1219,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
TIDEWATER FINANCE COMPANY T\A TIDEWATER MOTOR CREDIT,3,2,1,0.3%,0.3%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
COMMUNITYWIDE FCU,3,3,0,0.3%,0.5%,0.0%,9855,9855,0,0.4%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%
FIRST NATIONAL BANK OF OMAHA,3,3,0,0.3%,0.5%,0.0%,7326,7326,0,0.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%
MERCHANTS ACCEPTANCE CORP,3,3,0,0.3%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
