collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,92,55,37,0.13,0.17,0.10,31577,19170,12406,0.022,0.074,0.011,0.022,0.036,0.0,0.0,0.0,0.0,0.28,0.25,0.32
MIDLAND CREDIT MANAGEMENT INC,73,38,35,0.11,0.12,0.095,73447,12332,61115,0.051,0.048,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.21,0.63
PORTFOLIO RECOVERY ASSOCIATES LLC,49,16,33,0.071,0.050,0.090,43425,11816,31609,0.030,0.046,0.027,0.020,0.0,0.030,0.0,0.0,0.0,0.47,0.25,0.58
CAPITAL ONE BANK (USA) NA,41,33,8,0.060,0.10,0.022,71784,51086,20698,0.050,0.20,0.018,0.073,0.091,0.0,0.0,0.0,0.0,0.56,0.55,0.63
DISCOVER BANK,39,20,19,0.057,0.063,0.052,96249,11604,84644,0.067,0.045,0.072,0.077,0.15,0.0,0.0,0.0,0.0,0.46,0.25,0.68
SAC FINANCE INC,31,15,16,0.045,0.047,0.043,157410,0,157410,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.067,0.69
JEFFERSON CAPITAL SYSTEMS LLC,25,9,16,0.036,0.028,0.043,12842,7150,5692,0.0089,0.028,0.0048,0.040,0.0,0.063,0.0,0.0,0.0,0.40,0.33,0.44
ONEMAIN FINANCIAL GROUP LLC,24,10,14,0.035,0.031,0.038,61066,0,61066,0.042,0.0,0.052,0.042,0.10,0.0,0.0,0.0,0.0,0.38,0.10,0.57
CROWN ASSET MANAGEMENT LLC,20,5,15,0.029,0.016,0.041,42024,3347,38677,0.029,0.013,0.033,0.050,0.0,0.067,0.0,0.0,0.0,0.85,0.60,0.93
CAVALRY SPV I LLC,16,9,7,0.023,0.028,0.019,19980,10989,8991,0.014,0.042,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.44,0.71
CITIBANK NA,15,5,10,0.022,0.016,0.027,54851,7973,46877,0.038,0.031,0.040,0.067,0.0,0.10,0.0,0.0,0.0,0.80,0.60,0.90
MIDLAND FUNDING LLC,14,0,14,0.020,0.0,0.038,24904,0,24904,0.017,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57
SECOND ROUND SUB LLC,14,2,12,0.020,0.0063,0.033,13421,0,13421,0.0093,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.83
COMMUNITYWIDE FEDERAL CREDIT UNION,13,7,6,0.019,0.022,0.016,35383,0,35383,0.025,0.0,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.67
BANK OF AMERICA NA,11,3,8,0.016,0.0094,0.022,23595,0,23595,0.016,0.0,0.020,0.091,0.33,0.0,0.0,0.0,0.0,0.55,0.0,0.75
