collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,113,81,32,0.11,0.14,0.074,70294,48280,22015,0.032,0.055,0.017,0.0088,0.012,0.0,0.0,0.0,0.0,0.59,0.47,0.91
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL,104,26,78,0.10,0.045,0.18,290887,47886,243001,0.13,0.055,0.18,0.0096,0.0,0.013,0.0,0.0,0.0,0.87,0.58,0.96
MIDLAND CREDIT MANAGEMENT INC,69,42,27,0.069,0.073,0.063,101094,52433,48660,0.046,0.060,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.64,0.96
PORTFOLIO RECOVERY ASSOCIATES LLC,68,25,43,0.068,0.043,0.10,95891,5633,90259,0.044,0.0065,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.24,0.91
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,54,41,13,0.054,0.071,0.030,77788,24057,53731,0.035,0.028,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.29,0.92
SAC FINANCE INC,46,33,13,0.046,0.057,0.030,211987,73478,138509,0.097,0.084,0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.33,1.0
DISCOVER BANK,40,25,15,0.040,0.043,0.035,132411,84820,47590,0.060,0.097,0.036,0.13,0.080,0.20,0.0,0.0,0.0,0.70,0.52,1.0
CAPITAL ONE BANK (USA) NA,36,29,7,0.036,0.050,0.016,75709,59378,16331,0.034,0.068,0.012,0.028,0.034,0.0,0.0,0.0,0.0,0.67,0.59,1.0
CAVALRY SPV I LLC,30,22,8,0.030,0.038,0.019,26865,12296,14569,0.012,0.014,0.011,0.13,0.14,0.13,0.0,0.0,0.0,0.53,0.36,1.0
MARINER FINANCE LLC,28,15,13,0.028,0.026,0.030,73837,20901,52936,0.034,0.024,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.33,1.0
JEFFERSON CAPITAL SYSTEMS LLC,28,10,18,0.028,0.017,0.042,48887,19213,29674,0.022,0.022,0.022,0.036,0.0,0.056,0.0,0.0,0.0,0.64,0.40,0.78
ONEMAIN FINANCIAL GROUP LLC,27,17,10,0.027,0.030,0.023,117823,37694,80129,0.054,0.043,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.41,1.0
CITIBANK NA,24,17,7,0.024,0.030,0.016,54912,41075,13837,0.025,0.047,0.010,0.13,0.12,0.14,0.0,0.0,0.0,0.79,0.71,1.0
CROWN ASSET MANAGEMENT LLC,23,14,9,0.023,0.024,0.021,54229,23112,31117,0.025,0.027,0.023,0.043,0.071,0.0,0.0,0.0,0.0,0.70,0.57,0.89
SYNCHRONY BANK,14,12,2,0.014,0.021,0.0047,14508,11170,3337,0.0066,0.013,0.0025,0.071,0.083,0.0,0.0,0.0,0.0,0.36,0.25,1.0
WAKEFIELD & ASSOCIATES INC,13,13,0,0.013,0.023,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
