collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,126,84,42,16.2%,19.7%,12.0%,52754,39965,12790,3.7%,6.2%,1.6%,2.4%,3.6%,0.0%,0.0%,0.0%,0.0%,34.9%,35.7%,33.3%
MIDLAND CREDIT MANAGEMENT INC,101,43,58,13.0%,10.1%,16.6%,101803,23744,78059,7.1%,3.7%,10.0%,1.0%,2.3%,0.0%,0.0%,0.0%,0.0%,46.5%,27.9%,60.3%
PORTFOLIO RECOVERY ASSOCIATES LLC,84,45,39,10.8%,10.5%,11.2%,81770,26323,55447,5.7%,4.1%,7.1%,1.2%,0.0%,2.6%,0.0%,0.0%,0.0%,56.0%,40.0%,74.4%
DISCOVER BANK,44,31,13,5.7%,7.3%,3.7%,132245,72941,59304,9.3%,11.3%,7.6%,9.1%,3.2%,23.1%,0.0%,0.0%,0.0%,50.0%,41.9%,69.2%
CAPITAL ONE BANK (USA) NA,39,33,6,5.0%,7.7%,1.7%,125265,103653,21612,8.8%,16.0%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.5%,60.6%,66.7%
JEFFERSON CAPITAL SYSTEMS LLC,33,16,17,4.3%,3.7%,4.9%,37168,17124,20043,2.6%,2.6%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.5%,56.3%,52.9%
CITIBANK NA,28,9,19,3.6%,2.1%,5.4%,54754,11149,43605,3.8%,1.7%,5.6%,14.3%,0.0%,21.1%,0.0%,0.0%,0.0%,67.9%,33.3%,84.2%
TRUSTMARK RECOVERY SERVICES,27,15,12,3.5%,3.5%,3.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.9%,26.7%,25.0%
CAVALRY SPV I LLC,21,12,9,2.7%,2.8%,2.6%,32345,17237,15108,2.3%,2.7%,1.9%,4.8%,8.3%,0.0%,0.0%,0.0%,0.0%,57.1%,50.0%,66.7%
CROWN ASSET MANAGEMENT LLC,15,11,4,1.9%,2.6%,1.1%,19681,12380,7301,1.4%,1.9%,0.9%,13.3%,18.2%,0.0%,0.0%,0.0%,0.0%,80.0%,72.7%,100.0%
SAC FINANCE INC,14,7,7,1.8%,1.6%,2.0%,130759,51986,78773,9.2%,8.0%,10.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,78.6%,57.1%,100.0%
BANK OF AMERICA NA,14,6,8,1.8%,1.4%,2.3%,62118,18152,43965,4.4%,2.8%,5.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,78.6%,66.7%,87.5%
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,13,3,10,1.7%,0.7%,2.9%,47578,11244,36334,3.3%,1.7%,4.7%,7.7%,0.0%,10.0%,0.0%,0.0%,0.0%,92.3%,100.0%,90.0%
MIDLAND FUNDING LLC,11,0,11,1.4%,0.0%,3.2%,24677,0,24677,1.7%,0.0%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,45.5%,0.0%,45.5%
ONEMAIN FINANCIAL GROUP LLC,10,5,5,1.3%,1.2%,1.4%,69483,32311,37172,4.9%,5.0%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,60.0%,100.0%
COMMUNITYWIDE FEDERAL CREDIT UNION,9,6,3,1.2%,1.4%,0.9%,8553,0,8553,0.6%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,33.3%
SYNCHRONY BANK,9,9,0,1.2%,2.1%,0.0%,10344,10344,0,0.7%,1.6%,0.0%,11.1%,11.1%,0.0%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%
DNF ASSOCIATES LLC,7,5,2,0.9%,1.2%,0.6%,4620,1907,2713,0.3%,0.3%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,40.0%,100.0%
AMERICAN EXPRESS NATIONAL BANK,7,7,0,0.9%,1.6%,0.0%,19894,19894,0,1.4%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,42.9%,0.0%
CREDIT ACCEPTANCE CORP.,6,4,2,0.8%,0.9%,0.6%,23932,0,23932,1.7%,0.0%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
TD BANK USA NA,6,6,0,0.8%,1.4%,0.0%,4759,4759,0,0.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%
UNIFUND CCR LLC,5,0,5,0.6%,0.0%,1.4%,3224,0,3224,0.2%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,60.0%
HERITAGE ACCEPTANCE CORPORATION,5,1,4,0.6%,0.2%,1.1%,25543,5652,19892,1.8%,0.9%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,100.0%,75.0%
CAVALRY SPV ILLC,5,1,4,0.6%,0.2%,1.1%,12581,0,12581,0.9%,0.0%,1.6%,20.0%,0.0%,25.0%,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%
SECOND ROUND SUB LLC,5,1,4,0.6%,0.2%,1.1%,4745,0,4745,0.3%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,75.0%
MIDLAND CREDIT MANAGEMENTINC,5,1,4,0.6%,0.2%,1.1%,22295,11063,11231,1.6%,1.7%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,100.0%,50.0%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,4,0,4,0.5%,0.0%,1.1%,16785,0,16785,1.2%,0.0%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT ACCEPTANCE CORPORATION,4,3,1,0.5%,0.7%,0.3%,11515,11515,0,0.8%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,66.7%,0.0%
PORTER HOSPITAL LLC DBA PORTER HOSPITAL,4,3,1,0.5%,0.7%,0.3%,10346,0,10346,0.7%,0.0%,1.3%,25.0%,33.3%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%
ALLY FINANCIAL INC,3,2,1,0.4%,0.5%,0.3%,14471,8393,6078,1.0%,1.3%,0.8%,33.3%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
TEACHERS CREDIT UNION,3,0,3,0.4%,0.0%,0.9%,33484,0,33484,2.4%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
FRANCISCAN HEALTH CROWN POINT,3,1,2,0.4%,0.2%,0.6%,3909,2156,1753,0.3%,0.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
MONTICELLO FIRE DEPT,3,1,2,0.4%,0.2%,0.6%,4187,1566,2621,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
CITY OF HOBART,3,0,3,0.4%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CERES SOLUTIONS COOPERATIVE INC,3,0,3,0.4%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%
