collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,55,55,0,0.19,0.20,0.0,25596,25596,0,0.066,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0
MIDLAND CREDIT MANAGEMENT INC,31,31,0,0.11,0.11,0.0,23219,23219,0,0.060,0.070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0
DISCOVER BANK,19,19,0,0.065,0.068,0.0,33739,33739,0,0.087,0.10,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.26,0.26,0.0
SAC FINANCE INC,18,17,1,0.061,0.061,0.067,28398,15485,12914,0.073,0.047,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.059,1.0
CAPITAL ONE BANK (USA) NA,17,17,0,0.058,0.061,0.0,24995,24995,0,0.065,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.0
PORTFOLIO RECOVERY ASSOCIATES LLC,16,16,0,0.055,0.058,0.0,1295,1295,0,0.0033,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0
SYNCHRONY BANK,15,15,0,0.051,0.054,0.0,2477,2477,0,0.0064,0.0075,0.0,0.067,0.067,0.0,0.0,0.0,0.0,0.27,0.27,0.0
JEFFERSON CAPITAL SYSTEMS LLC,10,10,0,0.034,0.036,0.0,8578,8578,0,0.022,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70,0.70,0.0
CITIBANK NA,9,9,0,0.031,0.032,0.0,22332,22332,0,0.058,0.068,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.44,0.44,0.0
CREDIT ACCEPTANCE CORP.,8,8,0,0.027,0.029,0.0,27638,27638,0,0.071,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.0
ONEMAIN FINANCIAL GROUP LLC,6,4,2,0.020,0.014,0.13,42861,29894,12967,0.11,0.091,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0
CREDIT CORP SOLUTIONS INC,6,6,0,0.020,0.022,0.0,11255,11255,0,0.029,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.83,0.0
CREDIT ACCEPTANCE CORPORATION,5,5,0,0.017,0.018,0.0,9179,9179,0,0.024,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.0
CROWN ASSET MANAGEMENT LLC,4,4,0,0.014,0.014,0.0,2257,2257,0,0.0058,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0
RENT TO OWN RENTALS LLC,4,4,0,0.014,0.014,0.0,5618,5618,0,0.015,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL,3,0,3,0.010,0.0,0.20,8298,0,8298,0.021,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TEACHERS CREDIT UNION,3,1,2,0.010,0.0036,0.13,0,0,0,0.0,0.0,0.0,0.33,0.0,0.50,0.0,0.0,0.0,0.67,0.0,1.0
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,3,1,2,0.010,0.0036,0.13,4224,0,4224,0.011,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50
VELOCITY INVESTMENTS LLC,3,3,0,0.010,0.011,0.0,5909,5909,0,0.015,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,3,3,0,0.010,0.011,0.0,7736,7736,0,0.020,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,2,1,1,0.0068,0.0036,0.067,9759,3474,6284,0.025,0.011,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CREDITMAX INC,2,1,1,0.0068,0.0036,0.067,12000,0,12000,0.031,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DISCOVER BANK C/O DISCOVER PRODUCTS,2,2,0,0.0068,0.0072,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
UNIFUND CCR LLC,2,2,0,0.0068,0.0072,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTON HOSPITALS INC,2,2,0,0.0068,0.0072,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLDMAN SACHS BANK USA,2,2,0,0.0068,0.0072,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERFORMANCE EQUITY PARTNERS INC,2,2,0,0.0068,0.0072,0.0,212,212,0,0.00055,0.00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
FORSYTHE FINANCE LLC,2,2,0,0.0068,0.0072,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNITED ANIMAL HEALTH INC F/K/A JBS UNITED,1,0,1,0.0034,0.0,0.067,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BENDER LUMBER COMPANY INC,1,0,1,0.0034,0.0,0.067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
AMERICAN EXPRESS NATIONAL BANK FKA,1,1,0,0.0034,0.0036,0.0,5748,5748,0,0.015,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
JHPDE FINANCE 1 LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
RUMBLEON FINANCE LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ONEMAIN FINANCIAL GROUP LLC SUCCES,1,1,0,0.0034,0.0036,0.0,9171,9171,0,0.024,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
PCA ACQUISITIONS V LLC,1,1,0,0.0034,0.0036,0.0,3099,3099,0,0.0080,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WORLD FINANCE COMPANY OF INDIANA L,1,1,0,0.0034,0.0036,0.0,1925,1925,0,0.0050,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
SOUTHEASTERN INDIANA ANESTHESIA ASS,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WEBER MARJORIE L.,1,1,0,0.0034,0.0036,0.0,14929,14929,0,0.039,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
TRANSCEND ORTHOTICS & PROTHETICS F/K/A MIDWEST ORTHOTIC SERVICES,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
VELOCITY INVESTMENTS LLC ASSIGNEE OF LENDINGCLUB CORPORATION ASSIGNEE OF WEBBANK,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACH LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASSOCIATES IN DERMATOLOGY PLLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANK OF AMERICA NA,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPELAND CATHY D,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICON EQUITIES LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVALRY SPV I LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRST PORTFOLIO VENTURES I LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLIED COLLECTION SERVICE INC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCS CREDIT CORP.,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDWEST CARPENTERS & MILLWRIGHTS FCU,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICAN EXPRESS NATIONAL BANK,1,1,0,0.0034,0.0036,0.0,23016,23016,0,0.060,0.070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ABSOLUTE RESOLUTIONS,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DNF ASSOCIATES LLC,1,1,0,0.0034,0.0036,0.0,212,212,0,0.00055,0.00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIVO ACCEPTANCE LLC SUCCESSOR IN INTEREST TO BUDGET CAR SALES & RENTALS,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WELLS FARGO BANK NA,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORGAN & NAY FUNERAL CENTRE,1,1,0,0.0034,0.0036,0.0,11051,11051,0,0.029,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRUIST BANK SUCCESSOR BY MERGER TO SUNTRUST BANK D/B/A LIGHTSTREAM,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RESURGENT RECEIVABLES LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLOBAL LENDING SERVICES LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOOSIER STAFFERS LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOURSIGHT CAPITAL LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLP INVESTMENTS SERIES 1 LLC SUCCESSOR IN INTERST TO APPROVED AUTO OF AMERICA,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYOD LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDUSTRIAL FEDERAL CREDIT UNION,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUBAIYAT BOAT HARBOR ASSOCIATION INC,1,0,1,0.0034,0.0,0.067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINER FINANCE LLC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLARKSVILLE FINANCE INC,1,1,0,0.0034,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
