collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,76,55,21,0.13,0.19,0.078,39314,30711,8603,0.032,0.077,0.010,0.013,0.0,0.048,0.0,0.0,0.0,0.39,0.40,0.38
MIDLAND CREDIT MANAGEMENT INC,38,18,20,0.067,0.061,0.074,45235,29666,15568,0.037,0.074,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.33,0.55
PORTFOLIO RECOVERY ASSOCIATES LLC,37,14,23,0.065,0.047,0.085,46520,9755,36765,0.038,0.024,0.044,0.027,0.0,0.043,0.0,0.0,0.0,0.54,0.29,0.70
SAC FINANCE INC,28,16,12,0.049,0.054,0.044,138005,27217,110788,0.11,0.068,0.13,0.071,0.063,0.083,0.0,0.0,0.0,0.50,0.19,0.92
CAPITAL ONE BANK (USA) NA,27,21,6,0.048,0.071,0.022,30984,17519,13465,0.025,0.044,0.016,0.037,0.048,0.0,0.0,0.0,0.0,0.52,0.48,0.67
JEFFERSON CAPITAL SYSTEMS LLC,27,11,16,0.048,0.037,0.059,39732,20422,19310,0.032,0.051,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.64,0.69
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL,23,3,20,0.041,0.010,0.074,56977,0,56977,0.046,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.75
DISCOVER BANK,18,13,5,0.032,0.044,0.019,20755,18923,1832,0.017,0.047,0.0022,0.056,0.077,0.0,0.0,0.0,0.0,0.39,0.38,0.40
CITIBANK NA,17,13,4,0.030,0.044,0.015,19419,3091,16328,0.016,0.0077,0.020,0.12,0.077,0.25,0.0,0.0,0.0,0.59,0.54,0.75
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,14,1,13,0.025,0.0034,0.048,72206,0,72206,0.059,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.85
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,14,8,6,0.025,0.027,0.022,18954,7160,11793,0.015,0.018,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.38,0.83
ONEMAIN FINANCIAL GROUP LLC,13,5,8,0.023,0.017,0.030,64118,20956,43161,0.052,0.052,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.80,0.63
FIRST FINANCIAL BANK NA,11,5,6,0.019,0.017,0.022,94773,48811,45962,0.077,0.12,0.056,0.091,0.20,0.0,0.0,0.0,0.0,0.73,0.60,0.83
CREDIT ACCEPTANCE CORP.,11,7,4,0.019,0.024,0.015,20220,0,20220,0.016,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.14,1.0
SYNCHRONY BANK,9,6,3,0.016,0.020,0.011,4256,4256,0,0.0035,0.011,0.0,0.11,0.0,0.33,0.0,0.0,0.0,0.56,0.33,1.0
CAVALRY SPV I LLC,9,6,3,0.016,0.020,0.011,12488,1006,11483,0.010,0.0025,0.014,0.22,0.17,0.33,0.0,0.0,0.0,0.56,0.33,1.0
