collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,194,144,50,0.11,0.14,0.064,147632,100084,47549,0.022,0.045,0.010,0.026,0.028,0.020,0.0,0.0,0.0,0.64,0.53,0.96
MIDLAND CREDIT MANAGEMENT INC,174,102,72,0.097,0.10,0.092,211696,107322,104373,0.031,0.049,0.023,0.034,0.020,0.056,0.0,0.0,0.0,0.69,0.50,0.96
PORTFOLIO RECOVERY ASSOCIATES LLC,166,92,74,0.093,0.091,0.095,159342,46341,113001,0.023,0.021,0.025,0.024,0.033,0.014,0.0,0.0,0.0,0.61,0.46,0.81
COMMUNITYWIDE FEDERAL CREDIT UNION,108,50,58,0.060,0.049,0.074,677429,86228,591201,0.10,0.039,0.13,0.0093,0.020,0.0,0.0,0.0,0.0,0.44,0.16,0.69
CAPITAL ONE BANK (USA) NA,105,77,28,0.059,0.076,0.036,353923,240189,113734,0.052,0.11,0.025,0.057,0.052,0.071,0.0,0.0,0.0,0.77,0.69,1.0
DISCOVER BANK,86,61,25,0.048,0.060,0.032,419779,218722,201057,0.062,0.099,0.044,0.17,0.098,0.36,0.0,0.0,0.0,0.65,0.54,0.92
JEFFERSON CAPITAL SYSTEMS LLC,55,26,29,0.031,0.026,0.037,107662,29806,77855,0.016,0.013,0.017,0.036,0.0,0.069,0.0,0.0,0.0,0.62,0.31,0.90
CITIBANK NA,43,19,24,0.024,0.019,0.031,139073,41929,97144,0.020,0.019,0.021,0.23,0.21,0.25,0.0,0.0,0.0,0.79,0.53,1.0
WARSAW HEALTH SYSTEM LLC DBA KOMYATTE & CASBON PC,43,11,32,0.024,0.011,0.041,518814,154863,363951,0.076,0.070,0.079,0.40,1.0,0.19,0.0,0.0,0.0,0.84,0.64,0.91
ONEMAIN FINANCIAL GROUP LLC,42,22,20,0.023,0.022,0.026,245848,92280,153568,0.036,0.042,0.033,0.048,0.045,0.050,0.0,0.0,0.0,0.74,0.55,0.95
CROWN ASSET MANAGEMENT LLC,38,20,18,0.021,0.020,0.023,49461,15891,33570,0.0073,0.0072,0.0073,0.16,0.050,0.28,0.0,0.0,0.0,0.74,0.50,1.0
GLENBROOK CREDIT ACCEPTANCE CORPORATION,36,13,23,0.020,0.013,0.030,405890,66359,339531,0.060,0.030,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.31,0.91
CREDIT ACCEPTANCE CORP.,32,21,11,0.018,0.021,0.014,92886,7742,85143,0.014,0.0035,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.048,0.73
SNOW & SAUERTEIG LLP,25,11,14,0.014,0.011,0.018,414807,168276,246530,0.061,0.076,0.054,0.040,0.091,0.0,0.0,0.0,0.0,0.52,0.27,0.71
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,25,16,9,0.014,0.016,0.012,77262,33679,43584,0.011,0.015,0.0095,0.040,0.0,0.11,0.0,0.0,0.0,0.76,0.63,1.0
CAVALRY SPV I LLC,25,18,7,0.014,0.018,0.0090,93479,49255,44223,0.014,0.022,0.0096,0.040,0.056,0.0,0.0,0.0,0.0,0.68,0.56,1.0
SAC FINANCE INC,24,11,13,0.013,0.011,0.017,217641,74227,143414,0.032,0.034,0.031,0.083,0.091,0.077,0.0,0.0,0.0,0.75,0.55,0.92
BANK OF AMERICA NA,22,13,9,0.012,0.013,0.012,80269,33398,46872,0.012,0.015,0.010,0.18,0.077,0.33,0.0,0.0,0.0,0.77,0.62,1.0
SYNCHRONY BANK,20,15,5,0.011,0.015,0.0064,22390,21815,575,0.0033,0.0099,0.00013,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.47,1.0
SECOND ROUND SUB LLC,20,7,13,0.011,0.0069,0.017,30688,17577,13111,0.0045,0.0079,0.0029,0.10,0.14,0.077,0.0,0.0,0.0,0.90,0.71,1.0
UNIFUND CCR LLC,19,5,14,0.011,0.0049,0.018,39321,1348,37973,0.0058,0.00061,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.20,0.93
MIDLAND FUNDING LLC,18,2,16,0.010,0.0020,0.021,19113,1111,18002,0.0028,0.00050,0.0039,0.11,0.0,0.13,0.0,0.0,0.0,0.83,1.0,0.81
CREDIT ACCEPTANCE CORPORATION,16,15,1,0.0089,0.015,0.0013,76425,72413,4011,0.011,0.033,0.00087,0.063,0.0,1.0,0.0,0.0,0.0,0.50,0.47,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,14,5,9,0.0078,0.0049,0.012,67891,4278,63613,0.010,0.0019,0.014,0.21,0.20,0.22,0.0,0.0,0.0,0.86,0.60,1.0
TEACHERS CREDIT UNION,12,6,6,0.0067,0.0059,0.0077,93690,30606,63084,0.014,0.014,0.014,0.17,0.17,0.17,0.0,0.0,0.0,0.75,0.50,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,11,3,8,0.0061,0.0030,0.010,57911,8692,49219,0.0085,0.0039,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.33,1.0
ORBIT LEASING INC,11,5,6,0.0061,0.0049,0.0077,51800,13798,38002,0.0076,0.0062,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.40,1.0
INTERRA CREDIT UNION,11,4,7,0.0061,0.0040,0.0090,84056,9046,75010,0.012,0.0041,0.016,0.27,0.25,0.29,0.0,0.0,0.0,0.45,0.25,0.57
AMERICAN EXPRESS NATIONAL BANK,11,9,2,0.0061,0.0089,0.0026,68585,20929,47656,0.010,0.0095,0.010,0.18,0.0,1.0,0.0,0.0,0.0,0.64,0.56,1.0
DNF ASSOCIATES LLC,10,7,3,0.0056,0.0069,0.0039,9026,3375,5651,0.0013,0.0015,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.43,1.0
GATEWAY FINANCIAL SOLUTIONS,10,6,4,0.0056,0.0059,0.0051,46432,21943,24489,0.0068,0.0099,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.33,1.0
CREDIT CORP SOLUTIONS INC,9,5,4,0.0050,0.0049,0.0051,25329,11726,13603,0.0037,0.0053,0.0030,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.80,1.0
MARINER FINANCE LLC,9,9,0,0.0050,0.0089,0.0,2208,2208,0,0.00032,0.0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0
ONE ADVANTAGE LLC,8,3,5,0.0045,0.0030,0.0064,43224,4840,38384,0.0064,0.0022,0.0084,0.13,0.33,0.0,0.0,0.0,0.0,0.75,0.33,1.0
LAKE CITY BANK,8,6,2,0.0045,0.0059,0.0026,19206,16943,2263,0.0028,0.0077,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.50,1.0
TD BANK USA NA,7,5,2,0.0039,0.0049,0.0026,3188,3188,0,0.00047,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.80,1.0
MIDLAND CREDIT MANAGEMENTINC,7,0,7,0.0039,0.0,0.0090,12951,0,12951,0.0019,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.86
CVI SGP-CO ACQUISITION TRUST,7,0,7,0.0039,0.0,0.0090,20530,0,20530,0.0030,0.0,0.0045,0.14,0.0,0.14,0.0,0.0,0.0,1.0,0.0,1.0
PRESTIGE FINANCIAL SERVICES,7,4,3,0.0039,0.0040,0.0039,25750,167,25583,0.0038,0.000075,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.67
PORTFOLIO RECOVERY ASSOCIATESLLC,7,0,7,0.0039,0.0,0.0090,7194,0,7194,0.0011,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29
UNITED AUTO CREDIT CORPORATION,6,4,2,0.0034,0.0040,0.0026,39152,20524,18628,0.0058,0.0093,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.75,1.0
CAVALRY SPV ILLC,6,0,6,0.0034,0.0,0.0077,5035,0,5035,0.00074,0.0,0.0011,0.17,0.0,0.17,0.0,0.0,0.0,0.83,0.0,0.83
IOM HEALTH SYSTEM L.P.,6,2,4,0.0034,0.0020,0.0051,78322,0,78322,0.012,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50
HERITAGE ACCEPTANCE CORPORATION,6,4,2,0.0034,0.0040,0.0026,27456,10373,17083,0.0040,0.0047,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.25,1.0
