collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,23,21,2,0.15,0.18,0.056,7011,7011,0,0.025,0.038,0.0,0.043,0.048,0.0,0.0,0.0,0.0,0.30,0.33,0.0
MIDLAND CREDIT MANAGEMENT INC,19,15,4,0.12,0.13,0.11,15539,13135,2404,0.056,0.071,0.027,0.053,0.067,0.0,0.0,0.0,0.0,0.42,0.33,0.75
CAPITAL ONE BANK (USA) NA,15,14,1,0.098,0.12,0.028,31416,27710,3706,0.11,0.15,0.041,0.13,0.071,1.0,0.0,0.0,0.0,0.33,0.29,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,10,7,3,0.065,0.060,0.083,4181,0,4181,0.015,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.29,0.67
CRANE CREDIT UNION,10,6,4,0.065,0.051,0.11,69172,55954,13218,0.25,0.30,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.33,1.0
PROFESSIONAL & BUSINESS COLLECTIONS LLC,7,6,1,0.046,0.051,0.028,33015,33015,0,0.12,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.67,1.0
DISCOVER BANK,6,6,0,0.039,0.051,0.0,7389,7389,0,0.027,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON CAPITAL SYSTEMS LLC,5,2,3,0.033,0.017,0.083,3996,0,3996,0.015,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.50,0.67
CAVALRY SPV I LLC,5,4,1,0.033,0.034,0.028,6391,2927,3464,0.023,0.016,0.039,0.20,0.25,0.0,0.0,0.0,0.0,0.60,0.50,1.0
CROWN ASSET MANAGEMENT LLC,4,2,2,0.026,0.017,0.056,8552,7681,870,0.031,0.041,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.50,1.0
SAC FINANCE INC,4,3,1,0.026,0.026,0.028,20424,9529,10895,0.074,0.051,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,1.0
HOOSIER ACCOUNTS SERVICE,4,2,2,0.026,0.017,0.056,16445,0,16445,0.060,0.0,0.18,0.25,0.0,0.50,0.0,0.0,0.0,0.25,0.0,0.50
TD BANK USA NA,3,3,0,0.020,0.026,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDLAND FUNDING LLC,2,0,2,0.013,0.0,0.056,953,0,953,0.0035,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ONEMAIN FINANCIAL GROUP LLC,2,1,1,0.013,0.0085,0.028,18135,6953,11182,0.066,0.037,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
CREDITMAX INC,2,2,0,0.013,0.017,0.0,7714,7714,0,0.028,0.042,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,2,1,1,0.013,0.0085,0.028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDITONE LLC,2,2,0,0.013,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIBANK NA,2,2,0,0.013,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTOVEST L.L.C OF INDIANA,2,2,0,0.013,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARTIN COUNTY CO-OP CREDIT UNION,2,0,2,0.013,0.0,0.056,4513,0,4513,0.016,0.0,0.050,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
FIRST FEDERAL SAVINGS BANK,1,0,1,0.0065,0.0,0.028,1329,0,1329,0.0048,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,1,0,1,0.0065,0.0,0.028,1624,0,1624,0.0059,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FARM BUREAU BANK,1,0,1,0.0065,0.0,0.028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENTINC,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
REGIONAL ACCEPTANCE CORP.,1,1,0,0.0065,0.0085,0.0,6645,6645,0,0.024,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ROCKWELL COLLINS INC,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOOSIER HILLS CREDIT UNION,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIDGECREST ACCEPTANCE CORP.,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELOCITY INVESTMENTS LLC,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
GATEWAY FINANCIAL SOLUTIONS,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCA ACQUISITIONS V LLC,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,1,1,0,0.0065,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
