collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,233,162,71,0.15,0.19,0.096,106586,68156,38430,0.032,0.048,0.021,0.017,0.012,0.028,0.0,0.0,0.0,0.35,0.31,0.44
MIDLAND CREDIT MANAGEMENT INC,201,101,100,0.13,0.12,0.14,204731,55207,149524,0.062,0.039,0.080,0.020,0.030,0.010,0.0,0.0,0.0,0.47,0.29,0.66
PORTFOLIO RECOVERY ASSOCIATES LLC,147,40,107,0.093,0.048,0.14,170154,33347,136806,0.052,0.023,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.42,0.68
CAPITAL ONE BANK (USA) NA,83,62,21,0.053,0.074,0.028,151646,108948,42698,0.046,0.076,0.023,0.036,0.048,0.0,0.0,0.0,0.0,0.52,0.50,0.57
JEFFERSON CAPITAL SYSTEMS LLC,74,22,52,0.047,0.026,0.070,62535,4060,58476,0.019,0.0028,0.031,0.027,0.045,0.019,0.0,0.0,0.0,0.42,0.091,0.56
DISCOVER BANK,65,47,18,0.041,0.056,0.024,249712,159355,90356,0.076,0.11,0.048,0.077,0.085,0.056,0.0,0.0,0.0,0.49,0.40,0.72
MARINER FINANCE LLC,39,13,26,0.025,0.016,0.035,122485,26959,95526,0.037,0.019,0.051,0.026,0.0,0.038,0.0,0.0,0.0,0.67,0.38,0.81
ONEMAIN FINANCIAL GROUP LLC,38,25,13,0.024,0.030,0.018,232236,138459,93778,0.070,0.097,0.050,0.053,0.080,0.0,0.0,0.0,0.0,0.39,0.28,0.62
CROWN ASSET MANAGEMENT LLC,36,17,19,0.023,0.020,0.026,39938,16728,23210,0.012,0.012,0.012,0.056,0.059,0.053,0.0,0.0,0.0,0.69,0.59,0.79
CAVALRY SPV I LLC,35,20,15,0.022,0.024,0.020,85666,30492,55174,0.026,0.021,0.030,0.086,0.10,0.067,0.0,0.0,0.0,0.71,0.70,0.73
SYNCHRONY BANK,31,25,6,0.020,0.030,0.0081,40246,40246,0,0.012,0.028,0.0,0.16,0.16,0.17,0.0,0.0,0.0,0.55,0.48,0.83
SAC FINANCE INC,24,21,3,0.015,0.025,0.0041,155689,126668,29021,0.047,0.089,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.48,1.0
