collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDLAND CREDIT MANAGEMENT INC,60,43,17,0.13,0.17,0.085,74651,48015,26636,0.077,0.13,0.045,0.067,0.070,0.059,0.0,0.0,0.0,0.53,0.40,0.88
LVNV FUNDING LLC,56,37,19,0.13,0.15,0.095,41383,24522,16861,0.043,0.065,0.028,0.071,0.081,0.053,0.0,0.0,0.0,0.64,0.49,0.95
PORTFOLIO RECOVERY ASSOCIATES LLC,39,17,22,0.088,0.069,0.11,43672,13213,30459,0.045,0.035,0.051,0.026,0.0,0.045,0.0,0.0,0.0,0.69,0.53,0.82
DISCOVER BANK,31,24,7,0.070,0.098,0.035,105475,67027,38448,0.11,0.18,0.065,0.097,0.13,0.0,0.0,0.0,0.0,0.52,0.46,0.71
JEFFERSON CAPITAL SYSTEMS LLC,21,8,13,0.047,0.033,0.065,34059,6537,27522,0.035,0.017,0.046,0.048,0.0,0.077,0.0,0.0,0.0,0.62,0.38,0.77
TRUSTMARK RECOVERY SERVICES,16,4,12,0.036,0.016,0.060,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.25,0.58
CAVALRY SPV I LLC,15,7,8,0.034,0.028,0.040,33754,14736,19018,0.035,0.039,0.032,0.20,0.0,0.38,0.0,0.0,0.0,0.67,0.57,0.75
SAC FINANCE INC,13,7,6,0.029,0.028,0.030,143155,72206,70949,0.15,0.19,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.71,1.0
CITIBANK NA,13,5,8,0.029,0.020,0.040,32905,9384,23521,0.034,0.025,0.040,0.077,0.0,0.13,0.0,0.0,0.0,0.69,0.40,0.88
TD BANK USA NA,9,8,1,0.020,0.033,0.0050,6459,4941,1518,0.0066,0.013,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.50,1.0
CROWN ASSET MANAGEMENT LLC,9,4,5,0.020,0.016,0.025,14005,6961,7044,0.014,0.018,0.012,0.11,0.0,0.20,0.0,0.0,0.0,0.89,0.75,1.0
BANK OF AMERICA NA,9,6,3,0.020,0.024,0.015,50582,26186,24397,0.052,0.069,0.041,0.11,0.0,0.33,0.0,0.0,0.0,0.89,0.83,1.0
UNIFUND CCR LLC,8,2,6,0.018,0.0081,0.030,7771,0,7771,0.0080,0.0,0.013,0.13,0.0,0.17,0.0,0.0,0.0,0.63,0.0,0.83
CAPITAL ONE BANK (USA) NA,7,3,4,0.016,0.012,0.020,25058,3857,21201,0.026,0.010,0.036,0.29,0.33,0.25,0.0,0.0,0.0,0.86,0.67,1.0
MIDLAND FUNDING LLC,7,0,7,0.016,0.0,0.035,5318,0,5318,0.0055,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43
CREDIT ACCEPTANCE CORP.,6,4,2,0.013,0.016,0.010,19989,0,19989,0.021,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
GATEWAY FINANCIAL SOLUTIONS,6,5,1,0.013,0.020,0.0050,15361,9493,5868,0.016,0.025,0.0099,0.17,0.20,0.0,0.0,0.0,0.0,0.50,0.40,1.0
SYNCHRONY BANK,5,5,0,0.011,0.020,0.0,6329,6329,0,0.0065,0.017,0.0,0.20,0.20,0.0,0.0,0.0,0.0,0.20,0.20,0.0
SECOND ROUND SUB LLC,4,0,4,0.0090,0.0,0.020,5936,0,5936,0.0061,0.0,0.010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ONEMAIN FINANCIAL GROUP LLC,4,3,1,0.0090,0.012,0.0050,7293,2948,4344,0.0075,0.0078,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.67,1.0
CREDIT ACCEPTANCE CORPORATION,4,3,1,0.0090,0.012,0.0050,10780,0,10780,0.011,0.0,0.018,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,3,0,3,0.0067,0.0,0.015,7365,0,7365,0.0076,0.0,0.012,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0
PRESTIGE FINANCIAL SERVICES,3,1,2,0.0067,0.0041,0.010,0,0,0,0.0,0.0,0.0,0.33,0.0,0.50,0.0,0.0,0.0,0.33,0.0,0.50
CAVALRY SPV ILLC,3,1,2,0.0067,0.0041,0.010,3340,1141,2199,0.0034,0.0030,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.50
