collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,83,82,1,0.14,0.15,0.018,42894,41775,1119,0.035,0.050,0.0028,0.012,0.012,0.0,0.0,0.0,0.0,0.40,0.39,1.0
MIDLAND CREDIT MANAGEMENT INC,61,61,0,0.10,0.11,0.0,78062,78062,0,0.063,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0
CAPITAL ONE BANK (USA) NA,42,42,0,0.069,0.076,0.0,67699,67699,0,0.055,0.081,0.0,0.024,0.024,0.0,0.0,0.0,0.0,0.60,0.60,0.0
COMMUNITYWIDE FEDERAL CREDIT UNION,32,30,2,0.053,0.054,0.036,2406,0,2406,0.0019,0.0,0.0060,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.50
PORTFOLIO RECOVERY ASSOCIATES LLC,31,29,2,0.051,0.053,0.036,24747,24747,0,0.020,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.50
SAC FINANCE INC,27,19,8,0.044,0.034,0.15,173384,110800,62584,0.14,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.53,0.75
DISCOVER BANK,26,26,0,0.043,0.047,0.0,17070,17070,0,0.014,0.020,0.0,0.038,0.038,0.0,0.0,0.0,0.0,0.19,0.19,0.0
ONEMAIN FINANCIAL GROUP LLC,22,20,2,0.036,0.036,0.036,83210,63175,20034,0.067,0.076,0.050,0.045,0.050,0.0,0.0,0.0,0.0,0.36,0.30,1.0
JEFFERSON CAPITAL SYSTEMS LLC,18,17,1,0.030,0.031,0.018,6647,5902,744,0.0054,0.0071,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.24,1.0
CAVALRY SPV I LLC,17,15,2,0.028,0.027,0.036,42758,41750,1008,0.035,0.050,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.60,1.0
CITIBANK NA,15,14,1,0.025,0.025,0.018,23098,23098,0,0.019,0.028,0.0,0.067,0.071,0.0,0.0,0.0,0.0,0.53,0.57,0.0
BANK OF AMERICA NA,11,11,0,0.018,0.020,0.0,22522,22522,0,0.018,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0
CROWN ASSET MANAGEMENT LLC,9,9,0,0.015,0.016,0.0,13248,13248,0,0.011,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
CREDIT ACCEPTANCE CORP.,7,6,1,0.012,0.011,0.018,25344,25344,0,0.021,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.50,0.0
GATEWAY FINANCIAL SOLUTIONS,7,7,0,0.012,0.013,0.0,16090,16090,0,0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0
SYNCHRONY BANK,7,7,0,0.012,0.013,0.0,0,0,0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.0
CREDIT ACCEPTANCE CORPORATION,7,7,0,0.012,0.013,0.0,13722,13722,0,0.011,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0
GLENBROOK CREDIT ACCEPTANCE CORPORATION,6,3,3,0.0099,0.0054,0.055,37658,0,37658,0.030,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67
DISCOVER BANK C/O DISCOVER PRODUCTS,6,6,0,0.0099,0.011,0.0,35471,35471,0,0.029,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
HERITAGE ACCEPTANCE CORPORATION,5,4,1,0.0082,0.0072,0.018,5148,5148,0,0.0042,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.25,0.0
FORT FINANCIAL CREDIT UNION,5,3,2,0.0082,0.0054,0.036,39244,25230,14014,0.032,0.030,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.67,0.0
VELOCITY INVESTMENTS LLC,5,5,0,0.0082,0.0091,0.0,4765,4765,0,0.0039,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.40,0.0
TD BANK USA NA,5,5,0,0.0082,0.0091,0.0,2631,2631,0,0.0021,0.0032,0.0,0.20,0.20,0.0,0.0,0.0,0.0,0.40,0.40,0.0
SUMMIT ACCOUNT & COMPUTER SERVICES INC,4,0,4,0.0066,0.0,0.073,80270,0,80270,0.065,0.0,0.20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECOND ROUND SUB LLC,4,3,1,0.0066,0.0054,0.018,1046,1046,0,0.00085,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.33,1.0
RELIABLE AUTO FINANCE,4,4,0,0.0066,0.0072,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNF ASSOCIATES LLC,4,4,0,0.0066,0.0072,0.0,2092,2092,0,0.0017,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
TEACHERS CREDIT UNION,3,0,3,0.0049,0.0,0.055,14146,0,14146,0.011,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
SUMMIT ACCOUNT & COMPUTER SERVICE INC,3,2,1,0.0049,0.0036,0.018,17892,0,17892,0.014,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
JHPDE FINANCE 1 LLC,3,3,0,0.0049,0.0054,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
INTERRA CREDIT UNION,3,3,0,0.0049,0.0054,0.0,7475,7475,0,0.0060,0.0090,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.33,0.0
CREDIT CORP SOLUTIONS INC,3,3,0,0.0049,0.0054,0.0,4983,4983,0,0.0040,0.0060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,3,3,0,0.0049,0.0054,0.0,8036,8036,0,0.0065,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
EAGLE FINANCE COMPANY,3,3,0,0.0049,0.0054,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNITED AUTO CREDIT CORPORATION,3,3,0,0.0049,0.0054,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICAN EXPRESS NATIONAL BANK,3,3,0,0.0049,0.0054,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARBIN LLC AS ASSIGNEE OF AARON'S INC,3,3,0,0.0049,0.0054,0.0,4639,4639,0,0.0038,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0
GENERAL AUDIT CORPORATION,2,0,2,0.0033,0.0,0.036,14965,0,14965,0.012,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
LAKE CITY BANK,2,1,1,0.0033,0.0018,0.018,7595,1280,6315,0.0061,0.0015,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,2,2,0,0.0033,0.0036,0.0,1992,1992,0,0.0016,0.0024,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.50,0.50,0.0
AUTOVEST LLC OF INDIANA,2,2,0,0.0033,0.0036,0.0,2237,2237,0,0.0018,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
THREE RIVERS FEDERAL CREDIT UNION,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WELLS FARGO BANK NA,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VELOCITY INVESTMENTS LLC ASSIGNEE OF CONSUMER PORTFOLIO SERVICES INC,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW WORLD COLLECTIONS INC,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYOD LLC,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMUNITYWIDE FCU,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDLAND FUNDING LLC,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIFUND CCR LLC,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT ACCEPTANCE CORPORATION.,2,2,0,0.0033,0.0036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT ACCEPTANCE CORP,2,2,0,0.0033,0.0036,0.0,10205,10205,0,0.0083,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
MARINER FINANCE LLC,2,2,0,0.0033,0.0036,0.0,7521,7521,0,0.0061,0.0090,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.50,0.50,0.0
TRUSTMARK RECOVERY SERVICES,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
M.H. EBY INC,1,0,1,0.0016,0.0,0.018,8137,0,8137,0.0066,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,1,0,1,0.0016,0.0,0.018,14490,0,14490,0.012,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TRILOGY HEALTH SERVICES LLC D/B/A WATERFORD PLACE HEALTH CAMPUS,1,0,1,0.0016,0.0,0.018,17430,0,17430,0.014,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
C & F FINANCE COMPANY,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PAWNEE LEASING CORPORATION,1,0,1,0.0016,0.0,0.018,44077,0,44077,0.036,0.0,0.11,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
AUTOVEST LLC,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINER FINANCE SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
GATEWAY FINANCIAL SERVICES,1,0,1,0.0016,0.0,0.018,16382,0,16382,0.013,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KITCH ACCEPTANCE CORP,1,0,1,0.0016,0.0,0.018,9604,0,9604,0.0078,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
GATEWAY FINANCIAL SOLUTIONS ASSIGNEE OF RIGHTWAY AUTOMOTIVE CREDIT-ELKHART,1,0,1,0.0016,0.0,0.018,8814,0,8814,0.0071,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
UNIFY FINANCIAL CREDIT UNION SUCCESSOR IN INTEREST TO NEWPORT MOTORS,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMERON MEMORIAL COMMUNITY HOSPITAL,1,0,1,0.0016,0.0,0.018,5155,0,5155,0.0042,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO PLAINTIFF FOUND,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NATIONWIDE CASSELL LLC,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CVI SGP ACQUISITION TRUST,1,0,1,0.0016,0.0,0.018,5702,0,5702,0.0046,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NATIONAL COLLEGIATE STUDENT LOAN TR,1,0,1,0.0016,0.0,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVALRY SPV ILLC,1,1,0,0.0016,0.0018,0.0,998,998,0,0.00081,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
FORT WAYNE NEUROSURGERY,1,1,0,0.0016,0.0018,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORD MOTOR CREDIT COMPANY LLC,1,1,0,0.0016,0.0018,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDITMAX INC,1,1,0,0.0016,0.0018,0.0,1200,1200,0,0.00097,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ABSOLUTE RESOLUTIONS INVESTMENTS L,1,1,0,0.0016,0.0018,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRINE UNIVERSITY,1,1,0,0.0016,0.0018,0.0,4813,4813,0,0.0039,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CAVALRY SPV I LLC AS ASSIGNEE OF C,1,1,0,0.0016,0.0018,0.0,2484,2484,0,0.0020,0.0030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WILMINGTON SAVINGS FUND SOCIET AS T,1,1,0,0.0016,0.0018,0.0,15913,15913,0,0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
