collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,46,32,14,14.3%,21.3%,8.2%,20788,19781,1007,5.6%,20.1%,0.4%,4.3%,6.3%,0.0%,0.0%,0.0%,0.0%,39.1%,43.8%,28.6%
MIDLAND CREDIT MANAGEMENT INC,39,18,21,12.1%,12.0%,12.3%,11085,1269,9816,3.0%,1.3%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.1%,16.7%,28.6%
JEFFERSON CAPITAL SYSTEMS LLC,26,10,16,8.1%,6.7%,9.4%,13415,4307,9109,3.6%,4.4%,3.4%,7.7%,10.0%,6.3%,0.0%,0.0%,0.0%,50.0%,30.0%,62.5%
PORTFOLIO RECOVERY ASSOCIATES LLC,21,4,17,6.5%,2.7%,9.9%,18776,0,18776,5.1%,0.0%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.1%,0.0%,47.1%
DISCOVER BANK,19,13,6,5.9%,8.7%,3.5%,18005,10201,7804,4.9%,10.4%,2.9%,5.3%,7.7%,0.0%,0.0%,0.0%,0.0%,36.8%,23.1%,66.7%
ONEMAIN FINANCIAL GROUP LLC,14,5,9,4.4%,3.3%,5.3%,35743,7851,27892,9.7%,8.0%,10.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.6%,20.0%,33.3%
CAPITAL ONE BANK (USA) NA,12,7,5,3.7%,4.7%,2.9%,14099,9081,5018,3.8%,9.2%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.3%,57.1%,60.0%
CROWN ASSET MANAGEMENT LLC,12,3,9,3.7%,2.0%,5.3%,14152,212,13940,3.8%,0.2%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
MARINER FINANCE LLC,9,0,9,2.8%,0.0%,5.3%,21250,0,21250,5.8%,0.0%,7.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%
SAC FINANCE INC,9,6,3,2.8%,4.0%,1.8%,15497,1656,13841,4.2%,1.7%,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,16.7%,66.7%
CAVALRY SPV I LLC,8,3,5,2.5%,2.0%,2.9%,16093,9654,6439,4.4%,9.8%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,33.3%,40.0%
SYNCHRONY BANK,6,5,1,1.9%,3.3%,0.6%,3629,3629,0,1.0%,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,40.0%,100.0%
MIDLAND FUNDING LLC,6,0,6,1.9%,0.0%,3.5%,12153,0,12153,3.3%,0.0%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%
CITIBANK NA,5,2,3,1.6%,1.3%,1.8%,4740,0,4740,1.3%,0.0%,1.8%,20.0%,50.0%,0.0%,0.0%,0.0%,0.0%,80.0%,50.0%,100.0%
DNF ASSOCIATES LLC,5,3,2,1.6%,2.0%,1.2%,1214,0,1214,0.3%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,66.7%,100.0%
BANK OF AMERICA NA,5,3,2,1.6%,2.0%,1.2%,10066,0,10066,2.7%,0.0%,3.7%,20.0%,0.0%,50.0%,0.0%,0.0%,0.0%,40.0%,0.0%,100.0%
