collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,620,428,192,0.14,0.16,0.10,35364,16549,18814,0.045,0.045,0.044,0.019,0.014,0.031,0.0,0.0,0.0,0.69,0.58,0.93
PORTFOLIO RECOVERY ASSOCIATES LLC,540,243,297,0.12,0.094,0.16,5328,1809,3519,0.0067,0.0049,0.0083,0.037,0.0082,0.061,0.0,0.0,0.0,0.66,0.44,0.84
MIDLAND CREDIT MANAGEMENT INC,426,229,197,0.095,0.088,0.10,4412,993,3419,0.0056,0.0027,0.0081,0.026,0.013,0.041,0.0,0.0,0.0,0.68,0.48,0.91
CAPITAL ONE BANK (USA) NA,256,214,42,0.057,0.082,0.022,212,212,0,0.00027,0.00057,0.0,0.055,0.056,0.048,0.0,0.0,0.0,0.77,0.73,0.98
DISCOVER BANK,209,160,49,0.047,0.062,0.026,37373,26385,10988,0.047,0.072,0.026,0.10,0.094,0.12,0.0,0.0,0.0,0.64,0.56,0.92
JEFFERSON CAPITAL SYSTEMS LLC,184,71,113,0.041,0.027,0.060,0,0,0,0.0,0.0,0.0,0.049,0.028,0.062,0.0,0.0,0.0,0.63,0.30,0.84
TRUSTMARK RECOVERY SERVICES,167,126,41,0.037,0.049,0.022,0,0,0,0.0,0.0,0.0,0.030,0.024,0.049,0.0,0.0,0.0,0.35,0.29,0.51
CROWN ASSET MANAGEMENT LLC,122,75,47,0.027,0.029,0.025,5655,1272,4383,0.0071,0.0034,0.010,0.11,0.12,0.085,0.0,0.0,0.0,0.71,0.56,0.96
CAVALRY SPV I LLC,115,66,49,0.026,0.025,0.026,28,28,0,0.000035,0.000076,0.0,0.070,0.045,0.10,0.0,0.0,0.0,0.65,0.48,0.88
CITIBANK NA,104,55,49,0.023,0.021,0.026,4270,0,4270,0.0054,0.0,0.010,0.15,0.091,0.22,0.0,0.0,0.0,0.73,0.53,0.96
ONEMAIN FINANCIAL GROUP LLC,84,47,37,0.019,0.018,0.020,35298,26746,8553,0.045,0.073,0.020,0.071,0.085,0.054,0.0,0.0,0.0,0.68,0.49,0.92
HERITAGE ACCEPTANCE CORPORATION,70,36,34,0.016,0.014,0.018,47599,424,47175,0.060,0.0011,0.11,0.043,0.028,0.059,0.0,0.0,0.0,0.71,0.50,0.94
BANK OF AMERICA NA,69,35,34,0.015,0.013,0.018,10663,7024,3638,0.013,0.019,0.0086,0.22,0.14,0.29,0.0,0.0,0.0,0.75,0.57,0.94
MIDLAND FUNDING LLC,64,7,57,0.014,0.0027,0.030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.57,0.86
CREDIT ACCEPTANCE CORP.,60,35,25,0.013,0.013,0.013,18707,6983,11724,0.024,0.019,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.11,1.0
UNIFUND CCR LLC,60,13,47,0.013,0.0050,0.025,716,0,716,0.00090,0.0,0.0017,0.050,0.0,0.064,0.0,0.0,0.0,0.78,0.38,0.89
PORTER HOSPITAL LLC DBA PORTER HOSPITAL,59,31,28,0.013,0.012,0.015,0,0,0,0.0,0.0,0.0,0.20,0.32,0.071,0.0,0.0,0.0,0.80,0.68,0.93
CITY OF HOBART,58,21,37,0.013,0.0081,0.020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.57,0.84
SYNCHRONY BANK,55,50,5,0.012,0.019,0.0027,0,0,0,0.0,0.0,0.0,0.055,0.040,0.20,0.0,0.0,0.0,0.51,0.48,0.80
SECOND ROUND SUB LLC,52,11,41,0.012,0.0042,0.022,0,0,0,0.0,0.0,0.0,0.038,0.091,0.024,0.0,0.0,0.0,0.88,0.64,0.95
TD BANK USA NA,47,43,4,0.011,0.017,0.0021,1980,1980,0,0.0025,0.0054,0.0,0.021,0.023,0.0,0.0,0.0,0.0,0.70,0.67,1.0
COMMUNITYWIDE FEDERAL CREDIT UNION,36,18,18,0.0080,0.0069,0.0096,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.28,0.61
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,34,14,20,0.0076,0.0054,0.011,0,0,0,0.0,0.0,0.0,0.088,0.071,0.10,0.0,0.0,0.0,0.85,0.64,1.0
CREDIT CORP SOLUTIONS INC,31,13,18,0.0069,0.0050,0.0096,0,0,0,0.0,0.0,0.0,0.032,0.0,0.056,0.0,0.0,0.0,0.81,0.77,0.83
AMERICAN EXPRESS NATIONAL BANK,30,23,7,0.0067,0.0089,0.0037,0,0,0,0.0,0.0,0.0,0.13,0.087,0.29,0.0,0.0,0.0,0.47,0.35,0.86
FORD MOTOR CREDIT COMPANY LLC,26,21,5,0.0058,0.0081,0.0027,56510,35497,21012,0.071,0.096,0.050,0.038,0.048,0.0,0.0,0.0,0.0,0.54,0.43,1.0
CAVALRY SPV ILLC,25,1,24,0.0056,0.00039,0.013,0,0,0,0.0,0.0,0.0,0.080,0.0,0.083,0.0,0.0,0.0,0.88,1.0,0.88
MIDLAND CREDIT MANAGEMENTINC,25,1,24,0.0056,0.00039,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.0,0.92
DNF ASSOCIATES LLC,24,18,6,0.0054,0.0069,0.0032,6393,0,6393,0.0081,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.39,0.83
GATEWAY FINANCIAL SOLUTIONS,24,19,5,0.0054,0.0073,0.0027,2516,2516,0,0.0032,0.0068,0.0,0.042,0.053,0.0,0.0,0.0,0.0,0.58,0.53,0.80
CREDIT ACCEPTANCE CORPORATION,21,19,2,0.0047,0.0073,0.0011,13834,5805,8028,0.017,0.016,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.26,1.0
VELOCITY INVESTMENTS LLC,21,21,0,0.0047,0.0081,0.0,7561,7561,0,0.0095,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0
TEACHERS CREDIT UNION,19,12,7,0.0042,0.0046,0.0037,10270,0,10270,0.013,0.0,0.024,0.11,0.17,0.0,0.0,0.0,0.0,0.68,0.67,0.71
CVI SGP-CO ACQUISITION TRUST,18,0,18,0.0040,0.0,0.0096,10414,0,10414,0.013,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,18,10,8,0.0040,0.0039,0.0043,3249,3249,0,0.0041,0.0088,0.0,0.056,0.10,0.0,0.0,0.0,0.0,0.83,0.70,1.0
GOLDMAN SACHS BANK USA,16,16,0,0.0036,0.0062,0.0,0,0,0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.44,0.44,0.0
BARCLAYS BANK DELAWARE,15,0,15,0.0034,0.0,0.0080,9236,0,9236,0.012,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.93
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,14,10,4,0.0031,0.0039,0.0021,0,0,0,0.0,0.0,0.0,0.14,0.10,0.25,0.0,0.0,0.0,0.71,0.60,1.0
WELLS FARGO BANK NA,14,10,4,0.0031,0.0039,0.0021,0,0,0,0.0,0.0,0.0,0.21,0.20,0.25,0.0,0.0,0.0,0.43,0.30,0.75
PORTFOLIO RECOVERY ASSOCIATESLLC,12,0,12,0.0027,0.0,0.0064,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
SECOND ROUND LP,11,3,8,0.0025,0.0012,0.0043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
PORTER HOSPITAL LLC DBA NORTHWEST HEALTH PORTER,11,11,0,0.0025,0.0042,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0
CAPITAL ONE NA,11,11,0,0.0025,0.0042,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.0
CAVALRY SPV I LLC AS ASSIGNEE OF SYNCHRONY BANK,9,0,9,0.0020,0.0,0.0048,1553,0,1553,0.0020,0.0,0.0037,0.11,0.0,0.11,0.0,0.0,0.0,1.0,0.0,1.0
REGIONAL FEDERAL CREDIT UNION,9,2,7,0.0020,0.00077,0.0037,11014,11014,0,0.014,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,0.71
