collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
PROFESSIONAL & BUSINESS COLLECTIONS LLC,86,41,45,19.3%,16.6%,22.7%,684882,428208,256674,68.9%,64.8%,76.9%,1.2%,2.4%,0.0%,0.0%,0.0%,0.0%,61.6%,46.3%,75.6%
LVNV FUNDING LLC,62,46,16,13.9%,18.6%,8.1%,8668,8668,0,0.9%,1.3%,0.0%,1.6%,2.2%,0.0%,0.0%,0.0%,0.0%,24.2%,28.3%,12.5%
MIDLAND CREDIT MANAGEMENT INC,39,25,14,8.8%,10.1%,7.1%,11188,11188,0,1.1%,1.7%,0.0%,7.7%,8.0%,7.1%,0.0%,0.0%,0.0%,35.9%,20.0%,64.3%
DISCOVER BANK,29,19,10,6.5%,7.7%,5.1%,14916,14916,0,1.5%,2.3%,0.0%,13.8%,5.3%,30.0%,0.0%,0.0%,0.0%,27.6%,15.8%,50.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,24,5,19,5.4%,2.0%,9.6%,3845,3845,0,0.4%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,40.0%,68.4%
CAPITAL ONE BANK (USA) NA,24,19,5,5.4%,7.7%,2.5%,68590,60078,8512,6.9%,9.1%,2.5%,8.3%,10.5%,0.0%,0.0%,0.0%,0.0%,66.7%,68.4%,60.0%
CITIBANK NA,15,4,11,3.4%,1.6%,5.6%,0,0,0,0.0%,0.0%,0.0%,40.0%,50.0%,36.4%,0.0%,0.0%,0.0%,66.7%,25.0%,81.8%
JEFFERSON CAPITAL SYSTEMS LLC,14,7,7,3.1%,2.8%,3.5%,21220,21220,0,2.1%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,28.6%,71.4%
CROWN ASSET MANAGEMENT LLC,12,8,4,2.7%,3.2%,2.0%,17746,2708,15038,1.8%,0.4%,4.5%,8.3%,12.5%,0.0%,0.0%,0.0%,0.0%,50.0%,37.5%,75.0%
MIDLAND FUNDING LLC,9,0,9,2.0%,0.0%,4.5%,5897,0,5897,0.6%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,0.0%,77.8%
CAVALRY SPV I LLC,9,4,5,2.0%,1.6%,2.5%,10216,6685,3531,1.0%,1.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,75.0%,80.0%
ONEMAIN FINANCIAL GROUP LLC,8,7,1,1.8%,2.8%,0.5%,26468,26468,0,2.7%,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,57.1%,100.0%
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,6,3,3,1.3%,1.2%,1.5%,19123,19123,0,1.9%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%
PROFESSIONAL & BUSINESS COLLECTIONS,6,2,4,1.3%,0.8%,2.0%,21976,0,21976,2.2%,0.0%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,75.0%
BANK OF AMERICA NA,6,2,4,1.3%,0.8%,2.0%,8315,8315,0,0.8%,1.3%,0.0%,33.3%,50.0%,25.0%,0.0%,0.0%,0.0%,66.7%,50.0%,75.0%
TD BANK USA NA,5,4,1,1.1%,1.6%,0.5%,0,0,0,0.0%,0.0%,0.0%,20.0%,0.0%,100.0%,0.0%,0.0%,0.0%,20.0%,0.0%,100.0%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,4,2,2,0.9%,0.8%,1.0%,5389,3191,2197,0.5%,0.5%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,50.0%
SECOND ROUND SUB LLC,4,2,2,0.9%,0.8%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
CAVALRY SPV ILLC,4,0,4,0.9%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
WORLD FINANCE COMPANY OF INDIANA LLC,4,4,0,0.9%,1.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,3,0,3,0.7%,0.0%,1.5%,3321,0,3321,0.3%,0.0%,1.0%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%
MIDLAND CREDIT MANAGEMENTINC,3,1,2,0.7%,0.4%,1.0%,2974,2974,0,0.3%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
