collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,100,68,32,15.7%,20.1%,10.8%,52615,31950,20665,3.7%,4.8%,2.7%,3.0%,4.4%,0.0%,0.0%,0.0%,0.0%,45.0%,35.3%,65.6%
PORTFOLIO RECOVERY ASSOCIATES LLC,75,24,51,11.8%,7.1%,17.2%,90184,17520,72664,6.3%,2.6%,9.5%,1.3%,0.0%,2.0%,0.0%,0.0%,0.0%,61.3%,41.7%,70.6%
MIDLAND CREDIT MANAGEMENT INC,74,48,26,11.6%,14.2%,8.8%,61374,34299,27074,4.3%,5.1%,3.6%,2.7%,2.1%,3.8%,0.0%,0.0%,0.0%,41.9%,35.4%,53.8%
JEFFERSON CAPITAL SYSTEMS LLC,38,10,28,6.0%,2.9%,9.4%,34674,15345,19328,2.4%,2.3%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.3%,50.0%,57.1%
CAPITAL ONE BANK (USA) NA,29,24,5,4.6%,7.1%,1.7%,40132,24914,15217,2.8%,3.7%,2.0%,6.9%,8.3%,0.0%,0.0%,0.0%,0.0%,62.1%,54.2%,100.0%
DISCOVER BANK,26,21,5,4.1%,6.2%,1.7%,61813,38412,23400,4.3%,5.8%,3.1%,15.4%,9.5%,40.0%,0.0%,0.0%,0.0%,30.8%,28.6%,40.0%
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,21,5,16,3.3%,1.5%,5.4%,140518,10444,130074,9.8%,1.6%,17.1%,9.5%,0.0%,12.5%,0.0%,0.0%,0.0%,76.2%,40.0%,87.5%
ONEMAIN FINANCIAL GROUP LLC,15,10,5,2.4%,2.9%,1.7%,66330,40261,26069,4.6%,6.0%,3.4%,13.3%,10.0%,20.0%,0.0%,0.0%,0.0%,53.3%,40.0%,80.0%
MIDLAND FUNDING LLC,15,1,14,2.4%,0.3%,4.7%,7965,0,7965,0.6%,0.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.7%,0.0%,50.0%
BANK OF AMERICA NA,12,4,8,1.9%,1.2%,2.7%,49252,12012,37240,3.4%,1.8%,4.9%,8.3%,0.0%,12.5%,0.0%,0.0%,0.0%,41.7%,25.0%,50.0%
SAC FINANCE INC,11,7,4,1.7%,2.1%,1.3%,50167,11209,38958,3.5%,1.7%,5.1%,9.1%,14.3%,0.0%,0.0%,0.0%,0.0%,45.5%,14.3%,100.0%
CAVALRY SPV I LLC,10,7,3,1.6%,2.1%,1.0%,13948,6072,7876,1.0%,0.9%,1.0%,10.0%,0.0%,33.3%,0.0%,0.0%,0.0%,60.0%,57.1%,66.7%
CROWN ASSET MANAGEMENT LLC,10,4,6,1.6%,1.2%,2.0%,31884,16995,14889,2.2%,2.5%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
THREE RIVERS FEDERAL CREDIT UNION,10,10,0,1.6%,2.9%,0.0%,36302,36302,0,2.5%,5.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
CITIBANK NA,9,3,6,1.4%,0.9%,2.0%,4757,0,4757,0.3%,0.0%,0.6%,44.4%,66.7%,33.3%,0.0%,0.0%,0.0%,55.6%,33.3%,66.7%
MARINER FINANCE LLC,8,2,6,1.3%,0.6%,2.0%,23201,0,23201,1.6%,0.0%,3.0%,12.5%,0.0%,16.7%,0.0%,0.0%,0.0%,87.5%,50.0%,100.0%
FIRST FINANCIAL BANK NA,6,4,2,0.9%,1.2%,0.7%,37894,18645,19250,2.6%,2.8%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
MIDLAND CREDIT MANAGEMENTINC,6,1,5,0.9%,0.3%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,20.0%
CREDITMAX INC,5,3,2,0.8%,0.9%,0.7%,10951,10951,0,0.8%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,66.7%,100.0%
SECOND ROUND SUB LLC,5,1,4,0.8%,0.3%,1.3%,4129,0,4129,0.3%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,0.0%,100.0%
CREDIT ACCEPTANCE CORP.,5,5,0,0.8%,1.5%,0.0%,7462,7462,0,0.5%,1.1%,0.0%,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,20.0%,20.0%,0.0%
CREDIT ACCEPTANCE CORPORATION,4,3,1,0.6%,0.9%,0.3%,27729,27729,0,1.9%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,33.3%,0.0%
UNIFUND CCR LLC,4,0,4,0.6%,0.0%,1.3%,1308,0,1308,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%
VELOCITY INVESTMENTS LLC,4,4,0,0.6%,1.2%,0.0%,11967,11967,0,0.8%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,0.0%
JOE'S AUTO SALES INC,3,0,3,0.5%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,0,3,0.5%,0.0%,1.0%,3964,0,3964,0.3%,0.0%,0.5%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CAVALRY SPV ILLC,3,0,3,0.5%,0.0%,1.0%,3588,0,3588,0.3%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
PORTFOLIORE RECOVERY ASSOCIATES LLC,3,0,3,0.5%,0.0%,1.0%,5597,0,5597,0.4%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NO PLAINTIFF FOUND,3,2,1,0.5%,0.6%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AMERICAN EXPRESS NATIONAL BANK,3,2,1,0.5%,0.6%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
