collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,77,43,34,0.14,0.16,0.13,31813,26412,5401,0.036,0.079,0.0099,0.013,0.023,0.0,0.0,0.0,0.0,0.39,0.40,0.38
MIDLAND CREDIT MANAGEMENT INC,55,24,31,0.10,0.088,0.12,64577,11223,53354,0.073,0.033,0.098,0.036,0.042,0.032,0.0,0.0,0.0,0.42,0.25,0.55
PORTFOLIO RECOVERY ASSOCIATES LLC,54,15,39,0.10,0.055,0.15,46309,778,45530,0.053,0.0023,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.20,0.69
CAPITAL ONE BANK (USA) NA,31,23,8,0.058,0.084,0.031,96128,77696,18432,0.11,0.23,0.034,0.032,0.0,0.13,0.0,0.0,0.0,0.77,0.78,0.75
DISCOVER BANK,30,18,12,0.056,0.066,0.046,47008,26563,20444,0.053,0.079,0.037,0.13,0.11,0.17,0.0,0.0,0.0,0.37,0.28,0.50
JEFFERSON CAPITAL SYSTEMS LLC,26,8,18,0.049,0.029,0.069,25698,5077,20621,0.029,0.015,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.63,0.50
CROWN ASSET MANAGEMENT LLC,17,11,6,0.032,0.040,0.023,9561,2780,6781,0.011,0.0083,0.012,0.059,0.0,0.17,0.0,0.0,0.0,0.53,0.36,0.83
CAVALRY SPV I LLC,17,9,8,0.032,0.033,0.031,14856,10220,4636,0.017,0.031,0.0085,0.059,0.0,0.13,0.0,0.0,0.0,0.65,0.33,1.0
SAC FINANCE INC,13,13,0,0.024,0.048,0.0,9565,9565,0,0.011,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.077,0.0
MARINER FINANCE LLC,12,5,7,0.022,0.018,0.027,53391,36599,16792,0.061,0.11,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,0.71
CITIBANK NA,12,3,9,0.022,0.011,0.034,38758,1963,36794,0.044,0.0059,0.067,0.25,0.0,0.33,0.0,0.0,0.0,0.67,0.33,0.78
SYNCHRONY BANK,11,10,1,0.021,0.037,0.0038,5636,5636,0,0.0064,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.20,1.0
UNIFUND CCR LLC,8,1,7,0.015,0.0037,0.027,17061,0,17061,0.019,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.71
CREDIT ACCEPTANCE CORP.,7,6,1,0.013,0.022,0.0038,17456,7583,9873,0.020,0.023,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,6,3,3,0.011,0.011,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67
SECOND ROUND SUB LLC,6,4,2,0.011,0.015,0.0076,5544,2880,2664,0.0063,0.0086,0.0049,0.17,0.25,0.0,0.0,0.0,0.0,0.67,0.75,0.50
BANK OF AMERICA NA,6,1,5,0.011,0.0037,0.019,17067,0,17067,0.019,0.0,0.031,0.17,0.0,0.20,0.0,0.0,0.0,0.67,0.0,0.80
ONEMAIN FINANCIAL GROUP LLC,6,1,5,0.011,0.0037,0.019,26099,0,26099,0.030,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.80
MIDLAND CREDIT MANAGEMENTINC,5,1,4,0.0093,0.0037,0.015,13422,1959,11464,0.015,0.0058,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.60,1.0,0.50
MIDLAND FUNDING LLC,5,1,4,0.0093,0.0037,0.015,3443,0,3443,0.0039,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,1.0
EAGLE FINANCE COMPANY,5,3,2,0.0093,0.011,0.0076,10918,4808,6110,0.012,0.014,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.67,1.0
ONE ADVANTAGE LLC,5,4,1,0.0093,0.015,0.0038,27158,0,27158,0.031,0.0,0.050,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.25,1.0
CREDITMAX INC,5,1,4,0.0093,0.0037,0.015,6265,0,6265,0.0071,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.50
VELOCITY INVESTMENTS LLC,5,4,1,0.0093,0.015,0.0038,8962,6173,2789,0.010,0.018,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.25,1.0
TD BANK USA NA,4,3,1,0.0075,0.011,0.0038,7829,4499,3330,0.0089,0.013,0.0061,0.50,0.67,0.0,0.0,0.0,0.0,0.75,0.67,1.0
CREDIT CORP SOLUTIONS INC,4,0,4,0.0075,0.0,0.015,5701,0,5701,0.0065,0.0,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
