collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDLAND CREDIT MANAGEMENT INC,47,24,23,0.13,0.11,0.17,40455,8040,32415,0.034,0.016,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.17,0.57
LVNV FUNDING LLC,33,29,4,0.092,0.13,0.029,13806,8986,4820,0.012,0.018,0.0069,0.030,0.034,0.0,0.0,0.0,0.0,0.030,0.034,0.0
PORTFOLIO RECOVERY ASSOCIATES LLC,32,12,20,0.090,0.055,0.14,56941,23752,33189,0.048,0.047,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.083,0.75
PROFESSIONAL & BUSINESS COLLECTIONS LLC,29,17,12,0.081,0.078,0.087,143815,73027,70789,0.12,0.15,0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.24,0.58
CAPITAL ONE BANK (USA) NA,26,20,6,0.073,0.091,0.043,62678,52440,10238,0.052,0.10,0.015,0.038,0.050,0.0,0.0,0.0,0.0,0.46,0.35,0.83
DISCOVER BANK,25,19,6,0.070,0.087,0.043,112268,59232,53035,0.094,0.12,0.076,0.20,0.21,0.17,0.0,0.0,0.0,0.28,0.16,0.67
JEFFERSON CAPITAL SYSTEMS LLC,15,2,13,0.042,0.0091,0.094,12026,862,11164,0.010,0.0017,0.016,0.067,0.0,0.077,0.0,0.0,0.0,0.73,0.50,0.77
HOOSIER ACCOUNTS SERVICE,10,7,3,0.028,0.032,0.022,57577,0,57577,0.048,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.10,0.0,0.33
CAVALRY SPV I LLC,10,9,1,0.028,0.041,0.0072,23883,20487,3396,0.020,0.041,0.0049,0.20,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CROWN ASSET MANAGEMENT LLC,9,7,2,0.025,0.032,0.014,5413,3415,1998,0.0045,0.0068,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.29,0.50
CITIBANK NA,9,7,2,0.025,0.032,0.014,26639,24475,2164,0.022,0.049,0.0031,0.33,0.29,0.50,0.0,0.0,0.0,0.33,0.29,0.50
ONEMAIN FINANCIAL GROUP LLC,7,5,2,0.020,0.023,0.014,28186,22319,5867,0.024,0.044,0.0084,0.14,0.20,0.0,0.0,0.0,0.0,0.29,0.0,1.0
TD BANK USA NA,6,6,0,0.017,0.027,0.0,12597,12597,0,0.011,0.025,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.50,0.50,0.0
AMERICAN EXPRESS NATIONAL BANK,5,5,0,0.014,0.023,0.0,25575,25575,0,0.021,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.20,0.0
MIDLAND FUNDING LLC,4,0,4,0.011,0.0,0.029,6989,0,6989,0.0058,0.0,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,4,1,3,0.011,0.0046,0.022,23986,7109,16877,0.020,0.014,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SECOND ROUND SUB LLC,4,0,4,0.011,0.0,0.029,4082,0,4082,0.0034,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
FORD MOTOR CREDIT COMPANY LLC,3,1,2,0.0084,0.0046,0.014,7942,0,7942,0.0066,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
CAVALRY SPV ILLC,3,1,2,0.0084,0.0046,0.014,1695,0,1695,0.0014,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
UNIFUND CCR LLC,3,1,2,0.0084,0.0046,0.014,7679,702,6976,0.0064,0.0014,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50
CREDITMAX INC,3,3,0,0.0084,0.014,0.0,20964,20964,0,0.018,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
SYNCHRONY BANK,3,3,0,0.0084,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNF ASSOCIATES LLC,3,3,0,0.0084,0.014,0.0,1901,1901,0,0.0016,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OWENSBORO HEALTH INC,3,2,1,0.0084,0.0091,0.0072,4996,4996,0,0.0042,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,3,1,2,0.0084,0.0046,0.014,10226,8761,1465,0.0085,0.017,0.0021,0.33,0.0,0.50,0.0,0.0,0.0,0.0,0.0,0.0
BANK OF AMERICA NA,3,0,3,0.0084,0.0,0.022,51373,0,51373,0.043,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33
MARINER FINANCE LLC SUCCESSOR IN IN,2,0,2,0.0056,0.0,0.014,6232,0,6232,0.0052,0.0,0.0090,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,2,1,1,0.0056,0.0046,0.0072,28011,13269,14742,0.023,0.026,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
VELOCITY INVESTMENTS LLC,2,2,0,0.0056,0.0091,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DON WILLIS AUTO SALES INC,2,2,0,0.0056,0.0091,0.0,0,0,0,0.0,0.0,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.50,0.50,0.0
RESURGENT RECEIVABLES LLC,2,2,0,0.0056,0.0091,0.0,3494,3494,0,0.0029,0.0070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINER FINANCE LLC,2,2,0,0.0056,0.0091,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WELLS FARGO BANK NA,2,1,1,0.0056,0.0046,0.0072,20569,20569,0,0.017,0.041,0.0,0.50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JOHN DEERE FINANCIAL,2,0,2,0.0056,0.0,0.014,178015,0,178015,0.15,0.0,0.26,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCOVER BANK C/O DISCOVER PRODUCTS,1,0,1,0.0028,0.0,0.0072,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF C,1,0,1,0.0028,0.0,0.0072,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PROFESSIONAL & BUSINESS COLLECTIONS,1,0,1,0.0028,0.0,0.0072,16021,0,16021,0.013,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,1,0,1,0.0028,0.0,0.0072,932,0,932,0.00078,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASEY STATE BANK,1,0,1,0.0028,0.0,0.0072,27701,0,27701,0.023,0.0,0.040,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PORTTFOLIO RECOVERY ASSOCIATES LLC,1,0,1,0.0028,0.0,0.0072,12204,0,12204,0.010,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENTINC,1,0,1,0.0028,0.0,0.0072,1181,0,1181,0.00099,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MORRIS PLAN COMPANY OF TERRE HAUTE INC,1,0,1,0.0028,0.0,0.0072,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,1,0,1,0.0028,0.0,0.0072,3703,0,3703,0.0031,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
EVANSVILLE FEDERAL CREDIT UNION,1,0,1,0.0028,0.0,0.0072,8380,0,8380,0.0070,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC ASSIGNEE OF JACKSON COUNTY SCHNECK MEMORIAL,1,0,1,0.0028,0.0,0.0072,1848,0,1848,0.0015,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
OLD NATIONAL BANK,1,1,0,0.0028,0.0046,0.0,8215,8215,0,0.0069,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
OLIPHANT FINANCIAL LLC,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC FINANCE INC,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FICKER LEISA D,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICAN EXPRESS NATIONAL BANK FKA AECB,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATE OF INDIANA EX REL INDIANA DEPARTMENT OF WORKFORCE DEVELOPMENT,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TD BANK USA,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT ACCEPTANCE CORPORATION,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. BANK NATIONAL ASSOCIATION,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
OAKLAND CITY UNIVERSITY,1,1,0,0.0028,0.0046,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
