collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
CAMERON MEMORIAL COMMUNITY HOSPITAL,115,48,67,0.15,0.11,0.19,256166,58213,197953,0.16,0.093,0.20,0.026,0.0,0.045,0.0,0.0,0.0,0.43,0.27,0.55
LVNV FUNDING LLC,93,64,29,0.12,0.15,0.081,39492,24777,14716,0.024,0.040,0.015,0.011,0.016,0.0,0.0,0.0,0.0,0.28,0.22,0.41
MIDLAND CREDIT MANAGEMENT INC,71,45,26,0.091,0.11,0.073,28746,11751,16995,0.018,0.019,0.017,0.014,0.0,0.038,0.0,0.0,0.0,0.25,0.13,0.46
PORTFOLIO RECOVERY ASSOCIATES LLC,58,27,31,0.074,0.064,0.087,52532,13606,38926,0.033,0.022,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.30,0.61
CAPITAL ONE BANK (USA) NA,42,31,11,0.054,0.073,0.031,75020,66770,8250,0.047,0.11,0.0084,0.12,0.065,0.27,0.0,0.0,0.0,0.52,0.52,0.55
DISCOVER BANK,33,29,4,0.042,0.069,0.011,92641,76080,16562,0.057,0.12,0.017,0.12,0.10,0.25,0.0,0.0,0.0,0.42,0.45,0.25
NEW WORLD COLLECTIONS INC,28,7,21,0.036,0.017,0.059,44056,0,44056,0.027,0.0,0.045,0.036,0.0,0.048,0.0,0.0,0.0,0.36,0.0,0.48
COMMUNITYWIDE FEDERAL CREDIT UNION,23,10,13,0.029,0.024,0.036,104315,25101,79214,0.065,0.040,0.080,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.20,0.46
JEFFERSON CAPITAL SYSTEMS LLC,22,9,13,0.028,0.021,0.036,7515,0,7515,0.0047,0.0,0.0076,0.045,0.11,0.0,0.0,0.0,0.0,0.27,0.11,0.38
ONEMAIN FINANCIAL GROUP LLC,18,12,6,0.023,0.028,0.017,103162,50496,52666,0.064,0.081,0.053,0.056,0.083,0.0,0.0,0.0,0.0,0.22,0.25,0.17
CAVALRY SPV I LLC,17,9,8,0.022,0.021,0.022,59284,26955,32329,0.037,0.043,0.033,0.059,0.11,0.0,0.0,0.0,0.0,0.65,0.67,0.63
SAC FINANCE INC,15,7,8,0.019,0.017,0.022,98578,51229,47348,0.061,0.082,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.71,0.38
SECOND ROUND SUB LLC,14,2,12,0.018,0.0047,0.034,20309,1508,18801,0.013,0.0024,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.50,0.83
CROWN ASSET MANAGEMENT LLC,13,8,5,0.017,0.019,0.014,20539,7357,13183,0.013,0.012,0.013,0.077,0.13,0.0,0.0,0.0,0.0,0.69,0.50,1.0
BANK OF AMERICA NA,12,6,6,0.015,0.014,0.017,60396,11861,48534,0.037,0.019,0.049,0.083,0.17,0.0,0.0,0.0,0.0,0.75,0.50,1.0
CITIBANK NA,11,5,6,0.014,0.012,0.017,22899,8211,14688,0.014,0.013,0.015,0.45,0.60,0.33,0.0,0.0,0.0,0.27,0.20,0.33
CREDIT ACCEPTANCE CORPORATION,8,3,5,0.010,0.0071,0.014,33545,12197,21349,0.021,0.020,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.67,0.60
WELLS FARGO BANK NA,8,5,3,0.010,0.012,0.0084,33795,16949,16846,0.021,0.027,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.60,0.67
