collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
SULLIVAN COUNTY COMMUNITY HOSPITAL,78,70,8,0.12,0.18,0.032,116738,57412,59326,0.067,0.066,0.069,0.026,0.029,0.0,0.0,0.0,0.0,0.26,0.21,0.63
LVNV FUNDING LLC,68,49,19,0.11,0.13,0.075,52455,28231,24225,0.030,0.032,0.028,0.074,0.082,0.053,0.0,0.0,0.0,0.57,0.41,1.0
MIDLAND CREDIT MANAGEMENT INC,66,41,25,0.10,0.11,0.099,102250,43049,59201,0.059,0.049,0.069,0.015,0.0,0.040,0.0,0.0,0.0,0.59,0.44,0.84
PORTFOLIO RECOVERY ASSOCIATES LLC,44,24,20,0.069,0.063,0.079,60074,29303,30771,0.035,0.033,0.036,0.023,0.0,0.050,0.0,0.0,0.0,0.70,0.54,0.90
CAPITAL ONE BANK (USA) NA,29,21,8,0.046,0.055,0.032,94484,65256,29228,0.054,0.075,0.034,0.14,0.14,0.13,0.0,0.0,0.0,0.86,0.81,1.0
JEFFERSON CAPITAL SYSTEMS LLC,26,7,19,0.041,0.018,0.075,25718,7123,18594,0.015,0.0081,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.43,1.0
DISCOVER BANK,24,18,6,0.038,0.047,0.024,86388,54645,31743,0.050,0.062,0.037,0.13,0.056,0.33,0.0,0.0,0.0,0.63,0.56,0.83
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,20,13,7,0.032,0.034,0.028,65692,39066,26626,0.038,0.045,0.031,0.10,0.077,0.14,0.0,0.0,0.0,0.45,0.23,0.86
CROWN ASSET MANAGEMENT LLC,16,6,10,0.025,0.016,0.040,21445,6295,15150,0.012,0.0072,0.018,0.13,0.0,0.20,0.0,0.0,0.0,0.81,0.67,0.90
FIRST FINANCIAL BANK NA,15,8,7,0.024,0.021,0.028,76945,42724,34221,0.044,0.049,0.040,0.067,0.0,0.14,0.0,0.0,0.0,0.53,0.38,0.71
ONEMAIN FINANCIAL GROUP LLC,14,6,8,0.022,0.016,0.032,63425,36895,26530,0.037,0.042,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.50,0.63
MIDLAND FUNDING LLC,13,0,13,0.021,0.0,0.052,13327,0,13327,0.0077,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.77
BANK OF AMERICA NA,13,6,7,0.021,0.016,0.028,96815,46493,50321,0.056,0.053,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.67,1.0
CAVALRY SPV I LLC,12,7,5,0.019,0.018,0.020,22131,5558,16574,0.013,0.0063,0.019,0.083,0.14,0.0,0.0,0.0,0.0,0.75,0.71,0.80
SYNCHRONY BANK,11,10,1,0.017,0.026,0.0040,9128,9128,0,0.0053,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.40,1.0
CITIBANK NA,11,8,3,0.017,0.021,0.012,31472,12549,18924,0.018,0.014,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.13,0.67
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,8,5,3,0.013,0.013,0.012,47243,7308,39935,0.027,0.0083,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.40,1.0
NO PLAINTIFF FOUND,7,1,6,0.011,0.0026,0.024,287,0,287,0.00017,0.0,0.00033,0.29,1.0,0.17,0.0,0.0,0.0,0.71,0.0,0.83
SAC FINANCE INC,7,4,3,0.011,0.010,0.012,33064,6903,26161,0.019,0.0079,0.030,0.14,0.25,0.0,0.0,0.0,0.0,0.57,0.25,1.0
EVANSVILLE TEACHERS FEDERAL CREDIT UNION,7,5,2,0.011,0.013,0.0079,26169,15294,10876,0.015,0.017,0.013,0.29,0.20,0.50,0.0,0.0,0.0,0.43,0.40,0.50
CREDIT ACCEPTANCE CORP.,5,3,2,0.0079,0.0079,0.0079,22608,11375,11233,0.013,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.33,1.0
MIDLAND CREDIT MANAGEMENTINC,5,0,5,0.0079,0.0,0.020,11982,0,11982,0.0069,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC AS ASSIGNEE OF CITIBANK NA,4,0,4,0.0063,0.0,0.016,7968,0,7968,0.0046,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SECOND ROUND SUB LLC,4,2,2,0.0063,0.0052,0.0079,3180,2173,1008,0.0018,0.0025,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.50,1.0
CRANE CREDIT UNION,4,0,4,0.0063,0.0,0.016,38178,0,38178,0.022,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NAVY FEDERAL CREDIT UNION,4,1,3,0.0063,0.0026,0.012,19249,0,19249,0.011,0.0,0.022,0.50,0.0,0.67,0.0,0.0,0.0,0.75,0.0,1.0
SULLIVAN COUNTY COMMUNITY HOSP.,4,4,0,0.0063,0.010,0.0,4058,4058,0,0.0023,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
UNIFUND CCR LLC,3,0,3,0.0047,0.0,0.012,1806,0,1806,0.0010,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TEACHERS CREDIT UNION,3,1,2,0.0047,0.0026,0.0079,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
RILEY FIRE DEPARTMENT,3,0,3,0.0047,0.0,0.012,818,0,818,0.00047,0.0,0.00095,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,1,2,0.0047,0.0026,0.0079,3134,0,3134,0.0018,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CAVALRY SPV ILLC,3,1,2,0.0047,0.0026,0.0079,16941,3147,13794,0.0098,0.0036,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SULLIVAN COUNTY COMMUNITY HOSP,3,3,0,0.0047,0.0079,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RENT TO OWN RENTALS LLC,2,0,2,0.0032,0.0,0.0079,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,2,0,2,0.0032,0.0,0.0079,2594,0,2594,0.0015,0.0,0.0030,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MARINER FINANCE LLC,2,1,1,0.0032,0.0026,0.0040,6052,0,6052,0.0035,0.0,0.0070,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
BUREAUS INVESTMENT GROUP PORTFOLIO NO 15 LLC,2,1,1,0.0032,0.0026,0.0040,4260,0,4260,0.0025,0.0,0.0050,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
FOURSIGHT CAPITAL LLC,2,0,2,0.0032,0.0,0.0079,12851,0,12851,0.0074,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50
CERES SOLUTIONS COOPERATIVE INC,2,1,1,0.0032,0.0026,0.0040,8204,0,8204,0.0047,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
NCB MANAGEMENT SERVICES INC,2,2,0,0.0032,0.0052,0.0,8454,8454,0,0.0049,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
AUTOVEST L.L.C OF INDIANA,2,2,0,0.0032,0.0052,0.0,16751,16751,0,0.0097,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
ACCELERATED INVENTORY MANAGEMENT LLC,2,2,0,0.0032,0.0052,0.0,16493,16493,0,0.0095,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
FIRST NATIONAL BANK OF OMAHA,2,2,0,0.0032,0.0052,0.0,0,0,0,0.0,0.0,0.0,0.50,0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TD BANK USA NA,2,2,0,0.0032,0.0052,0.0,1757,1757,0,0.0010,0.0020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
PAS,2,2,0,0.0032,0.0052,0.0,7197,7197,0,0.0041,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
ADLP INVESTMENTS LLC SERIES 1,2,2,0,0.0032,0.0052,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT ACCEPTANCE CORP,2,1,1,0.0032,0.0026,0.0040,11570,0,11570,0.0067,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
ROWDY G. WILLIAMS LAW FIRM P.C.,2,1,1,0.0032,0.0026,0.0040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL COLLEGIATE STUDENT LOAN TRUST 2006-1,2,2,0,0.0032,0.0052,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
