collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,40,25,15,0.13,0.14,0.12,28488,13637,14851,0.035,0.040,0.032,0.025,0.040,0.0,0.0,0.0,0.0,0.55,0.36,0.87
MIDLAND CREDIT MANAGEMENT INC,37,21,16,0.12,0.11,0.13,64035,23398,40638,0.080,0.068,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.43,0.69
PORTFOLIO RECOVERY ASSOCIATES LLC,25,13,12,0.080,0.071,0.094,48796,33014,15782,0.061,0.096,0.034,0.040,0.0,0.083,0.0,0.0,0.0,0.72,0.54,0.92
DISCOVER BANK,18,15,3,0.058,0.082,0.024,49626,29767,19859,0.062,0.087,0.043,0.22,0.13,0.67,0.0,0.0,0.0,0.61,0.60,0.67
CAPITAL ONE BANK (USA) NA,13,11,2,0.042,0.060,0.016,25707,22025,3682,0.032,0.064,0.0080,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.55,0.50
CROWN ASSET MANAGEMENT LLC,11,7,4,0.035,0.038,0.031,5766,4863,903,0.0072,0.014,0.0020,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.43,1.0
CITIBANK NA,10,9,1,0.032,0.049,0.0079,6020,3692,2329,0.0075,0.011,0.0050,0.20,0.22,0.0,0.0,0.0,0.0,0.50,0.44,1.0
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,9,4,5,0.029,0.022,0.039,35950,19146,16804,0.045,0.056,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.50,1.0
NEW WORLD COLLECTIONS INC,9,2,7,0.029,0.011,0.055,9430,0,9430,0.012,0.0,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,0.86
MIDLAND FUNDING LLC,9,0,9,0.029,0.0,0.071,7004,0,7004,0.0087,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.56
JEFFERSON CAPITAL SYSTEMS LLC,8,3,5,0.026,0.016,0.039,16012,1227,14785,0.020,0.0036,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.33,0.80
TD BANK USA NA,8,8,0,0.026,0.043,0.0,8113,8113,0,0.010,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0
ONEMAIN FINANCIAL GROUP LLC,7,3,4,0.023,0.016,0.031,50918,14439,36479,0.063,0.042,0.079,0.14,0.33,0.0,0.0,0.0,0.0,0.57,0.67,0.50
SYNCHRONY BANK,6,6,0,0.019,0.033,0.0,14169,14169,0,0.018,0.041,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.83,0.83,0.0
SECOND ROUND SUB LLC,5,0,5,0.016,0.0,0.039,3372,0,3372,0.0042,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.0,0.80
GOLDMAN SACHS BANK USA,5,5,0,0.016,0.027,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANK OF AMERICA NA,4,0,4,0.013,0.0,0.031,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.0,0.0,0.0,0.75,0.0,0.75
CAVALRY SPV I LLC,4,2,2,0.013,0.011,0.016,2018,0,2018,0.0025,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
DNF ASSOCIATES LLC,4,4,0,0.013,0.022,0.0,1600,1600,0,0.0020,0.0047,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.50,0.50,0.0
TD BANK USA NA AS SUCCESSOR IN INTEREST TO TARGET NATIONAL BANK,4,4,0,0.013,0.022,0.0,1648,1648,0,0.0021,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
NO PLAINTIFF FOUND,3,0,3,0.0096,0.0,0.024,0,0,0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0
FORD MOTOR CREDIT COMPANY LLC,3,1,2,0.0096,0.0054,0.016,2119,0,2119,0.0026,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENTINC,3,1,2,0.0096,0.0054,0.016,6995,845,6149,0.0087,0.0025,0.013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
PROFESSIONAL FINANCIAL SERVICES OF INDIANA LLC,3,3,0,0.0096,0.016,0.0,17009,17009,0,0.021,0.050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,2,1,0.0096,0.011,0.0079,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MILLER'S HEALTH SYSTEMS INC,2,0,2,0.0064,0.0,0.016,67902,0,67902,0.085,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PRESTIGE FINANCIAL SERVICES,2,2,0,0.0064,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMUNITYWIDE FCU,2,2,0,0.0064,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRIVE NOW AUTO CREDIT COMPANY INC,2,2,0,0.0064,0.011,0.0,27194,27194,0,0.034,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CREDIT ACCEPTANCE CORPORATION,2,2,0,0.0064,0.011,0.0,9440,9440,0,0.012,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
MARINER FINANCE LLC,2,2,0,0.0064,0.011,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORUM CREDIT UNION,2,1,1,0.0064,0.0054,0.0079,10130,0,10130,0.013,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLIDARITY COMMUNITY FEDERAL CREDIT UNION,1,0,1,0.0032,0.0,0.0079,17238,0,17238,0.021,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,1,0,1,0.0032,0.0,0.0079,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TIPTON BUILDING SUPPLIES LLC,1,0,1,0.0032,0.0,0.0079,12995,0,12995,0.016,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CHURCH CHURCH HITTLE + ANTRIM,1,0,1,0.0032,0.0,0.0079,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SOLIDARITY FEDERAL CREDIT UNION,1,0,1,0.0032,0.0,0.0079,10396,0,10396,0.013,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TAYLOR & COWAN LLC D/B/A TAYLOR & COWAN FUNERAL HOME AND CREMATION SERVICES,1,0,1,0.0032,0.0,0.0079,7114,0,7114,0.0089,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WELLS FARGO BANK NA,1,0,1,0.0032,0.0,0.0079,16620,0,16620,0.021,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
RELIABLE AUTO FINANCE,1,0,1,0.0032,0.0,0.0079,9899,0,9899,0.012,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FIRST PORTFOLIO VENTURES I LLC,1,0,1,0.0032,0.0,0.0079,2100,0,2100,0.0026,0.0,0.0046,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
FINANCIAL BUILDERS FEDERAL CREDIT UNION,1,0,1,0.0032,0.0,0.0079,14302,0,14302,0.018,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
