collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,263,184,79,0.15,0.20,0.098,106525,83788,22737,0.045,0.098,0.015,0.0076,0.0,0.025,0.0,0.0,0.0,0.24,0.23,0.25
MIDLAND CREDIT MANAGEMENT INC,192,97,95,0.11,0.10,0.12,122790,16790,105999,0.051,0.020,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.082,0.47
PORTFOLIO RECOVERY ASSOCIATES LLC,172,47,125,0.099,0.050,0.15,129795,20815,108980,0.054,0.024,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.32,0.58
JEFFERSON CAPITAL SYSTEMS LLC,87,31,56,0.050,0.033,0.069,74847,13709,61138,0.031,0.016,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.32,0.52
DISCOVER BANK,86,61,25,0.049,0.065,0.031,137243,86146,51098,0.057,0.10,0.033,0.058,0.033,0.12,0.0,0.0,0.0,0.41,0.36,0.52
CAPITAL ONE BANK (USA) NA,81,60,21,0.047,0.064,0.026,108710,81232,27478,0.045,0.095,0.018,0.049,0.0,0.19,0.0,0.0,0.0,0.46,0.45,0.48
FINANCE SYSTEM OF RICHMOND INC,68,32,36,0.039,0.034,0.045,407865,108964,298901,0.17,0.13,0.20,0.044,0.063,0.028,0.0,0.0,0.0,0.47,0.38,0.56
SAC FINANCE INC,54,47,7,0.031,0.050,0.0087,24738,6287,18451,0.010,0.0073,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.021,0.29
THREE RIVERS FEDERAL CREDIT UNION,53,46,7,0.030,0.049,0.0087,127510,100793,26717,0.053,0.12,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.28,0.43
ONEMAIN FINANCIAL GROUP LLC,37,13,24,0.021,0.014,0.030,179030,64434,114596,0.075,0.075,0.075,0.054,0.0,0.083,0.0,0.0,0.0,0.49,0.31,0.58
CAVALRY SPV I LLC,35,18,17,0.020,0.019,0.021,30013,9397,20616,0.013,0.011,0.013,0.029,0.0,0.059,0.0,0.0,0.0,0.46,0.44,0.47
MIDLAND FUNDING LLC,34,3,31,0.020,0.0032,0.038,29729,1991,27738,0.012,0.0023,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.33,0.45
CROWN ASSET MANAGEMENT LLC,34,16,18,0.020,0.017,0.022,32764,18942,13823,0.014,0.022,0.0090,0.059,0.063,0.056,0.0,0.0,0.0,0.47,0.50,0.44
CITIBANK NA,33,18,15,0.019,0.019,0.019,34072,13399,20673,0.014,0.016,0.013,0.061,0.056,0.067,0.0,0.0,0.0,0.36,0.22,0.53
SECOND ROUND SUB LLC,27,7,20,0.016,0.0075,0.025,21083,1211,19872,0.0088,0.0014,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.14,0.65
MARINER FINANCE LLC,27,13,14,0.016,0.014,0.017,77021,25991,51031,0.032,0.030,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.62,0.64
UNIFUND CCR LLC,25,2,23,0.014,0.0021,0.029,30175,0,30175,0.013,0.0,0.020,0.080,0.50,0.043,0.0,0.0,0.0,0.60,1.0,0.57
AUTOVEST LLC,24,0,24,0.014,0.0,0.030,97453,0,97453,0.041,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67
AUTOVEST LLC OF INDIANA,22,16,6,0.013,0.017,0.0074,22848,10012,12836,0.0096,0.012,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.25,0.33
