collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,19481,12976,6505,0.13,0.17,0.094,5743752,4089449,1654303,0.028,0.053,0.013,0.030,0.039,0.012,0.0,0.0,0.0,0.34,0.32,0.37
MIDLAND CREDIT MANAGEMENT INC,14768,7982,6786,0.10,0.10,0.098,9167048,3241959,5925089,0.045,0.042,0.046,0.018,0.021,0.014,0.000068,0.0,0.00015,0.41,0.26,0.58
PORTFOLIO RECOVERY ASSOCIATES LLC,13249,5041,8208,0.091,0.066,0.12,9515437,2845174,6670263,0.047,0.037,0.052,0.021,0.029,0.017,0.0,0.0,0.0,0.56,0.40,0.66
CAPITAL ONE BANK (USA) NA,6492,5149,1343,0.045,0.068,0.019,7732155,6007292,1724864,0.038,0.078,0.014,0.054,0.055,0.051,0.0,0.0,0.0,0.46,0.43,0.53
DISCOVER BANK,6475,4546,1929,0.045,0.060,0.028,11180408,6408942,4771466,0.055,0.084,0.037,0.094,0.087,0.11,0.0,0.0,0.0,0.44,0.36,0.64
JEFFERSON CAPITAL SYSTEMS LLC,6099,1952,4147,0.042,0.026,0.060,4084845,978312,3106532,0.020,0.013,0.024,0.023,0.043,0.014,0.0,0.0,0.0,0.44,0.30,0.50
CROWN ASSET MANAGEMENT LLC,3034,1533,1501,0.021,0.020,0.022,3135846,1264869,1870977,0.015,0.017,0.015,0.073,0.071,0.075,0.0,0.0,0.0,0.71,0.57,0.85
CAVALRY SPV I LLC,2956,1565,1391,0.020,0.021,0.020,3479245,1419300,2059945,0.017,0.019,0.016,0.061,0.061,0.060,0.0,0.0,0.0,0.56,0.41,0.74
TRUSTMARK RECOVERY SERVICES,2725,1449,1276,0.019,0.019,0.018,16175,1817,14358,0.000079,0.000024,0.00011,0.017,0.022,0.012,0.0,0.0,0.0,0.39,0.30,0.50
CITIBANK NA,2597,1247,1350,0.018,0.016,0.020,4465680,1501099,2964580,0.022,0.020,0.023,0.16,0.14,0.19,0.0,0.0,0.0,0.60,0.42,0.76
ONEMAIN FINANCIAL GROUP LLC,2578,1361,1217,0.018,0.018,0.018,9231230,3823214,5408016,0.045,0.050,0.042,0.031,0.038,0.024,0.0,0.0,0.0,0.55,0.39,0.74
MIDLAND FUNDING LLC,2036,228,1808,0.014,0.0030,0.026,1372726,70325,1302401,0.0067,0.00092,0.010,0.011,0.022,0.0094,0.0,0.0,0.0,0.59,0.36,0.62
BANK OF AMERICA NA,1876,896,980,0.013,0.012,0.014,5610652,1908385,3702267,0.027,0.025,0.029,0.13,0.11,0.14,0.0,0.0,0.0,0.61,0.44,0.77
SYNCHRONY BANK,1808,1540,268,0.012,0.020,0.0039,1202064,1110095,91969,0.0059,0.014,0.00072,0.075,0.071,0.097,0.0,0.0,0.0,0.41,0.32,0.91
UNIFUND CCR LLC,1801,215,1586,0.012,0.0028,0.023,1146064,19141,1126923,0.0056,0.00025,0.0088,0.014,0.023,0.013,0.0,0.0,0.0,0.57,0.13,0.63
TD BANK USA NA,1491,1322,169,0.010,0.017,0.0024,722435,593705,128730,0.0035,0.0078,0.0010,0.084,0.083,0.089,0.0,0.0,0.0,0.44,0.39,0.79
SAC FINANCE INC,1443,938,505,0.0099,0.012,0.0073,6241386,2526413,3714973,0.031,0.033,0.029,0.021,0.023,0.018,0.0,0.0,0.0,0.42,0.26,0.70
HERITAGE ACCEPTANCE CORPORATION,1438,674,764,0.0099,0.0089,0.011,3116914,1228069,1888845,0.015,0.016,0.015,0.022,0.037,0.0079,0.0,0.0,0.0,0.51,0.44,0.57
