collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
trustmark recovery services,2491,1312,1179,14.8%,15.2%,14.5%,16175,1817,14358,0.2%,0.0%,0.3%,1.7%,2.2%,1.1%,0.0%,0.0%,0.0%,40.3%,30.9%,50.8%
lvnv funding llc,2162,1427,735,12.9%,16.5%,9.0%,62757,60844,1913,0.8%,1.6%,0.0%,2.5%,3.2%,1.1%,0.0%,0.0%,0.0%,36.6%,35.7%,38.5%
portfolio recovery associates llc,1507,619,888,9.0%,7.2%,10.9%,891139,317587,573551,10.7%,8.5%,12.5%,1.3%,2.1%,0.8%,0.0%,0.0%,0.0%,62.1%,45.9%,73.4%
midland credit management inc,1197,608,589,7.1%,7.0%,7.2%,332559,2138,330421,4.0%,0.1%,7.2%,1.0%,1.0%,1.0%,0.0%,0.0%,0.0%,41.5%,22.0%,61.6%
jefferson capital systems llc,762,237,525,4.5%,2.7%,6.4%,139566,9376,130190,1.7%,0.2%,2.8%,1.4%,2.1%,1.1%,0.0%,0.0%,0.0%,35.0%,18.1%,42.7%
capital one bank (usa) na,684,557,127,4.1%,6.4%,1.6%,333164,288870,44294,4.0%,7.7%,1.0%,3.5%,3.2%,4.7%,0.0%,0.0%,0.0%,39.8%,37.2%,51.2%
discover bank,627,456,171,3.7%,5.3%,2.1%,410196,334334,75862,4.9%,8.9%,1.7%,5.7%,6.1%,4.7%,0.0%,0.0%,0.0%,46.7%,41.7%,60.2%
city of hobart,610,250,360,3.6%,2.9%,4.4%,0,0,0,0.0%,0.0%,0.0%,1.0%,1.2%,0.8%,0.0%,0.0%,0.0%,56.2%,28.4%,75.6%
crown asset management llc,401,205,196,2.4%,2.4%,2.4%,271765,117677,154087,3.3%,3.1%,3.4%,7.0%,6.8%,7.1%,0.0%,0.0%,0.0%,73.8%,61.5%,86.7%
cavalry spv i llc,391,222,169,2.3%,2.6%,2.1%,270326,146785,123541,3.2%,3.9%,2.7%,4.6%,4.1%,5.3%,0.0%,0.0%,0.0%,55.2%,40.1%,75.1%
