collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
capital region medical center,18,0,18,25.7%,0.0%,27.7%,0,0,0,0%,0%,0%,5.6%,0%,5.6%,22.2%,0%,22.2%,100.0%,0%,100.0%
wakefield & associates inc,10,2,8,14.3%,40.0%,12.3%,0,0,0,0%,0%,0%,10.0%,0.0%,12.5%,40.0%,50.0%,37.5%,100.0%,100.0%,100.0%
portfolio recovery associates llc,9,0,9,12.9%,0.0%,13.8%,0,0,0,0%,0%,0%,11.1%,0%,11.1%,11.1%,0%,11.1%,100.0%,0%,100.0%
ozark central ambulance distric,6,0,6,8.6%,0.0%,9.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,16.7%,0%,16.7%,100.0%,0%,100.0%
midland credit management inc,6,1,5,8.6%,20.0%,7.7%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,0.0%,60.0%,100.0%,100.0%,100.0%
lvnv funding llc,5,0,5,7.1%,0.0%,7.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,40.0%,0%,40.0%,100.0%,0%,100.0%
midland funding llc,2,0,2,2.9%,0.0%,3.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
consumer adjustment co inc,2,0,2,2.9%,0.0%,3.1%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
capital region medical center - kansas city mo,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jefferson capital systems,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
graceland properties llc,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
second round sub llc,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
jefferson capital systems llc,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
acct resolution corp assignee of cap reg med ctr,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
portfolio recovery assoc.,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield & associates inc petitioner,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
phelps health fka phelps county regional medical center,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
crmc dba crpacrmc,1,0,1,1.4%,0.0%,1.5%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv i llc,1,1,0,1.4%,20.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
bank of america na,1,1,0,1.4%,20.0%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
