collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,294,131,163,0.58,0.53,0.62,0,0,0,0.0,0.0,0.0,0.010,0.015,0.0061,0.30,0.23,0.35,0.83,0.66,0.96
LVNV FUNDING LLC,48,23,25,0.094,0.093,0.095,0,0,0,0.0,0.0,0.0,0.021,0.0,0.040,0.15,0.13,0.16,0.69,0.43,0.92
MIDLAND CREDIT MANAGEMENT INC,32,15,17,0.063,0.061,0.065,0,0,0,0.0,0.0,0.0,0.031,0.067,0.0,0.34,0.27,0.41,0.75,0.67,0.82
PORTFOLIO RECOVERY ASSOCIATES LLC,27,13,14,0.053,0.053,0.053,0,0,0,0.0,0.0,0.0,0.074,0.15,0.0,0.41,0.31,0.50,0.89,0.77,1.0
CAVALRY SPV I LLC,10,5,5,0.020,0.020,0.019,0,0,0,0.0,0.0,0.0,0.10,0.0,0.20,0.40,0.20,0.60,0.80,0.60,1.0
CITIBANK NA,10,8,2,0.020,0.033,0.0076,0,0,0,0.0,0.0,0.0,0.10,0.13,0.0,0.10,0.0,0.50,0.60,0.63,0.50
TD BANK USA NA,9,9,0,0.018,0.037,0.0,0,0,0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.67,0.67,0.0
MIDLAND FUNDING LLC,7,4,3,0.014,0.016,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.33,0.57,0.25,1.0
MM FINANCE LLC,6,1,5,0.012,0.0041,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.40,0.83,0.0,1.0
BANK OF AMERICA NA,5,0,5,0.0098,0.0,0.019,0,0,0,0.0,0.0,0.0,0.40,0.0,0.40,0.40,0.0,0.40,0.80,0.0,0.80
JEFFERSON CAPITAL SYSTEMS LLC,5,4,1,0.0098,0.016,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,1.0,0.60,0.50,1.0
PHOENIX UROLOGY OF ST JOSEPH. INC,4,2,2,0.0079,0.0081,0.0076,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.50
CLEAR RECOVERY INC,3,2,1,0.0059,0.0081,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0,0.67,0.50,1.0
EVERGY,3,1,2,0.0059,0.0041,0.0076,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0
CAPITAL ONE BANK USA NA,3,3,0,0.0059,0.012,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.67,0.67,0.0
CAPITAL ONE BANK (USA) NA,3,3,0,0.0059,0.012,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,1.0,1.0,0.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,3,0,0.0059,0.012,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.67,0.67,0.0
JP MORGAN CHASE BANK NA,3,3,0,0.0059,0.012,0.0,0,0,0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0
MIDLAND CREDIT MANAGEMENT,3,3,0,0.0059,0.012,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0
ORTHOPAEDIC & SPORTS MEDICINE CONSULTANTS,2,0,2,0.0039,0.0,0.0076,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
GENESIS HEALTH CLUBS INC,2,0,2,0.0039,0.0,0.0076,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,2,2,0,0.0039,0.0081,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
MIDLAND CREDIT MANAGEMENT INC-IA,2,1,1,0.0039,0.0041,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
MERCURY SURGERY CENTER LLC,2,2,0,0.0039,0.0081,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
CROWN ASSET MANAGEMENT LLC,2,2,0,0.0039,0.0081,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
CAPITAL ONE BANK NA,2,1,1,0.0039,0.0041,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDWESTERN HEALTH MANAGEMENT INC PETITIONER,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CVI SGP-CO ACQUISITION TRUST,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CARDINAL LOANS LLC,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NOVUS SERVICES INC,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MERCURY SURGERY CENTER LLC PETITIONER,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
OSBORN WAYNE V,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDLAND CREDIT MGT,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
RAY COUNTY MEMORIAL HOSPITAL,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ONEMAIN FINANCIAL GROUP LLC,1,1,0,0.0020,0.0041,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
EASY CASH ASAP LLC,1,1,0,0.0020,0.0041,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
UHG I LLC,1,1,0,0.0020,0.0041,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
VELOCITY INVESTMENTS,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLAGE OF COSBY,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVI SPG ACQUISITION TRUST,1,0,1,0.0020,0.0,0.0038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JH MET SUBSIDIARY B,1,1,0,0.0020,0.0041,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIGHT SIDE LOANS LLC,1,1,0,0.0020,0.0041,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
