collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,56,12,44,0.17,0.23,0.15,0,0,0,0.0,0.0,0.0,0.036,0.083,0.023,0.36,0.25,0.39,0.93,0.75,0.98
PORTFOLIO RECOVERY ASSOCIATES LLC,48,0,48,0.14,0.0,0.17,0,0,0,0.0,0.0,0.0,0.063,0.0,0.063,0.35,0.0,0.35,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENT INC - 974 73RD ST W DES MOINES IA,19,2,17,0.056,0.038,0.059,0,0,0,0.0,0.0,0.0,0.053,0.0,0.059,0.47,0.50,0.47,0.95,1.0,0.94
MIDLAND CREDIT MANAGEMENT INC,18,5,13,0.053,0.094,0.045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.20,0.46,0.94,1.0,0.92
CAVALRY SPV I LLC,14,4,10,0.041,0.075,0.035,0,0,0,0.0,0.0,0.0,0.071,0.0,0.10,0.50,0.25,0.60,0.93,0.75,1.0
FREEMAN HEALTH SYSTEM,11,0,11,0.032,0.0,0.038,0,0,0,0.0,0.0,0.0,0.091,0.0,0.091,0.091,0.0,0.091,0.82,0.0,0.82
NORTHWEST ARKANSAS HOSPITAL LLC FABER & BRAND,10,4,6,0.029,0.075,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10,0.0,0.17,1.0,1.0,1.0
CITIBANK NA,10,2,8,0.029,0.038,0.028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.25,0.90,1.0,0.88
CAPITAL ONE BANK (USA) NA,9,2,7,0.027,0.038,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.0,0.43,1.0,1.0,1.0
BANK OF AMERICA NA,9,3,6,0.027,0.057,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.33,0.50,1.0,1.0,1.0
PORTFOLIO RECOVERY 707 N 2ND ST ST LOUIS MO,7,0,7,0.021,0.0,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,1.0,0.0,1.0
FREEMAN HEALTH SYSTEMS,7,0,7,0.021,0.0,0.024,0,0,0,0.0,0.0,0.0,0.14,0.0,0.14,0.43,0.0,0.43,1.0,0.0,1.0
METROPOLITAN ST LOUIS SEWER DISTRICT,6,1,5,0.018,0.019,0.017,0,0,0,0.0,0.0,0.0,0.17,0.0,0.20,0.33,0.0,0.40,1.0,1.0,1.0
WAKEFIELD & ASSOCIATES INC,6,1,5,0.018,0.019,0.017,0,0,0,0.0,0.0,0.0,0.17,0.0,0.20,0.33,1.0,0.20,0.83,1.0,0.80
SECOND ROUND SUB LLC - 707 N 2ND STE 308 ST LOUIS MO,6,0,6,0.018,0.0,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
MIDLAND FUNDING LLC,5,1,4,0.015,0.019,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,1.0,0.25,1.0,1.0,1.0
NORTHWEST ARKANSAS HOSPITALS LLC,5,0,5,0.015,0.0,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.20,1.0,0.0,1.0
FREEMAN NEOSHO HOSPITAL,5,0,5,0.015,0.0,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
DISCOVER BANK,5,3,2,0.015,0.057,0.0070,0,0,0,0.0,0.0,0.0,0.20,0.0,0.50,0.40,0.33,0.50,0.80,1.0,0.50
LESTER E COX MEDICAL CENTERS,4,0,4,0.012,0.0,0.014,0,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.50,0.0,0.50,0.75,0.0,0.75
JP MORGAN CHASE BANK NA,4,1,3,0.012,0.019,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.67,0.75,0.0,1.0
LVNV FUNDING - CHICAGO IL,4,2,2,0.012,0.038,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.50,1.0,1.0,1.0
NAH LLC D/B/A NMCB,4,0,4,0.012,0.0,0.014,0,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,1.0,0.0,1.0
MM FINANCE LLC,3,1,2,0.0088,0.019,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.50,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,3,3,0,0.0088,0.057,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,1.0,1.0,0.0
MSD,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
VINTAGE LANDING CONDOMINIUM POA INC,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BARCLAYS BANK DELAWARE,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
NW AR HOSPITALS LLC D/B/A NW MEDICAL CENTER - BENTONVILLE,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
SERVICE 1 FEDERAL CREDIT UNION,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50
ABSOLUTE RESOLUTIONS CORPORATION,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CVI SGP ACQUISITION TRUST,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
NAH LLC D/B/A NORTHWEST MEDICAL CENTER,2,0,2,0.0059,0.0,0.0070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,2,1,1,0.0059,0.019,0.0035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
WHITE BRIEGEL & HIATT LLC,1,0,1,0.0029,0.0,0.0035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NCB MANAGEMENT SERVICES INC,1,0,1,0.0029,0.0,0.0035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CONSUMER COLLECTION MANAGEMENT AS ASSIGNEE OF LH HEALTH CARE,1,0,1,0.0029,0.0,0.0035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CONSUMER COLLECTION MANAGEMENT INC,1,0,1,0.0029,0.0,0.0035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
