collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
SOUTHEAST MISSOURI HOSPITAL ASSOCIATION,30,5,25,0.26,0.25,0.26,0,0,0,0.0,0.0,0.0,0.10,0.0,0.12,0.27,0.20,0.28,0.97,0.80,1.0
LVNV FUNDING LLC,16,1,15,0.14,0.050,0.16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.40,1.0,1.0,1.0
PERRY COUNTY MEMORIAL HOSPITAL,9,0,9,0.078,0.0,0.094,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,8,0,8,0.069,0.0,0.083,0,0,0,0.0,0.0,0.0,0.13,0.0,0.13,0.38,0.0,0.38,1.0,0.0,1.0
MADISON MEDICAL CENTER,7,1,6,0.060,0.050,0.063,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.67,0.86,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,6,0,6,0.052,0.0,0.063,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENT INC,5,3,2,0.043,0.15,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,0.67,1.0,1.0,1.0,1.0
CBS LLC A/A/O CAPE RADIOLOGY GROUP,4,0,4,0.034,0.0,0.042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
CREDIT BUREAU OF COLUMBIA,3,1,2,0.026,0.050,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50,0.67,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC DBA POPLAR BLUFF RE,3,2,1,0.026,0.10,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0
CREDIT BUREAU SERVICES LLC,3,0,3,0.026,0.0,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
CAVALRY SPV I LLC,2,1,1,0.017,0.050,0.010,0,0,0,0.0,0.0,0.0,0.50,1.0,0.0,0.50,0.0,1.0,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT,2,1,1,0.017,0.050,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,1.0,1.0,1.0
NCB MANAGEMENT SERVICES INC,2,0,2,0.017,0.0,0.021,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CREDIT BUREAU SERVICES INC,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
POPLAR BLUFF REGIONAL MEDICAL CENTER,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTMENTS LLC,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PERRY COUNTY HEALTH SYSTEM D/B/A PERRY COUNTY MEMORIAL HOSP,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDLAND FUNDING LLC,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT BUREAU SERVICES LLC AAO JDH DDS PC,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT BUREAU SERVICES LLC AS ASSIGNEE OF PERRYVILLE SURGICA,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CBS A/A/O CAPE RADIOL. GROUP & CAPE RADIOLOGY GROUP I LLC,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CBS INC AAOPCMH,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CITIBANK NA,1,1,0,0.0086,0.050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT BUREAU SERVICES LLC AS ASSIGNEE OF CAPE RADIOLOGY,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MESSMER JEFFREY S,1,0,1,0.0086,0.0,0.010,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT BUREAU,1,1,0,0.0086,0.050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
TD BANK USA NA (TARGET),1,1,0,0.0086,0.050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
SECOND ROUND SUB LLC,1,1,0,0.0086,0.050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WAKEFIELD & ASSOCIATES INC,1,1,0,0.0086,0.050,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
