collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDLAND CREDIT MANAGEMENT INC,55,8,47,16.3%,15.1%,16.5%,0,0,0,0.0%,0.0%,0.0%,10.9%,37.5%,6.4%,32.7%,0.0%,38.3%,94.5%,62.5%,100.0%
LVNV FUNDING LLC,54,10,44,16.0%,18.9%,15.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,29.6%,10.0%,34.1%,94.4%,80.0%,97.7%
PORTFOLIO RECOVERY ASSOCIATES LLC,26,3,23,7.7%,5.7%,8.1%,0,0,0,0.0%,0.0%,0.0%,3.8%,0.0%,4.3%,15.4%,0.0%,17.4%,100.0%,100.0%,100.0%
CONSUMER ADJUSTMENT CO INC,17,1,16,5.0%,1.9%,5.6%,0,0,0,0.0%,0.0%,0.0%,5.9%,0.0%,6.3%,29.4%,0.0%,31.3%,100.0%,100.0%,100.0%
CAVALRY SPV I LLC,17,1,16,5.0%,1.9%,5.6%,0,0,0,0.0%,0.0%,0.0%,5.9%,100.0%,0.0%,47.1%,0.0%,50.0%,94.1%,0.0%,100.0%
MIDLAND FUNDING LLC,13,2,11,3.9%,3.8%,3.9%,0,0,0,0.0%,0.0%,0.0%,7.7%,0.0%,9.1%,23.1%,0.0%,27.3%,100.0%,100.0%,100.0%
CITIBANK NA,13,1,12,3.9%,1.9%,4.2%,0,0,0,0.0%,0.0%,0.0%,46.2%,0.0%,50.0%,15.4%,100.0%,8.3%,76.9%,100.0%,75.0%
CAPITAL ONE BANK (USA) NA,11,0,11,3.3%,0.0%,3.9%,0,0,0,0.0%,0.0%,0.0%,9.1%,0.0%,9.1%,18.2%,0.0%,18.2%,81.8%,0.0%,81.8%
CONSUMER ADJUSTMENT COMPANY INC,11,6,5,3.3%,11.3%,1.8%,0,0,0,0.0%,0.0%,0.0%,9.1%,0.0%,20.0%,54.5%,33.3%,80.0%,100.0%,100.0%,100.0%
FOUR SEASONS LAKESITES POA INC,10,4,6,3.0%,7.5%,2.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,25.0%,66.7%,100.0%,100.0%,100.0%
BANK OF AMERICA,8,0,8,2.4%,0.0%,2.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,25.0%,100.0%,0.0%,100.0%
CAPITAL REGION MEDICAL CENTER,7,0,7,2.1%,0.0%,2.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.6%,0.0%,28.6%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,6,1,5,1.8%,1.9%,1.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,60.0%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY,6,0,6,1.8%,0.0%,2.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOC.,5,0,5,1.5%,0.0%,1.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,40.0%,100.0%,0.0%,100.0%
JP MORGAN CHASE BANK NA,5,0,5,1.5%,0.0%,1.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,40.0%,100.0%,0.0%,100.0%
VELOCITY INVESTMENTS LLC,4,0,4,1.2%,0.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,4,1,3,1.2%,1.9%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,100.0%,100.0%,100.0%,100.0%
TALLMAN COMPANY OF SEDALIA,3,0,3,0.9%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
WAKEFIELD & ASSOCIATES INC,3,0,3,0.9%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
FOUR SEASONS LAKESITES POA,3,0,3,0.9%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
BANK OF AMERICA NA,3,1,2,0.9%,1.9%,0.7%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%,33.3%,0.0%,50.0%,100.0%,100.0%,100.0%
JH MET SUBSIDIARY B LIQUIDATING TRUST,3,2,1,0.9%,3.8%,0.4%,0,0,0,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
TD BANK USA NA,2,0,2,0.6%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
WORLD FINANCE CORP,2,0,2,0.6%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
MM FINANCE LLC,2,2,0,0.6%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,100.0%,100.0%,0.0%
CAMDEN COUNTY PUBLIC WATER DISTRICT #1 PETITIONER,2,2,0,0.6%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,100.0%,100.0%,0.0%
CASH LINK USA LLC DBA CASH LINK USA,2,0,2,0.6%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
JPMORGAN CHASE BANK NA,2,2,0,0.6%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FORD MOTOR CREDIT COMPANY LLC,1,0,1,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MARK KEENE,1,0,1,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT CORP SOLUTIONS INC,1,0,1,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
RICHARDS BUILDING SUPPLY,1,0,1,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
