collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
SOUTHEAST MISSOURI HOSPITAL ASSOCIATION,204,44,160,23.6%,27.5%,22.7%,0,0,0,0.0%,0.0%,0.0%,12.7%,9.1%,13.8%,44.6%,45.5%,44.4%,95.1%,81.8%,98.8%
PORTFOLIO RECOVERY ASSOCIATES LLC,114,7,107,13.2%,4.4%,15.2%,0,0,0,0.0%,0.0%,0.0%,11.4%,14.3%,11.2%,30.7%,14.3%,31.8%,100.0%,100.0%,100.0%
LVNV FUNDING LLC,109,34,75,12.6%,21.3%,10.7%,0,0,0,0.0%,0.0%,0.0%,6.4%,8.8%,5.3%,32.1%,29.4%,33.3%,90.8%,73.5%,98.7%
MIDLAND CREDIT MANAGEMENT INC,67,14,53,7.8%,8.8%,7.5%,0,0,0,0.0%,0.0%,0.0%,11.9%,0.0%,15.1%,35.8%,50.0%,32.1%,92.5%,92.9%,92.5%
CREDIT BUREAU SERVICES LLC AS ASSIGNEE OF CAPE RADIOLOGY,56,7,49,6.5%,4.4%,7.0%,0,0,0,0.0%,0.0%,0.0%,3.6%,14.3%,2.0%,57.1%,42.9%,59.2%,98.2%,85.7%,100.0%
CAVALRY SPV I LLC,28,4,24,3.2%,2.5%,3.4%,0,0,0,0.0%,0.0%,0.0%,7.1%,25.0%,4.2%,42.9%,25.0%,45.8%,92.9%,50.0%,100.0%
MIDLAND CREDIT MANAGEMENT,25,4,21,2.9%,2.5%,3.0%,0,0,0,0.0%,0.0%,0.0%,12.0%,0.0%,14.3%,52.0%,75.0%,47.6%,100.0%,100.0%,100.0%
BANK OF AMERICA NA,19,2,17,2.2%,1.3%,2.4%,0,0,0,0.0%,0.0%,0.0%,31.6%,0.0%,35.3%,36.8%,100.0%,29.4%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,19,3,16,2.2%,1.9%,2.3%,0,0,0,0.0%,0.0%,0.0%,15.8%,0.0%,18.8%,47.4%,33.3%,50.0%,100.0%,100.0%,100.0%
CITIBANK NA,15,1,14,1.7%,0.6%,2.0%,0,0,0,0.0%,0.0%,0.0%,20.0%,0.0%,21.4%,20.0%,0.0%,21.4%,100.0%,100.0%,100.0%
CAPITAL ONE BANK (USA) NA,13,1,12,1.5%,0.6%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,15.4%,0.0%,16.7%,92.3%,0.0%,100.0%
TD BANK USA NA (TARGET),11,5,6,1.3%,3.1%,0.9%,0,0,0,0.0%,0.0%,0.0%,18.2%,0.0%,33.3%,36.4%,40.0%,33.3%,100.0%,100.0%,100.0%
CREDIT BUREAU SERVICES AS ASSIGNEE OF CAPE COUNTY AMBULANCE,10,1,9,1.2%,0.6%,1.3%,0,0,0,0.0%,0.0%,0.0%,10.0%,100.0%,0.0%,30.0%,0.0%,33.3%,90.0%,0.0%,100.0%
JP MORGAN CHASE BANK NA,10,0,10,1.2%,0.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,30.0%,0.0%,30.0%,40.0%,0.0%,40.0%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,10,2,8,1.2%,1.3%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%
PHELPS DANIEL,9,9,0,1.0%,5.6%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
POPLAR BLUFF REGIONAL MEDICAL CENTER LLC DBA POPLAR BLUFF RE,6,0,6,0.7%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,16.7%,0.0%,16.7%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
WASHINGTON UNIVERSITY PHYSICIAN NETWORK,6,0,6,0.7%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,16.7%,100.0%,0.0%,100.0%
SOUTHEAST HOSPITAL,6,0,6,0.7%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,16.7%,0.0%,16.7%,100.0%,0.0%,100.0%
MADISON MEDICAL CENTER,5,0,5,0.6%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CVI SGP-CO ACQUISITION TRUST,5,2,3,0.6%,1.3%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,33.3%,100.0%,100.0%,100.0%
NCB MANAGEMENT SERVICES INC,5,1,4,0.6%,0.6%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%,100.0%,100.0%,100.0%
PERRY COUNTY MEMORIAL HOSPITAL,4,0,4,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%,100.0%,0.0%,100.0%
CASH LINK USA LLC,4,1,3,0.5%,0.6%,0.4%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
JPMORGAN CHASE BANK NA,4,2,2,0.5%,1.3%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,50.0%,100.0%,100.0%,100.0%
CREDIT BUREAU SERVICES LLC,4,0,4,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
SAINT LOUIS UNIVERISTY D/B/A SLUCARE,3,0,3,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
BARCLAYS BANK DELAWARE,3,0,3,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,0,3,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
CROWN ASSET MANAGEMENT LLC,3,0,3,0.3%,0.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CVI SGP ACQUISITION TRUST,3,2,1,0.3%,1.3%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%,100.0%,100.0%,100.0%
ST LOUIS UNIVERSITY,2,0,2,0.2%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT BUREAU SERVICES LLC AAO CCPAS INC,2,0,2,0.2%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
POPLAR BLUFF REGIONAL MEDICAL CENTER INC,2,0,2,0.2%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
