collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,34,9,25,0.25,0.15,0.33,0,0,0,0.0,0.0,0.0,0.088,0.11,0.080,0.26,0.22,0.28,0.94,0.89,0.96
HARRISON COUNTY COMMUNITY HOSPITAL,18,8,10,0.13,0.13,0.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.25,0.50,0.67,0.25,1.0
LVNV FUNDING LLC,15,8,7,0.11,0.13,0.093,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.13,0.71,0.93,0.88,1.0
MIDLAND CREDIT MANAGEMENT INC,12,5,7,0.089,0.083,0.093,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.14,0.92,0.80,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,7,2,5,0.052,0.033,0.067,0,0,0,0.0,0.0,0.0,0.14,0.0,0.20,0.14,0.50,0.0,1.0,1.0,1.0
CAPITAL ONE BANK (USA) NA,6,2,4,0.044,0.033,0.053,0,0,0,0.0,0.0,0.0,0.33,0.0,0.50,0.33,0.50,0.25,1.0,1.0,1.0
CITIBANK NA,5,5,0,0.037,0.083,0.0,0,0,0,0.0,0.0,0.0,0.20,0.20,0.0,0.80,0.80,0.0,1.0,1.0,0.0
BANK OF AMERICA NA,3,0,3,0.022,0.0,0.040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,1.0
WAKEFIELD & ASSOCIATES INC,3,1,2,0.022,0.017,0.027,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CARROLL COUNTY MEMORIAL HOSPITAL,2,1,1,0.015,0.017,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
HCCH MED GROUP,2,2,0,0.015,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM FINANCE LLC,2,2,0,0.015,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
REV NOEL T ADAMS MEM AMBULANCE DIST,2,2,0,0.015,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
MIDLAND CREDIT MANAGEMANT INC,2,2,0,0.015,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,1.0,1.0,0.0
CAVALRY SPV I LLC,2,2,0,0.015,0.033,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0,0.50,0.50,0.0
PROFESSIONAL INSTALLERS INC,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDWESTERN HEALTH MANAGEMENT INC - NO ADD,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND FUNDING LLC - 50265,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
SALOME YS INC,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CACH LLC,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREEKWOOD ORTHODONTICS,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CITIBANK NA - MORGAN & ASSOC.,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CREDIT BUREAU OF COLUMBIA D/B/A AMS A/A/O GENERAL JOHN J PER PETITIONER,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
SECOND ROUND SU B LLC,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDLAND FUNDING LLC,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CBC INC D/B/A ACCOUNTS MANAGEMENT SERVICE,1,0,1,0.0074,0.0,0.013,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDWESTERN HEALTH MANAGEMENT INC PETITIONER,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
MIDLAND CREDIT MANAGEMENT INC - 64141,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NAVIENT CREDIT FINANCE CORP,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
EXCEL ANESTHESIA LLC,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
BTC BANK,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CREDIT BUREAU OF COLUMBIA INC,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
JEFFERSON CAPITAL SYSTEMS LLC,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COS MEDIC DENTISTRY,1,1,0,0.0074,0.017,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
