collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,23,16,7,0.22,0.32,0.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.29,0.74,0.63,1.0
MIDWESTERN HEALTH MANAGEMENT INC,18,6,12,0.17,0.12,0.22,0,0,0,0.0,0.0,0.0,0.056,0.0,0.083,0.33,0.33,0.33,0.83,0.50,1.0
CAPITAL ONE BANK (USA) NA,7,4,3,0.067,0.080,0.055,0,0,0,0.0,0.0,0.0,0.14,0.25,0.0,0.14,0.0,0.33,0.57,0.50,0.67
PORTFOLIO RECOVERY ASSOCIATES LLC,7,4,3,0.067,0.080,0.055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.25,0.33,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,7,3,4,0.067,0.060,0.073,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.25,0.71,0.33,1.0
WAKEFIELD & ASSOCIATES INC,4,2,2,0.038,0.040,0.036,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.50,0.0,0.75,0.50,1.0
HARRISON COUNTY COMMUNITY HOSPITAL,4,1,3,0.038,0.020,0.055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.33,1.0,1.0,1.0
CARROLL COUNTY MEMORIAL HOSPITAL,3,0,3,0.029,0.0,0.055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,3,2,1,0.029,0.040,0.018,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0,0.33,0.50,0.0
MIDLAND FUNDING LLC,3,2,1,0.029,0.040,0.018,0,0,0,0.0,0.0,0.0,0.33,0.50,0.0,0.33,0.0,1.0,0.67,0.50,1.0
UNIVERSITY OF KANSAS HEALTH SYSTEM,2,0,2,0.019,0.0,0.036,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC,2,0,2,0.019,0.0,0.036,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
