collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
HARRISON COUNTY COMMUNITY HOSPITAL,92,34,58,0.40,0.31,0.49,0,0,0,0.0,0.0,0.0,0.022,0.029,0.017,0.35,0.24,0.41,0.71,0.32,0.93
MIDWESTERN HEALTH MANAGEMENT INC,36,17,19,0.16,0.15,0.16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.47,0.63,0.81,0.59,1.0
LVNV FUNDING LLC,18,10,8,0.079,0.091,0.067,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.25,0.50,0.10,1.0
HCCH MED GROUP,16,14,2,0.070,0.13,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.57,1.0,0.63,0.57,1.0
REV NOEL T ADAMS MEM AMBULANCE DIST,11,5,6,0.048,0.045,0.050,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.40,0.67,0.82,0.60,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,8,4,4,0.035,0.036,0.034,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.25,0.0,0.88,0.75,1.0
MIDLAND CREDIT MANAGEMENT INC,7,2,5,0.031,0.018,0.042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.50,0.60,0.86,0.50,1.0
MIDWESTERN HEALTH MANAGEMENT INC D/B/A NORTHWEST FIN. SVC.,5,3,2,0.022,0.027,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.33,0.50,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,4,4,0,0.017,0.036,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.50,0.50,0.0
CAPITAL ONE BANK (USA) NA,3,2,1,0.013,0.018,0.0084,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.50,0.0,1.0,1.0,1.0
