collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MOBERLY HOSPITAL COMPANY LLC D/B/A MOBERLY REGIONAL MED,19,2,17,21.6%,15.4%,22.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,31.6%,0.0%,35.3%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,11,1,10,12.5%,7.7%,13.3%,0,0,0,0.0%,0.0%,0.0%,18.2%,0.0%,20.0%,27.3%,0.0%,30.0%,100.0%,100.0%,100.0%
LVNV FUNDING LLC,11,1,10,12.5%,7.7%,13.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,45.5%,100.0%,40.0%,100.0%,100.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,8,3,5,9.1%,23.1%,6.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,40.0%,75.0%,33.3%,100.0%
HOWARD COUNTY AMBULANCE DISTRICT,5,1,4,5.7%,7.7%,5.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,100.0%,50.0%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,4,1,3,4.5%,7.7%,4.0%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
BANK OF AMERICA,3,0,3,3.4%,0.0%,4.0%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
HOME OIL COMPANY,2,0,2,2.3%,0.0%,2.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
CREDIT BUREAU OF COLUMBIA INC,2,0,2,2.3%,0.0%,2.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
CHARITON CO AMBULANCE DISTRICT,2,1,1,2.3%,7.7%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,100.0%,100.0%
HANNIBAL REGIONAL HOSPITAL,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
TD BANK USA NA,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
JOHN FITZGIBBON MEMORIAL HOSPITAL INC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CITIBANK N A,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CASH LINK USA LLC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
WAKEFIELD & ASSOCIATES INC PETITIONER,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC A CORPORATION,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CITIBANK,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
JP MORGAN CHASE BANK NA,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
FLASPOHLER FRANK ROBERT,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
WAKEFIELD & ASSOCIATES INC,1,0,1,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
