collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,2759,1875,884,0.22,0.26,0.16,0,0,0,0.0,0.0,0.0,0.026,0.028,0.023,0.32,0.31,0.36,0.75,0.66,0.95
MIDLAND CREDIT MANAGEMENT INC,1665,775,890,0.13,0.11,0.16,0,0,0,0.0,0.0,0.0,0.037,0.043,0.031,0.35,0.29,0.40,0.80,0.65,0.92
PORTFOLIO RECOVERY ASSOCIATES LLC,1142,401,741,0.089,0.056,0.13,0,0,0,0.0,0.0,0.0,0.021,0.025,0.019,0.24,0.21,0.25,0.95,0.89,0.99
CAVALRY SPV I LLC,577,298,279,0.045,0.041,0.050,0,0,0,0.0,0.0,0.0,0.035,0.034,0.036,0.27,0.28,0.26,0.83,0.71,0.95
BANK OF AMERICA NA,440,211,229,0.034,0.029,0.041,0,0,0,0.0,0.0,0.0,0.066,0.076,0.057,0.25,0.24,0.27,0.83,0.73,0.93
CAPITAL ONE BANK USA NA,414,414,0,0.032,0.057,0.0,0,0,0,0.0,0.0,0.0,0.036,0.036,0.0,0.26,0.26,0.0,0.83,0.83,0.0
CITIBANK NA,377,214,163,0.029,0.030,0.029,0,0,0,0.0,0.0,0.0,0.11,0.11,0.098,0.23,0.20,0.26,0.82,0.76,0.91
MIDLAND FUNDING LLC,342,68,274,0.027,0.0094,0.049,0,0,0,0.0,0.0,0.0,0.023,0.015,0.026,0.35,0.22,0.38,0.86,0.62,0.92
CLEAR RECOVERY INC,331,177,154,0.026,0.025,0.027,0,0,0,0.0,0.0,0.0,0.036,0.028,0.045,0.48,0.54,0.42,0.89,0.84,0.95
JEFFERSON CAPITAL SYSTEMS LLC,314,253,61,0.024,0.035,0.011,0,0,0,0.0,0.0,0.0,0.032,0.040,0.0,0.31,0.30,0.33,0.66,0.64,0.74
CASH LINK USA LLC,289,176,113,0.023,0.024,0.020,0,0,0,0.0,0.0,0.0,0.042,0.051,0.027,0.50,0.50,0.50,0.77,0.66,0.95
DISCOVER BANK,249,211,38,0.019,0.029,0.0068,0,0,0,0.0,0.0,0.0,0.060,0.062,0.053,0.27,0.27,0.26,0.86,0.87,0.76
CITY OF KANSAS CITY MISSOURI,242,145,97,0.019,0.020,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.42,0.82,0.74,0.93
