collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC,35,12,23,40.7%,34.3%,45.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,41.7%,39.1%,97.1%,91.7%,100.0%
KIRKSVILLE MISSOURI HOSPITAL CO LLC,11,5,6,12.8%,14.3%,11.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,27.3%,0.0%,50.0%,81.8%,60.0%,100.0%
LVNV FUNDING LLC,9,4,5,10.5%,11.4%,9.8%,0,0,0,0.0%,0.0%,0.0%,11.1%,0.0%,20.0%,33.3%,25.0%,40.0%,66.7%,50.0%,80.0%
MIDLAND CREDIT MANAGEMENT INC,5,3,2,5.8%,8.6%,3.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,33.3%,50.0%,60.0%,33.3%,100.0%
PORTFOLIO RECOVERY ASSOCIATES,3,0,3,3.5%,0.0%,5.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CITIBANK NA,2,1,1,2.3%,2.9%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,100.0%,100.0%
WAKEFIELD & ASSOCIATES INC,2,0,2,2.3%,0.0%,3.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC,2,1,1,2.3%,2.9%,2.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,2,1,1,2.3%,2.9%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
CAPITAL ONE BANK (USA) NA,2,2,0,2.3%,5.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
PRAIRIELAND FS INC,1,0,1,1.2%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MOBERLY HOSPITAL COMPANY LLC,1,0,1,1.2%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CITIBANK N A,1,0,1,1.2%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
HANNIBAL CLINIC OPERATIONS LLC,1,0,1,1.2%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
HANNIBAL REGIONAL HOSPITAL,1,0,1,1.2%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
NATIONAL CREDIT ADJUSTERS LLC,1,1,0,1.2%,2.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
CROWN ASSET,1,1,0,1.2%,2.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
JEFFERSON CAPITAL SYSTEMS LLC,1,1,0,1.2%,2.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CAPITAL REGION MEDICAL CENTER,1,0,1,1.2%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
KMHC LLC D/B/A NRMC,1,0,1,1.2%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CREDIT BUREAU SERVICES OF IOWA INC AAO KAH,1,1,0,1.2%,2.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
KIRKSVILLE MISSOURI HOSPITAL COMPANY,1,1,0,1.2%,2.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CURL HARK & HOLLIDAY LLC,1,1,0,1.2%,2.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
