collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
HANNIBAL REGIONAL HOSPITAL,99,11,88,0.21,0.22,0.21,0,0,0,0.0,0.0,0.0,0.030,0.091,0.023,0.47,0.45,0.48,0.97,0.91,0.98
LVNV FUNDING LLC,64,10,54,0.14,0.20,0.13,0,0,0,0.0,0.0,0.0,0.016,0.0,0.019,0.41,0.60,0.37,0.95,1.0,0.94
HANNIBAL CLINIC OPERATIONS LLC,43,0,43,0.092,0.0,0.10,0,0,0,0.0,0.0,0.0,0.023,0.0,0.023,0.49,0.0,0.49,0.98,0.0,0.98
MIDLAND CREDIT MANAGEMENT INC,33,5,28,0.071,0.10,0.067,0,0,0,0.0,0.0,0.0,0.061,0.0,0.071,0.64,0.60,0.64,0.97,0.80,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,26,1,25,0.056,0.020,0.060,0,0,0,0.0,0.0,0.0,0.038,0.0,0.040,0.42,0.0,0.44,0.92,1.0,0.92
NORTHEAST MO AMBULATORY SURGERY CENTER LLC,18,0,18,0.039,0.0,0.043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.56,0.94,0.0,0.94
MIDLAND FUNDING LLC,16,2,14,0.034,0.041,0.034,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.50,1.0,1.0,1.0
NORTHEAST MISSOURI AMBULATORY SURGERY CENTER LLC,15,4,11,0.032,0.082,0.026,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.75,0.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,14,1,13,0.030,0.020,0.031,0,0,0,0.0,0.0,0.0,0.071,0.0,0.077,0.36,0.0,0.38,0.93,1.0,0.92
THE HANNIBAL CLINIC INC,13,0,13,0.028,0.0,0.031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.69,1.0,0.0,1.0
CURL HARK & HOLLIDAY LLC,11,2,9,0.024,0.041,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.50,0.22,1.0,1.0,1.0
WASINGER PARHAM LC,9,0,9,0.019,0.0,0.022,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.56,0.89,0.0,0.89
PORTFOLIO RECOVERY ASSOCIATES INC,9,1,8,0.019,0.020,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.38,1.0,1.0,1.0
CITIBANK NA,8,0,8,0.017,0.0,0.019,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.63,1.0,0.0,1.0
CAVALRY SPV I LLC,8,2,6,0.017,0.041,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.0,0.83,1.0,1.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,7,0,7,0.015,0.0,0.017,0,0,0,0.0,0.0,0.0,0.14,0.0,0.14,0.29,0.0,0.29,1.0,0.0,1.0
BANK OF AMERICA N A,7,2,5,0.015,0.041,0.012,0,0,0,0.0,0.0,0.0,0.14,0.0,0.20,0.43,0.50,0.40,1.0,1.0,1.0
FARMERS COOPERATIVE SERVICES INC,6,0,6,0.013,0.0,0.014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,1.0,0.0,1.0
