collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
FREEMAN NEOSHO HOSPITAL,176,23,153,29.4%,25.0%,30.2%,0,0,0,0.0%,0.0%,0.0%,2.8%,0.0%,3.3%,32.4%,34.8%,32.0%,95.5%,82.6%,97.4%
FREEMAN HEALTH SYSTEM,133,18,115,22.2%,19.6%,22.7%,0,0,0,0.0%,0.0%,0.0%,2.3%,0.0%,2.6%,32.3%,27.8%,33.0%,92.5%,72.2%,95.7%
LVNV FUNDING LLC,51,11,40,8.5%,12.0%,7.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,41.2%,54.5%,37.5%,100.0%,100.0%,100.0%
NORTHWEST ARKANSAS HOSPITALS LLC D/B/A NORTHWEST MEDICAL CE,45,8,37,7.5%,8.7%,7.3%,0,0,0,0.0%,0.0%,0.0%,4.4%,12.5%,2.7%,17.8%,0.0%,21.6%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,37,5,32,6.2%,5.4%,6.3%,0,0,0,0.0%,0.0%,0.0%,2.7%,0.0%,3.1%,24.3%,20.0%,25.0%,100.0%,100.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,36,9,27,6.0%,9.8%,5.3%,0,0,0,0.0%,0.0%,0.0%,8.3%,0.0%,11.1%,41.7%,55.6%,37.0%,94.4%,100.0%,92.6%
MIDLAND FUNDING LLC,22,1,21,3.7%,1.1%,4.2%,0,0,0,0.0%,0.0%,0.0%,4.5%,0.0%,4.8%,45.5%,100.0%,42.9%,95.5%,100.0%,95.2%
CAVALRY SPV I LLC,16,2,14,2.7%,2.2%,2.8%,0,0,0,0.0%,0.0%,0.0%,18.8%,0.0%,21.4%,25.0%,0.0%,28.6%,93.8%,100.0%,92.9%
BANK OF AMERICA NA,7,0,7,1.2%,0.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,14.3%,0.0%,14.3%,100.0%,0.0%,100.0%
FREEMAN HEALTH SYSTEM NEOSHO,6,0,6,1.0%,0.0%,1.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
