collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MOBERLY HOSPITAL CO LLC DBA MOBERLY REGIONAL MEDICAL,37,8,29,0.19,0.12,0.23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.25,0.17,0.95,0.75,1.0
LVNV FUNDING LLC,18,6,12,0.094,0.088,0.097,0,0,0,0.0,0.0,0.0,0.11,0.17,0.083,0.39,0.50,0.33,1.0,1.0,1.0
HANNIBAL REGIONAL HOSPITAL,15,7,8,0.078,0.10,0.065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.71,0.38,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,12,3,9,0.063,0.044,0.073,0,0,0,0.0,0.0,0.0,0.083,0.0,0.11,0.50,0.33,0.56,1.0,1.0,1.0
MIDLAND CREDIT MANAGEMENT INC,10,2,8,0.052,0.029,0.065,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.0,0.63,1.0,1.0,1.0
NORTHEAST MISSOURI AMBULATORY SURGERY CENTER LLC,8,4,4,0.042,0.059,0.032,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MOBERLY HOSPITAL COMPANY LLC,8,1,7,0.042,0.015,0.056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.14,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,7,4,3,0.036,0.059,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.50,0.67,0.71,0.50,1.0
MHC LLC D/B/A MRMC,7,0,7,0.036,0.0,0.056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,1.0,0.0,1.0
CITIBANK NA,6,2,4,0.031,0.029,0.032,0,0,0,0.0,0.0,0.0,0.50,1.0,0.25,0.0,0.0,0.0,0.67,0.0,1.0
HANNIBAL CLINIC OPERATIONS LLC,5,5,0,0.026,0.074,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.60,0.0,1.0,1.0,0.0
NORTHEAST MO AMBULATORY SURGERY CENTER LLC,4,1,3,0.021,0.015,0.024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0
MIDLAND CREDIT MANAGMENT INC,4,0,4,0.021,0.0,0.032,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CAVALRY SPV I LLC,3,2,1,0.016,0.029,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0,1.0,1.0,1.0
CREDIT CORP SOLUTIONS INC,3,2,1,0.016,0.029,0.0081,0,0,0,0.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,0.0,0.67,0.50,1.0
JP MORGAN CHASE BANK NA,3,3,0,0.016,0.044,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0
CAPITAL ONE BANK,3,3,0,0.016,0.044,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,1.0,1.0,0.0
WASHINGTON UNIVERSITY PHYSICIAN NETWORK,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
THE HANNIBAL CLINIC INC,2,1,1,0.010,0.015,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,0.50,0.0,1.0
MIDLAND FUNDING LLC,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CURL HARK & HOLLIDAY LLC,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PORTFOLIO RECOVERY ASSOCIATES INC,2,0,2,0.010,0.0,0.016,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
CVI SGP-CO ACQUISITION TRUST,2,1,1,0.010,0.015,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,1.0,1.0,1.0
BANK OF AMERICA N A,2,1,1,0.010,0.015,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
MOBERLY HOSPITAL COMPANY,2,2,0,0.010,0.029,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
TD BANK USA NA,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
WAKEFIELD &ASSOCIATE INC,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MOBERLY HOSPITAL CO DBA MOBERLY REGIONAL MEDICAL CENTER,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MOBERLY HOSPITAL COMPANY LLC D/B/A MOBERLY REGIONAL MEDICAL,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
NORTHWEST ARKANSAS HOSPITAL LLC,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
LVNV FUNDING ASSIGNEE OF BANK OF AMERICA,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
AFFINITY HOSPITAL LLC,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ROBEY BUILDING SUPPLY LLC,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MOBERLY HOSPITAL COMPANY LLC D/B/A MOBERLY REGIONAL MED,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BANK OF AMERICA NA,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
HODGES GREG,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CONSUMER ADJUSTMENT COMPANY INC,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA,1,0,1,0.0052,0.0,0.0081,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
JPMORGAN CHASE BANK NA,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
UHG I LLC,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRAIRIELAND FS INC,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
HANNIBAL ANESTHESIA ASSOCIATES LLC,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
MFA OIL COMPANY,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
WAKEFIELD & ASSOCIATES INC,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CROWN ASSET MANAGEMENT LLC,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CASH LINK USA LLC,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPITAL ONE BANK (USA) NA,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
PCA ACQUISITIONS V LLC,1,1,0,0.0052,0.015,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
