collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,51,29,22,0.24,0.29,0.19,0,0,0,0.0,0.0,0.0,0.039,0.069,0.0,0.33,0.28,0.41,0.92,0.86,1.0
MIDLAND CREDIT MANAGEMENT INC,26,9,17,0.12,0.090,0.15,0,0,0,0.0,0.0,0.0,0.077,0.11,0.059,0.38,0.33,0.41,1.0,1.0,1.0
CAPITAL REGION MEDICAL CENTER,19,4,15,0.088,0.040,0.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.50,0.47,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,15,3,12,0.070,0.030,0.10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.33,0.42,1.0,1.0,1.0
CAVALRY SPV I LLC,12,3,9,0.056,0.030,0.078,0,0,0,0.0,0.0,0.0,0.17,0.0,0.22,0.17,0.33,0.11,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCAITES LLC,10,4,6,0.047,0.040,0.052,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.25,0.33,1.0,1.0,1.0
CITIBANK NA,9,4,5,0.042,0.040,0.043,0,0,0,0.0,0.0,0.0,0.33,0.25,0.40,0.0,0.0,0.0,1.0,1.0,1.0
JEFFERSON CAPITAL SYSTEMS LLC,8,5,3,0.037,0.050,0.026,0,0,0,0.0,0.0,0.0,0.25,0.20,0.33,0.50,0.60,0.33,1.0,1.0,1.0
CONSUMER ADJUSTMENT CO INC,6,4,2,0.028,0.040,0.017,0,0,0,0.0,0.0,0.0,0.17,0.25,0.0,0.17,0.25,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,5,4,1,0.023,0.040,0.0087,0,0,0,0.0,0.0,0.0,0.40,0.50,0.0,0.0,0.0,0.0,0.80,0.75,1.0
CAPITAL ONE BANK (USA) NA - ST LOUIS,4,1,3,0.019,0.010,0.026,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
TD BANK USA NA,3,2,1,0.014,0.020,0.0087,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.50,1.0
FOUR SEASONS LAKESITES POA INC,3,3,0,0.014,0.030,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,1.0,1.0,0.0
MOBERLY HOSPITAL COMPANY LLC,2,0,2,0.0093,0.0,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,2,1,1,0.0093,0.010,0.0087,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0,0.50,0.0,1.0
NAPLES HMA LLC D/B/A PRMC-C,2,1,1,0.0093,0.010,0.0087,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
WORLD ACCEPTANCE CORP OF MO,2,0,2,0.0093,0.0,0.017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
CAPITAL ONE BANK (USA) NA,2,2,0,0.0093,0.020,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
JP MORGAN CHASE BANK NA,2,2,0,0.0093,0.020,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.0
BOTHWELL REGIONAL HEALTH CENTER,2,2,0,0.0093,0.020,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
TALLMAN COMPANY OF SEDALIA,1,0,1,0.0047,0.0,0.0087,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LAUBERT'S AUTO SALES LLC,1,0,1,0.0047,0.0,0.0087,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CITIZENS BANK OF ELDON,1,0,1,0.0047,0.0,0.0087,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
