collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,135,66,69,47.0%,50.8%,43.9%,0,0,0,0.0%,0.0%,0.0%,2.2%,1.5%,2.9%,30.4%,27.3%,33.3%,85.9%,71.2%,100.0%
LVNV FUNDING LLC,31,14,17,10.8%,10.8%,10.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.7%,35.7%,41.2%,74.2%,42.9%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,16,2,14,5.6%,1.5%,8.9%,0,0,0,0.0%,0.0%,0.0%,6.3%,0.0%,7.1%,25.0%,100.0%,14.3%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,14,0,14,4.9%,0.0%,8.9%,0,0,0,0.0%,0.0%,0.0%,7.1%,0.0%,7.1%,21.4%,0.0%,21.4%,100.0%,0.0%,100.0%
MIDLAND CREDIT MANAG,11,11,0,3.8%,8.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.2%,18.2%,0.0%,45.5%,45.5%,0.0%
MIDWESTERN HEALTH MANAGEMENT INC - C/O DAVID SCHMITT,9,9,0,3.1%,6.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%
CAPITAL ONE BANK (USA) NA,7,5,2,2.4%,3.8%,1.3%,0,0,0,0.0%,0.0%,0.0%,14.3%,20.0%,0.0%,0.0%,0.0%,0.0%,71.4%,60.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC-IA,7,1,6,2.4%,0.8%,3.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,0.0%,66.7%,100.0%,100.0%,100.0%
MM FINANCE LLC,6,2,4,2.1%,1.5%,2.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,25.0%,100.0%,100.0%,100.0%
OZARK ADVANCES - MARYVILLE,4,0,4,1.4%,0.0%,2.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC,4,2,2,1.4%,1.5%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,50.0%,100.0%,100.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,3,1,2,1.0%,0.8%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%,100.0%,100.0%,100.0%
CLEAR RECOVERY INC,3,2,1,1.0%,1.5%,0.6%,0,0,0,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%,33.3%,0.0%,100.0%,66.7%,50.0%,100.0%
CITIBANK NA,3,2,1,1.0%,1.5%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
MERCURY SURGERY CENTER LLC,2,1,1,0.7%,0.8%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
OZARK ADVANCES LLC (D/B/A MARYVILLE QUICK CASH),2,0,2,0.7%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC - ST LOUIS,2,1,1,0.7%,0.8%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
LAWRENCE MEMORIAL HOSPITAL,2,0,2,0.7%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
CVI SGP ACQUISITION TRUST,2,1,1,0.7%,0.8%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,50.0%,0.0%,100.0%
VELOCITY INVESTMENTS LLC,2,1,1,0.7%,0.8%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
JEFFERSON CAPITAL SYSTEMS - CHICAGO IL,2,2,0,0.7%,1.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%
