collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,26,9,17,14.4%,27.3%,11.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.5%,44.4%,35.3%,100.0%,100.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,25,2,23,13.8%,6.1%,15.5%,0,0,0,0.0%,0.0%,0.0%,4.0%,0.0%,4.3%,44.0%,100.0%,39.1%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,18,4,14,9.9%,12.1%,9.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,25.0%,35.7%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,11,0,11,6.1%,0.0%,7.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.4%,0.0%,36.4%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,10,1,9,5.5%,3.0%,6.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0%,0.0%,33.3%,100.0%,100.0%,100.0%
LVNV FUNDING,9,3,6,5.0%,9.1%,4.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,66.7%,16.7%,100.0%,100.0%,100.0%
SOUTHEAST MISSOURI HOSPITAL ASSOCIATION,8,3,5,4.4%,9.1%,3.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,33.3%,80.0%,100.0%,100.0%,100.0%
KENNETT HMA LLC,7,0,7,3.9%,0.0%,4.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC,6,1,5,3.3%,3.0%,3.4%,0,0,0,0.0%,0.0%,0.0%,33.3%,100.0%,20.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
CITIBANK NA,6,1,5,3.3%,3.0%,3.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,20.0%,100.0%,100.0%,100.0%
DYERSBURG HOSPITAL CORPORATION,5,0,5,2.8%,0.0%,3.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,40.0%,100.0%,0.0%,100.0%
POPLAR BLUFF REGIONAL MEDICAL C0ENTER,4,1,3,2.2%,3.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,33.3%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
CAPITAL ONE BANK,3,0,3,1.7%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,3,1,2,1.7%,3.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%,100.0%,100.0%,100.0%
CREDIT BUREAU OF COLUMBIA INC,3,0,3,1.7%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
BANK OF AMERICA,3,1,2,1.7%,3.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
POPLAR BLUFF REGIONAL MEDICAL CENTER,2,0,2,1.1%,0.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CREDIT BUREAU SERVICES LLC AAO CRGI LLC,2,0,2,1.1%,0.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MIDLAND CREDIT MANAGEMENT,2,0,2,1.1%,0.0%,1.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
SOUTHEAST HOSPITAL,1,0,1,0.6%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
WAKEFIELD & ASSOCIATES INC,1,0,1,0.6%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
