collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,68,37,31,0.21,0.26,0.18,0,0,0,0.0,0.0,0.0,0.029,0.027,0.032,0.44,0.49,0.39,0.93,0.86,1.0
MIDLAND CREDIT MANAGEMENT INC,55,22,33,0.17,0.15,0.19,0,0,0,0.0,0.0,0.0,0.036,0.0,0.061,0.44,0.50,0.39,0.96,0.95,0.97
SLATER AMBULANCE DISTRICT #1,18,9,9,0.056,0.062,0.051,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.33,0.89,0.78,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC / SAN DIEGO,14,3,11,0.043,0.021,0.062,0,0,0,0.0,0.0,0.0,0.14,0.33,0.091,0.36,0.33,0.36,1.0,1.0,1.0
CAPITAL ONE BANK (USA) NA,13,11,2,0.040,0.076,0.011,0,0,0,0.0,0.0,0.0,0.077,0.0,0.50,0.38,0.45,0.0,0.92,0.91,1.0
CITIBANK NA,12,9,3,0.037,0.062,0.017,0,0,0,0.0,0.0,0.0,0.083,0.11,0.0,0.42,0.56,0.0,1.0,1.0,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,11,2,9,0.034,0.014,0.051,0,0,0,0.0,0.0,0.0,0.091,0.0,0.11,0.18,0.50,0.11,1.0,1.0,1.0
CAPITAL ONE BANK USA NA,9,8,1,0.028,0.055,0.0056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.63,0.0,1.0,1.0,1.0
JOHN FITZGIBBON MEMORIAL HOSPITAL,8,0,8,0.025,0.0,0.045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,1.0
CARROLL COUNTY MEMORIAL HOSPITAL,7,1,6,0.022,0.0069,0.034,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.33,1.0,1.0,1.0
