collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,3608,2550,1058,0.20,0.23,0.16,0,0,0,0.0,0.0,0.0,0.064,0.061,0.070,0.33,0.33,0.34,0.78,0.70,0.99
METROPOLITAN ST LOUIS SEWER DISTRICT,2316,1679,637,0.13,0.15,0.095,0,0,0,0.0,0.0,0.0,0.0095,0.0089,0.011,0.34,0.35,0.29,0.87,0.82,0.99
MIDLAND CREDIT MANAGEMENT INC,1791,872,919,0.10,0.079,0.14,0,0,0,0.0,0.0,0.0,0.076,0.071,0.082,0.32,0.27,0.37,0.78,0.66,0.89
PORTFOLIO RECOVERY ASSOCIATES LLC,1629,670,959,0.092,0.061,0.14,0,0,0,0.0,0.0,0.0,0.070,0.055,0.080,0.21,0.17,0.24,0.92,0.83,0.99
CAVALRY SPV I LLC,702,396,306,0.040,0.036,0.046,0,0,0,0.0,0.0,0.0,0.11,0.11,0.11,0.26,0.21,0.32,0.80,0.67,0.96
CAPITAL ONE BANK (USA) NA,696,502,194,0.039,0.046,0.029,0,0,0,0.0,0.0,0.0,0.068,0.058,0.093,0.30,0.31,0.25,0.82,0.76,0.98
BANK OF AMERICA NA,502,290,212,0.028,0.026,0.032,0,0,0,0.0,0.0,0.0,0.12,0.072,0.18,0.24,0.21,0.29,0.76,0.65,0.92
CITIBANK NA,416,240,176,0.024,0.022,0.026,0,0,0,0.0,0.0,0.0,0.12,0.096,0.15,0.17,0.13,0.23,0.85,0.77,0.96
JEFFERSON CAPITAL SYSTEMS LLC,402,271,131,0.023,0.025,0.020,0,0,0,0.0,0.0,0.0,0.057,0.066,0.038,0.34,0.33,0.36,0.77,0.68,0.97
MIDLAND FUNDING LLC,363,102,261,0.021,0.0093,0.039,0,0,0,0.0,0.0,0.0,0.080,0.088,0.077,0.24,0.21,0.25,0.90,0.79,0.94
CASH LINK USA LLC,315,229,86,0.018,0.021,0.013,0,0,0,0.0,0.0,0.0,0.035,0.026,0.058,0.42,0.44,0.38,0.77,0.69,0.97
DISCOVER BANK,254,204,50,0.014,0.019,0.0075,0,0,0,0.0,0.0,0.0,0.11,0.11,0.14,0.37,0.33,0.54,0.81,0.80,0.84
TD BANK USA NA,217,183,34,0.012,0.017,0.0051,0,0,0,0.0,0.0,0.0,0.065,0.071,0.029,0.30,0.32,0.24,0.80,0.77,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,190,80,110,0.011,0.0073,0.016,0,0,0,0.0,0.0,0.0,0.13,0.10,0.15,0.28,0.19,0.35,0.87,0.72,0.98
MIDLAND CREDIT MANAG,180,180,0,0.010,0.016,0.0,0,0,0,0.0,0.0,0.0,0.061,0.061,0.0,0.26,0.26,0.0,0.67,0.67,0.0
JPMORGAN CHASE BANK NA,177,171,6,0.010,0.016,0.00090,0,0,0,0.0,0.0,0.0,0.11,0.11,0.17,0.27,0.26,0.67,0.65,0.65,0.67
EASY CASH ASAP LLC,161,161,0,0.0091,0.015,0.0,0,0,0,0.0,0.0,0.0,0.025,0.025,0.0,0.35,0.35,0.0,0.63,0.63,0.0
SAINT LOUIS UNIVERSITY,150,63,87,0.0085,0.0057,0.013,0,0,0,0.0,0.0,0.0,0.040,0.032,0.046,0.53,0.49,0.55,0.86,0.68,0.99
VELOCITY INVESTMENTS LLC,129,84,45,0.0073,0.0076,0.0067,0,0,0,0.0,0.0,0.0,0.20,0.21,0.18,0.17,0.17,0.18,0.80,0.69,1.0
ST LOUIS UNIVERSITY,116,10,106,0.0066,0.00091,0.016,0,0,0,0.0,0.0,0.0,0.0086,0.0,0.0094,0.35,0.50,0.34,0.97,0.70,1.0
JP MORGAN CHASE BANK NA,114,54,60,0.0064,0.0049,0.0090,0,0,0,0.0,0.0,0.0,0.16,0.19,0.13,0.25,0.28,0.23,0.81,0.63,0.97
CROWN ASSET MANAGEMENT LLC,99,78,21,0.0056,0.0071,0.0031,0,0,0,0.0,0.0,0.0,0.091,0.026,0.33,0.27,0.24,0.38,0.77,0.72,0.95
MM FINANCE LLC,96,58,38,0.0054,0.0053,0.0057,0,0,0,0.0,0.0,0.0,0.052,0.034,0.079,0.39,0.33,0.47,0.66,0.47,0.95
CREDIT CORP SOLUTIONS INC,94,61,33,0.0053,0.0056,0.0049,0,0,0,0.0,0.0,0.0,0.096,0.11,0.061,0.28,0.16,0.48,0.72,0.57,1.0
WASHINGTON UNIVERSITY PHYSICIANS,93,93,0,0.0053,0.0085,0.0,0,0,0,0.0,0.0,0.0,0.032,0.032,0.0,0.46,0.46,0.0,0.69,0.69,0.0
SIGNATURE MEDICAL GROUP INC,85,41,44,0.0048,0.0037,0.0066,0,0,0,0.0,0.0,0.0,0.024,0.0,0.045,0.24,0.24,0.23,0.89,0.80,0.98
AMERICAN MULTISPECIALTY GROUP INC,74,8,66,0.0042,0.00073,0.0099,0,0,0,0.0,0.0,0.0,0.014,0.0,0.015,0.35,0.25,0.36,0.92,0.63,0.95
HOUSING AUTHORITY OF STL COUNTY,74,74,0,0.0042,0.0067,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.85,0.85,0.0
ONEMAIN FINANCIAL GROUP LLC,71,22,49,0.0040,0.0020,0.0073,0,0,0,0.0,0.0,0.0,0.056,0.14,0.020,0.34,0.18,0.41,0.90,0.68,1.0
MIDLAND CREDIT MANAGEMENT INC A CORPORATION,62,59,3,0.0035,0.0054,0.00045,0,0,0,0.0,0.0,0.0,0.065,0.068,0.0,0.40,0.41,0.33,0.85,0.85,1.0
SAFE HAVEN SECURITY INC,62,62,0,0.0035,0.0056,0.0,0,0,0,0.0,0.0,0.0,0.016,0.016,0.0,0.42,0.42,0.0,0.71,0.71,0.0
ST. LUKE'S HOSPITAL,56,19,37,0.0032,0.0017,0.0055,0,0,0,0.0,0.0,0.0,0.054,0.0,0.081,0.38,0.32,0.41,0.98,1.0,0.97
WASHINGTON UNIVERSITY PHYSICIAN NETWORK,55,0,55,0.0031,0.0,0.0082,0,0,0,0.0,0.0,0.0,0.018,0.0,0.018,0.60,0.0,0.60,1.0,0.0,1.0
U.S. BANK NATIONAL ASSOCIATION,54,49,5,0.0031,0.0045,0.00075,0,0,0,0.0,0.0,0.0,0.056,0.061,0.0,0.26,0.27,0.20,0.87,0.88,0.80
UHG I LLC,48,39,9,0.0027,0.0036,0.0013,0,0,0,0.0,0.0,0.0,0.083,0.051,0.22,0.27,0.31,0.11,0.73,0.67,1.0
THE METROPOLITAN ST LOUIS SEWER DISTRICT,48,48,0,0.0027,0.0044,0.0,0,0,0,0.0,0.0,0.0,0.021,0.021,0.0,0.48,0.48,0.0,0.83,0.83,0.0
DEPARTMENT STORES NATIONAL BANK,47,27,20,0.0027,0.0025,0.0030,0,0,0,0.0,0.0,0.0,0.19,0.074,0.35,0.19,0.11,0.30,0.83,0.74,0.95
SLUCARE,47,47,0,0.0027,0.0043,0.0,0,0,0,0.0,0.0,0.0,0.043,0.043,0.0,0.38,0.38,0.0,0.81,0.81,0.0
BRIGHT SIDE LOANS LLC,47,47,0,0.0027,0.0043,0.0,0,0,0,0.0,0.0,0.0,0.043,0.043,0.0,0.51,0.51,0.0,0.83,0.83,0.0
