collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,50,20,30,0.20,0.43,0.15,0,0,0,0.0,0.0,0.0,0.020,0.050,0.0,0.28,0.10,0.40,0.82,0.60,0.97
PORTFOLIO RECOVERY ASSOCIATES LLC,29,5,24,0.12,0.11,0.12,0,0,0,0.0,0.0,0.0,0.17,0.60,0.083,0.17,0.0,0.21,0.97,0.80,1.0
MIDLAND CREDIT MANAGEMENT INC,25,9,16,0.10,0.19,0.079,0,0,0,0.0,0.0,0.0,0.080,0.11,0.063,0.20,0.0,0.31,0.84,0.78,0.88
JEFFERSON CAPITAL SYSTEMS LLC,18,2,16,0.072,0.043,0.079,0,0,0,0.0,0.0,0.0,0.056,0.0,0.063,0.33,0.50,0.31,0.94,1.0,0.94
MIDLAND CREDIT MANAGEMENT INC - 974 73RD ST W DES MOINES IA,18,0,18,0.072,0.0,0.089,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,1.0,0.0,1.0
MIDLAND FUNDING LLC,16,0,16,0.064,0.0,0.079,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,1.0,0.0,1.0
CAVALRY SPV I LLC,15,1,14,0.060,0.021,0.069,0,0,0,0.0,0.0,0.0,0.067,0.0,0.071,0.60,0.0,0.64,1.0,1.0,1.0
CITIBANK NA,11,2,9,0.044,0.043,0.044,0,0,0,0.0,0.0,0.0,0.18,0.0,0.22,0.18,0.0,0.22,1.0,1.0,1.0
WAKEFIELD & ASSOCIATES INC,5,0,5,0.020,0.0,0.025,0,0,0,0.0,0.0,0.0,0.20,0.0,0.20,0.0,0.0,0.0,1.0,0.0,1.0
FREEMAN HEALTH SYSTEM,5,0,5,0.020,0.0,0.025,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.40,0.80,0.0,0.80
NORTHWEST ARKANSAS HOSPITALS LLC,3,0,3,0.012,0.0,0.015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MM FINANCE LLC DBA EZ MONEY CHECK CASHING,3,2,1,0.012,0.043,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CREDIT CORP SOLUTIONS INC,3,1,2,0.012,0.021,0.0099,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
JP MORGAN CHASE BANK NA,3,1,2,0.012,0.021,0.0099,0,0,0,0.0,0.0,0.0,0.67,1.0,0.50,0.0,0.0,0.0,0.33,1.0,0.0
VELOCITY INVESTMENTS LLC,2,0,2,0.0080,0.0,0.0099,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.50,0.0,0.50,1.0,0.0,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,2,0,2,0.0080,0.0,0.0099,0,0,0,0.0,0.0,0.0,0.50,0.0,0.50,0.0,0.0,0.0,1.0,0.0,1.0
ONEMAIN FINANCIAL GROUP LLC,2,1,1,0.0080,0.021,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,1.0,0.0,1.0,1.0,1.0
BANK OF AMERICA NA,2,0,2,0.0080,0.0,0.0099,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PEDANO O'SHEA MCGAVIC & HOGENMILLER LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ROBERTS & ROBERTS LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
DOUGLAS HAUN & HEIDEMANN PC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
LESTER E COX MEDICAL CENTERS,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
LVNV FUNDING - CHICAGO IL,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CASH LINK USA - KCMO,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MSW CAPITAL LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NAUTILUS INSURANCE COMPANY,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SERVICE 1 FEDERAL CREDIT UNION,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CAVALRY SPV I LLC PETITIONER,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DNF ASSOCIATES LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LACOBA HOMES INC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDLAND FUNDING LLC - W DES MOINES IA,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAPITAL ONE BANK USA NA,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CONSUMER ADJUSTMENT COMPANY INC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
STONEBRIDGE PROPERTY OWNERS ASSOC INC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
STONEBRIDGE POA,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
LIFT TRUCK SALES & SERVICE INC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
NORTHWEST ARKANSAS HOSPITALS LLC DBA NORTHWEST MEDICAL CENTE,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
KIRKSVILLE MO HOSPITAL CO LLC DBA NORTHEAST REGIONAL MEDICAL,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CASH LINK USA LLC DBA CASH LINK USA,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
GREAT SOUTHERN BANK,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JH MET SUBSIDIARY B LIQUIDATING TRUST,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BRINTON ELECTRIC SECURITY SERVICES LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDWESTERN HEALTH MANAGEMENT INC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
BANK OF AMERICA,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JOPLIN METRO CREDIT UNION,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SPRINGFIELD GROCER COMPANY,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ONEMAIN FINANCIAL SERVICES INC,1,1,0,0.0040,0.021,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
NCSLT 2007-1,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
GENESIS HEALTH CLUBS LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VELOCITY INVESTEMENTS LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
STERLING COLLEGE,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROWN ASSET MANAGEMENT,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
PGW AUTO GLASS LLC,1,0,1,0.0040,0.0,0.0049,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
FREEMAN NEOSHO HOSPITAL,1,1,0,0.0040,0.021,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCOVER BANK,1,1,0,0.0040,0.021,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
