collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,91,49,42,0.20,0.23,0.18,0,0,0,0.0,0.0,0.0,0.022,0.0,0.048,0.35,0.37,0.33,0.86,0.78,0.95
MIDLAND CREDIT MANAGEMENT INC,83,37,46,0.19,0.18,0.19,0,0,0,0.0,0.0,0.0,0.096,0.14,0.065,0.40,0.35,0.43,0.89,0.81,0.96
PORTFOLIO RECOVERY ASSOCIATES LLC,51,12,39,0.11,0.057,0.17,0,0,0,0.0,0.0,0.0,0.039,0.17,0.0,0.33,0.083,0.41,0.98,0.92,1.0
CAPITAL ONE BANK (USA) NA,30,18,12,0.067,0.086,0.051,0,0,0,0.0,0.0,0.0,0.10,0.11,0.083,0.53,0.56,0.50,0.93,0.89,1.0
CAVALRY SPV I LLC,23,10,13,0.052,0.048,0.055,0,0,0,0.0,0.0,0.0,0.087,0.10,0.077,0.43,0.30,0.54,0.87,0.70,1.0
CITIBANK NA,14,7,7,0.031,0.033,0.030,0,0,0,0.0,0.0,0.0,0.21,0.29,0.14,0.14,0.14,0.14,0.93,0.86,1.0
BANK OF AMERICA NA,12,6,6,0.027,0.029,0.025,0,0,0,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.33,0.92,1.0,0.83
TD BANK USA NA,11,10,1,0.025,0.048,0.0042,0,0,0,0.0,0.0,0.0,0.27,0.20,1.0,0.18,0.20,0.0,0.91,0.90,1.0
CONSUMER ADJUSTMENT COMPANY INC,11,3,8,0.025,0.014,0.034,0,0,0,0.0,0.0,0.0,0.091,0.33,0.0,0.36,0.0,0.50,0.91,0.67,1.0
MIDLAND FUNDING LLC,8,2,6,0.018,0.0095,0.025,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.50,0.88,0.50,1.0
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,8,5,3,0.018,0.024,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.20,0.67,0.88,0.80,1.0
JEFFERSON CAPITAL SYSTEMS LLC,7,4,3,0.016,0.019,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.50,0.67,0.86,1.0,0.67
JP MORGAN CHASE BANK NA,6,3,3,0.013,0.014,0.013,0,0,0,0.0,0.0,0.0,0.17,0.33,0.0,0.33,0.33,0.33,0.83,0.67,1.0
CROWN ASSET MANAGEMENT LLC,5,3,2,0.011,0.014,0.0085,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.80,1.0,0.50,1.0,1.0,1.0
CASH LINK USA,5,4,1,0.011,0.019,0.0042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.60,0.75,0.0,1.0,1.0,1.0
LITTLE HILLS HEALTHCARE LLC,3,1,2,0.0067,0.0048,0.0085,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.50,1.0,1.0,1.0
WASHINGTON UNIVERSITY PHYSICIAN NETWORK,3,0,3,0.0067,0.0,0.013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,1.0
CREDIT CORP SOLUTIONS INC,3,2,1,0.0067,0.0095,0.0042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.50,1.0
SECOND ROUND SUB LLC,3,2,1,0.0067,0.0095,0.0042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,1.0
NATIONAL CREDIT ADJUSTORS,3,3,0,0.0067,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,1.0,1.0,0.0
FIRST BANK,3,3,0,0.0067,0.014,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.33,0.0
TURKEN & PORZENSKI LLC,2,1,1,0.0045,0.0048,0.0042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,1.0
WAKEFIELD & ASSOCIATES INC,2,0,2,0.0045,0.0,0.0085,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.0,0.50,1.0,0.0,1.0
